,p_t1,p_t2,t,score
0,2,2,6,0.8867404398908474
1,2,4,6,0.8863674034082448
2,2,6,6,0.8866629150285932
3,2,8,6,0.8863393467870694
4,2,10,6,0.886486803479333
5,2,50,6,0.8868940233550561
6,2,100,6,0.8866092890388506
7,4,2,6,0.8872813874359998
8,4,4,6,0.8872710792878774
9,4,6,6,0.887326320601292
10,4,8,6,0.8867906619473575
11,4,10,6,0.8866400456767738
12,4,50,6,0.8869899454838045
13,4,100,6,0.8868906551407987
14,6,2,6,0.8867425040111797
15,6,4,6,0.8867480909046281
16,6,6,6,0.886889748742552
17,6,8,6,0.8868156556759921
18,6,10,6,0.886564853779643
19,6,50,6,0.8867185951276645
20,6,100,6,0.8870009689467754
21,8,2,6,0.8864528496024956
22,8,4,6,0.8867910332815437
23,8,6,6,0.8869316660758418
24,8,8,6,0.8859793084899049
25,8,10,6,0.8868545002618079
26,8,50,6,0.8866299496140413
27,8,100,6,0.8863079439112367
28,10,2,6,0.8865490396660561
29,10,4,6,0.8869381239090467
30,10,6,6,0.8869387108480814
31,10,8,6,0.8863557717277049
32,10,10,6,0.8862957796292251
33,10,50,6,0.8858717405006605
34,10,100,6,0.8868936194484016
35,50,2,6,0.8863068759375906
36,50,4,6,0.8871570488799206
37,50,6,6,0.8868569687437841
38,50,8,6,0.8863131483550117
39,50,10,6,0.8860208713604818
40,50,50,6,0.8861829215306702
41,50,100,6,0.8862992234027715
42,100,2,6,0.8864879896433685
43,100,4,6,0.8871141163579382
44,100,6,6,0.8870791774814729
45,100,8,6,0.8864963121480413
46,100,10,6,0.8861710622674299
47,100,50,6,0.8863028764233146
48,100,100,6,0.8862166149442251
