,p_t1,p_t2,p_t3,p_t4,t,score,rmse
0,2,10,10,10,6,0.5073221078975643,0.6278187542458304
1,4,10,10,10,6,0.5198090717171593,0.6199064560687078
2,6,10,10,10,6,0.5215557388868525,0.6188215174495832
3,8,10,10,10,6,0.527083000789213,0.6153819963007923
4,10,10,10,10,6,0.532946899384413,0.6115913116665447
5,50,10,10,10,6,0.5695094843300301,0.5884537225580307
6,100,10,10,10,6,0.5712180495775283,0.5871008830642123
7,125,10,10,10,6,0.5736855056664661,0.5856689465181218
8,150,10,10,10,6,0.5689411454760726,0.5887082976174495
9,175,10,10,10,6,0.566109075459866,0.5903491805493328
10,200,10,10,10,6,0.5666823414549759,0.5901380249986833
11,250,10,10,10,6,0.5696752125475406,0.5881311466819857
