,p_t1,p_t2,p_t3,p_t4,score
0,10,10,2,2,0.661124514662431
1,10,10,2,4,0.6603072476656607
2,10,10,2,6,0.654910880904448
3,10,10,2,8,0.6569256904475556
4,10,10,4,2,0.6572081263355432
5,10,10,4,4,0.6551924154337702
6,10,10,4,6,0.6502393379462323
7,10,10,4,8,0.6507519701148388
8,10,10,6,2,0.6653497500181473
9,10,10,6,4,0.6580166338617864
10,10,10,6,6,0.6559173752581078
11,10,10,6,8,0.6610019013227763
12,10,10,8,2,0.659148397269184
13,10,10,8,4,0.6532807633369004
14,10,10,8,6,0.6538633019990913
15,10,10,8,8,0.6543469580781038
16,10,12,2,2,0.66436262859838
17,10,12,2,4,0.661449441803423
18,10,12,2,6,0.6544064036131682
19,10,12,2,8,0.6640867007964183
20,10,12,4,2,0.6640301754268748
21,10,12,4,4,0.6569820640397687
22,10,12,4,6,0.6602609331037873
23,10,12,4,8,0.6598062658151361
24,10,12,6,2,0.6613658101464522
25,10,12,6,4,0.6602326009910356
26,10,12,6,6,0.6604563504998086
27,10,12,6,8,0.6614537054516582
28,10,12,8,2,0.6648841942057832
29,10,12,8,4,0.6577845676128201
30,10,12,8,6,0.6522214139862815
31,10,12,8,8,0.6578316613817771
32,10,14,2,2,0.6615741249828581
33,10,14,2,4,0.6604975404729847
34,10,14,2,6,0.6578564209227677
35,10,14,2,8,0.6586526865609271
36,10,14,4,2,0.6608750773454083
37,10,14,4,4,0.6591681519409425
38,10,14,4,6,0.6567128236314786
39,10,14,4,8,0.6605370118929601
40,10,14,6,2,0.6665272572729967
41,10,14,6,4,0.6632339672585634
42,10,14,6,6,0.6600105912921915
43,10,14,6,8,0.6612454780138665
44,10,14,8,2,0.6634687901458559
45,10,14,8,4,0.6636557624701933
46,10,14,8,6,0.6572232820792051
47,10,14,8,8,0.6601639578150399
48,10,16,2,2,0.6752896938396228
49,10,16,2,4,0.6631326395870014
50,10,16,2,6,0.6588884766282311
51,10,16,2,8,0.6591634655325589
52,10,16,4,2,0.6618889093540785
53,10,16,4,4,0.6592603984995898
54,10,16,4,6,0.6636319225069515
55,10,16,4,8,0.6620524064147996
56,10,16,6,2,0.6578568624842394
57,10,16,6,4,0.6667301501497059
58,10,16,6,6,0.6626772541955266
59,10,16,6,8,0.6633396032574751
60,10,16,8,2,0.6657362296775862
61,10,16,8,4,0.6584975061672996
62,10,16,8,6,0.6610514560937444
63,10,16,8,8,0.6625915356789602
64,10,18,2,2,0.6723809409931224
65,10,18,2,4,0.6621907868446109
66,10,18,2,6,0.6628402177045264
67,10,18,2,8,0.660016763179139
68,10,18,4,2,0.659993733594764
69,10,18,4,4,0.6611222885646569
70,10,18,4,6,0.6633455696291889
71,10,18,4,8,0.6626228149697048
72,10,18,6,2,0.6605018810357791
73,10,18,6,4,0.6639164619158845
74,10,18,6,6,0.6640073815617649
75,10,18,6,8,0.6681674059497222
76,10,18,8,2,0.658852224624971
77,10,18,8,4,0.6614091486070376
78,10,18,8,6,0.6620742784519853
79,10,18,8,8,0.6608060704511004
80,12,10,2,2,0.6633412934877937
81,12,10,2,4,0.6662599797805671
82,12,10,2,6,0.657585736635716
83,12,10,2,8,0.6649132468292308
84,12,10,4,2,0.6584173378288617
85,12,10,4,4,0.6537011189441931
86,12,10,4,6,0.6509832461458672
87,12,10,4,8,0.6561557918466125
88,12,10,6,2,0.6585610737379947
89,12,10,6,4,0.6636380438879462
90,12,10,6,6,0.6547965576770459
91,12,10,6,8,0.655004534940526
92,12,10,8,2,0.6561611531817103
93,12,10,8,4,0.6566240777594844
94,12,10,8,6,0.6568302564260007
95,12,10,8,8,0.6568160318680797
96,12,12,2,2,0.6715156096562024
97,12,12,2,4,0.665546093155863
98,12,12,2,6,0.6675993181858256
99,12,12,2,8,0.6640476354685197
100,12,12,4,2,0.6692930961523671
101,12,12,4,4,0.6666393672355359
102,12,12,4,6,0.6583602039572797
103,12,12,4,8,0.661737134486387
104,12,12,6,2,0.6686106595346232
105,12,12,6,4,0.6657534975785879
106,12,12,6,6,0.6611701616073634
107,12,12,6,8,0.6590354439032011
108,12,12,8,2,0.6719441456898224
109,12,12,8,4,0.6666676451977501
110,12,12,8,6,0.662375790578599
111,12,12,8,8,0.6668478623036949
112,12,14,2,2,0.6751444365672213
113,12,14,2,4,0.6654114406784642
114,12,14,2,6,0.6737499971851034
115,12,14,2,8,0.6610514697305806
116,12,14,4,2,0.6748804780031238
117,12,14,4,4,0.6644654041577055
118,12,14,4,6,0.6701226148923061
119,12,14,4,8,0.6674052617069574
120,12,14,6,2,0.6824443191913417
121,12,14,6,4,0.6632892003349911
122,12,14,6,6,0.6707674952261035
123,12,14,6,8,0.6635496417738054
124,12,14,8,2,0.6691208314527689
125,12,14,8,4,0.6649864473935913
126,12,14,8,6,0.6673125781695729
127,12,14,8,8,0.6663469483237522
128,12,16,2,2,0.671886172426733
129,12,16,2,4,0.6692839657756373
130,12,16,2,6,0.6707150168605299
131,12,16,2,8,0.6638191997537944
132,12,16,4,2,0.674402183062079
133,12,16,4,4,0.6661169404950577
134,12,16,4,6,0.6708842963688474
135,12,16,4,8,0.6651488083521598
136,12,16,6,2,0.6773282053487383
137,12,16,6,4,0.6712626177975464
138,12,16,6,6,0.6711563146347791
139,12,16,6,8,0.6652428199735252
140,12,16,8,2,0.6751167563842783
141,12,16,8,4,0.6665106026863601
142,12,16,8,6,0.6745958811540795
143,12,16,8,8,0.6621997938415239
144,12,18,2,2,0.6692643175642828
145,12,18,2,4,0.6681457523565486
146,12,18,2,6,0.6732115305539664
147,12,18,2,8,0.6699194752321694
148,12,18,4,2,0.6698733050121762
149,12,18,4,4,0.6743928726543468
150,12,18,4,6,0.6727289632532824
151,12,18,4,8,0.666631598451631
152,12,18,6,2,0.6736347062247653
153,12,18,6,4,0.6744588551657404
154,12,18,6,6,0.6599287736433997
155,12,18,6,8,0.6732877031314138
156,12,18,8,2,0.6714147933011464
157,12,18,8,4,0.6697339703979797
158,12,18,8,6,0.6685040197652957
159,12,18,8,8,0.6709349182904688
160,14,10,2,2,0.6603312936311422
161,14,10,2,4,0.6656198535153294
162,14,10,2,6,0.6621991330973019
163,14,10,2,8,0.661470847375376
164,14,10,4,2,0.6613900860873849
165,14,10,4,4,0.6576900157985816
166,14,10,4,6,0.6604200330900981
167,14,10,4,8,0.6635801195633445
168,14,10,6,2,0.6700982347734786
169,14,10,6,4,0.6649293637754533
170,14,10,6,6,0.6608647760291939
171,14,10,6,8,0.6539025979042539
172,14,10,8,2,0.6605189556334007
173,14,10,8,4,0.6499564654698652
174,14,10,8,6,0.6585794337713647
175,14,10,8,8,0.6554092584752533
176,14,12,2,2,0.6766703349914639
177,14,12,2,4,0.676529580106891
178,14,12,2,6,0.6757740897400488
179,14,12,2,8,0.6652438987914896
180,14,12,4,2,0.671616698851447
181,14,12,4,4,0.6680185393210444
182,14,12,4,6,0.6712629438278338
183,14,12,4,8,0.6669952380925364
184,14,12,6,2,0.6771148202381575
185,14,12,6,4,0.6693928871898093
186,14,12,6,6,0.6645526515744226
187,14,12,6,8,0.6682820509107433
188,14,12,8,2,0.6624950385036279
189,14,12,8,4,0.6669646024938466
190,14,12,8,6,0.6638606930606432
191,14,12,8,8,0.6663487566041493
192,14,14,2,2,0.6822412158992629
193,14,14,2,4,0.6733379297935089
194,14,14,2,6,0.6755007954176603
195,14,14,2,8,0.6686255615500301
196,14,14,4,2,0.6848656268367637
197,14,14,4,4,0.6726285845519575
198,14,14,4,6,0.6698707721123474
199,14,14,4,8,0.6668749067263317
200,14,14,6,2,0.6772988580276801
201,14,14,6,4,0.6713757147646554
202,14,14,6,6,0.6699067669986348
203,14,14,6,8,0.6715458695553628
204,14,14,8,2,0.6809871783196257
205,14,14,8,4,0.6757071619068257
206,14,14,8,6,0.6753916962925444
207,14,14,8,8,0.6680233809811157
208,14,16,2,2,0.6852640837450906
209,14,16,2,4,0.6757773331533053
210,14,16,2,6,0.676285657028119
211,14,16,2,8,0.6756232455664746
212,14,16,4,2,0.687843713461436
213,14,16,4,4,0.6765230025831394
214,14,16,4,6,0.6700207091208754
215,14,16,4,8,0.6730499130845207
216,14,16,6,2,0.6835480540570509
217,14,16,6,4,0.6772754320293245
218,14,16,6,6,0.6750231407309261
219,14,16,6,8,0.6794306729801042
220,14,16,8,2,0.6879722012692734
221,14,16,8,4,0.6763251513965512
222,14,16,8,6,0.6737600746345427
223,14,16,8,8,0.6695132546359268
224,14,18,2,2,0.6869121297404014
225,14,18,2,4,0.6769362274992203
226,14,18,2,6,0.6743555279491318
227,14,18,2,8,0.6781197888376114
228,14,18,4,2,0.6839096812351394
229,14,18,4,4,0.6822628198571549
230,14,18,4,6,0.6778414902396538
231,14,18,4,8,0.6736454853314032
232,14,18,6,2,0.6917366269976543
233,14,18,6,4,0.6726983297433898
234,14,18,6,6,0.6769278314234995
235,14,18,6,8,0.6711174435721071
236,14,18,8,2,0.6834268951964493
237,14,18,8,4,0.6691977692897497
238,14,18,8,6,0.6804680315699162
239,14,18,8,8,0.68453811738413
240,16,10,2,2,0.6647706023286717
241,16,10,2,4,0.6602510641165215
242,16,10,2,6,0.6656712800375152
243,16,10,2,8,0.6654481723824844
244,16,10,4,2,0.6647015153632811
245,16,10,4,4,0.6618426988422756
246,16,10,4,6,0.6605835829059336
247,16,10,4,8,0.661465227807697
248,16,10,6,2,0.6579940056781924
249,16,10,6,4,0.6599417251341616
250,16,10,6,6,0.659391561280337
251,16,10,6,8,0.6570266866674667
252,16,10,8,2,0.6597711361181277
253,16,10,8,4,0.6655769717110526
254,16,10,8,6,0.6584692562064082
255,16,10,8,8,0.6564216812604348
256,16,12,2,2,0.6745174186780393
257,16,12,2,4,0.6766352270027189
258,16,12,2,6,0.6732740795791186
259,16,12,2,8,0.6704135782074035
260,16,12,4,2,0.6693694035528326
261,16,12,4,4,0.6714025762733543
262,16,12,4,6,0.6651336589301388
263,16,12,4,8,0.6695472600572092
264,16,12,6,2,0.6735748808988794
265,16,12,6,4,0.6746625785346535
266,16,12,6,6,0.6715375255566357
267,16,12,6,8,0.6676583268271653
268,16,12,8,2,0.6649394445194658
269,16,12,8,4,0.6671681793970445
270,16,12,8,6,0.6683005164660477
271,16,12,8,8,0.6679929551069957
272,16,14,2,2,0.6846650790099055
273,16,14,2,4,0.677838652251705
274,16,14,2,6,0.6740266582848408
275,16,14,2,8,0.6697179592608832
276,16,14,4,2,0.6852034704170457
277,16,14,4,4,0.6757936706226854
278,16,14,4,6,0.6812093238128503
279,16,14,4,8,0.6802221175697297
280,16,14,6,2,0.6842732090597746
281,16,14,6,4,0.6725330942789371
282,16,14,6,6,0.6805303635627532
283,16,14,6,8,0.6813400194449875
284,16,14,8,2,0.6867351754095828
285,16,14,8,4,0.6833154605330961
286,16,14,8,6,0.67977773292692
287,16,14,8,8,0.6736877745530121
288,16,16,2,2,0.6909032843587433
289,16,16,2,4,0.6871546408478091
290,16,16,2,6,0.6870093611247997
291,16,16,2,8,0.6802045691314755
292,16,16,4,2,0.6848940412534388
293,16,16,4,4,0.6884311414134353
294,16,16,4,6,0.6779761659311649
295,16,16,4,8,0.6793170719823856
296,16,16,6,2,0.6918542702745792
297,16,16,6,4,0.6892124891713148
298,16,16,6,6,0.6787775870844386
299,16,16,6,8,0.6834844474797381
300,16,16,8,2,0.6936079875960672
301,16,16,8,4,0.6786333547933833
302,16,16,8,6,0.6763085374591533
