,p_t1,p_t2,p_t3,p_t4,score
0,10,10,2,2,0.6600942021044909
1,10,10,2,4,0.653502487309058
2,10,10,2,6,0.6533391252562671
3,10,10,2,8,0.658356344607628
4,10,10,4,2,0.6571631468179171
5,10,10,4,4,0.6582262881194851
6,10,10,4,6,0.651228389526485
7,10,10,4,8,0.652129697666394
8,10,10,6,2,0.6607780298365837
9,10,10,6,4,0.6474043491693595
10,10,10,6,6,0.6534070654276046
11,10,10,6,8,0.6529565532473743
12,10,10,8,2,0.6613201950614398
13,10,10,8,4,0.6538816944646777
14,10,10,8,6,0.6473050422065941
15,10,10,8,8,0.6524626028951294
16,10,12,2,2,0.6575293663795918
17,10,12,2,4,0.6551489827393882
18,10,12,2,6,0.6543610029429034
19,10,12,2,8,0.6551616208111835
20,10,12,4,2,0.6584969665883339
21,10,12,4,4,0.6588717550667975
22,10,12,4,6,0.6580754734494385
23,10,12,4,8,0.6537357025544905
24,10,12,6,2,0.6606500573141617
25,10,12,6,4,0.6549332833304918
26,10,12,6,6,0.6501061640475442
27,10,12,6,8,0.6538156993203027
28,10,12,8,2,0.6584810568474965
29,10,12,8,4,0.6543195810522028
30,10,12,8,6,0.6526335262536117
31,10,12,8,8,0.6565208549291345
32,10,14,2,2,0.661912813822774
33,10,14,2,4,0.6625555726268125
34,10,14,2,6,0.6516526972233799
35,10,14,2,8,0.6603676901152685
36,10,14,4,2,0.6628287836118233
37,10,14,4,4,0.6538848355539947
38,10,14,4,6,0.6620285357485326
39,10,14,4,8,0.6620926066276706
40,10,14,6,2,0.6563878791695796
41,10,14,6,4,0.652623201903722
42,10,14,6,6,0.651950751767136
43,10,14,6,8,0.6569422365665191
44,10,14,8,2,0.6602901474956624
45,10,14,8,4,0.6541415152902202
46,10,14,8,6,0.6552348310318
47,10,14,8,8,0.6561739963633272
48,10,16,2,2,0.6593933854777406
49,10,16,2,4,0.6630032438477876
50,10,16,2,6,0.6546097901655242
51,10,16,2,8,0.6605232675575463
52,10,16,4,2,0.6631662188257715
53,10,16,4,4,0.6607440720497615
54,10,16,4,6,0.6582562577145815
55,10,16,4,8,0.65605336957468
56,10,16,6,2,0.6589674120278496
57,10,16,6,4,0.6554467933515941
58,10,16,6,6,0.6639157366555085
59,10,16,6,8,0.6589362019310471
60,10,16,8,2,0.6540297409943612
61,10,16,8,4,0.6568005575200991
62,10,16,8,6,0.662234702053618
63,10,16,8,8,0.6562821493513612
64,10,18,2,2,0.6566091459089896
65,10,18,2,4,0.655693925788365
66,10,18,2,6,0.660684256209575
67,10,18,2,8,0.6545266438109753
68,10,18,4,2,0.6563062353707778
69,10,18,4,4,0.6597875252634599
70,10,18,4,6,0.6614225333478164
71,10,18,4,8,0.6574801401815774
72,10,18,6,2,0.6680074386960909
73,10,18,6,4,0.6557034633360194
74,10,18,6,6,0.6617786818367506
75,10,18,6,8,0.6567556491008052
76,10,18,8,2,0.6580641767122937
77,10,18,8,4,0.6597072425294918
78,10,18,8,6,0.6592146858121101
79,10,18,8,8,0.6589517753230475
80,12,10,2,2,0.663185000839415
81,12,10,2,4,0.6566761877540563
82,12,10,2,6,0.6570536333999503
83,12,10,2,8,0.6598357420666257
84,12,10,4,2,0.6588922750429695
85,12,10,4,4,0.6632402103205614
86,12,10,4,6,0.654275100698347
87,12,10,4,8,0.6605929311972657
88,12,10,6,2,0.6589836586139247
89,12,10,6,4,0.6579997405386866
90,12,10,6,6,0.6569710743498
91,12,10,6,8,0.6599227343536965
