,p_t1,p_t2,p_t3,p_t4,score
0,10,10,2,2,0.5063030192115375
1,10,10,2,4,0.5098380042360102
2,10,10,2,6,0.5101180771134329
3,10,10,2,8,0.5134203219707599
4,10,10,4,2,0.5102064319159572
5,10,10,4,4,0.5102344566424722
6,10,10,4,6,0.5088988400008141
7,10,10,4,8,0.5052219824362512
8,10,10,6,2,0.5144451640219257
9,10,10,6,4,0.5092906810002062
10,10,10,6,6,0.5068186144370682
11,10,10,6,8,0.5108624158345969
12,10,10,8,2,0.5173783026861966
13,10,10,8,4,0.5089785256275504
14,10,10,8,6,0.5090101323429805
15,10,10,8,8,0.5096206105377095
16,10,12,2,2,0.5159131526983282
17,10,12,2,4,0.5150495872045133
18,10,12,2,6,0.5106791567118977
19,10,12,2,8,0.5113675837608397
20,10,12,4,2,0.5147216335594568
21,10,12,4,4,0.509900688280144
22,10,12,4,6,0.5143511213228922
23,10,12,4,8,0.5131431113175139
24,10,12,6,2,0.5094430570275063
25,10,12,6,4,0.5112118335632454
26,10,12,6,6,0.5160989672924363
27,10,12,6,8,0.5137762202991172
28,10,12,8,2,0.5146361371258167
29,10,12,8,4,0.5123219317531816
30,10,12,8,6,0.5041294794338008
31,10,12,8,8,0.5119932767937148
32,10,14,2,2,0.5147216922516943
33,10,14,2,4,0.5080925686870869
34,10,14,2,6,0.5094718291299968
35,10,14,2,8,0.5127627780172171
36,10,14,4,2,0.5178145865053762
37,10,14,4,4,0.5188363174824182
38,10,14,4,6,0.5160089772768065
39,10,14,4,8,0.5097010197844766
40,10,14,6,2,0.5088063898129328
41,10,14,6,4,0.518128007735764
42,10,14,6,6,0.513925141892606
43,10,14,6,8,0.5141167484026847
44,10,14,8,2,0.5101109829531129
45,10,14,8,4,0.5074459713040054
46,10,14,8,6,0.5110417998009295
47,10,14,8,8,0.5135481553165931
48,10,16,2,2,0.5091682027473526
49,10,16,2,4,0.5134534712254089
50,10,16,2,6,0.5112428893206699
51,10,16,2,8,0.5097991493688654
52,10,16,4,2,0.51091768007471
53,10,16,4,4,0.5102466966819027
54,10,16,4,6,0.5110421754165634
55,10,16,4,8,0.5141566937851902
56,10,16,6,2,0.512923894543215
57,10,16,6,4,0.5115469953384094
58,10,16,6,6,0.5126744559112444
59,10,16,6,8,0.5123353925434225
60,10,16,8,2,0.5127324696357682
61,10,16,8,4,0.51657782328844
62,10,16,8,6,0.5153852912173786
63,10,16,8,8,0.5080393162854329
64,10,18,2,2,0.5148640619225644
65,10,18,2,4,0.5148691491094373
66,10,18,2,6,0.5089587483445485
67,10,18,2,8,0.5138274378957844
68,10,18,4,2,0.5122715915476375
69,10,18,4,4,0.5140478880515663
70,10,18,4,6,0.5115382548397115
71,10,18,4,8,0.5137768663359775
72,10,18,6,2,0.5111421455726347
73,10,18,6,4,0.5116154625782096
74,10,18,6,6,0.5106292098379743
75,10,18,6,8,0.5166116549665665
76,10,18,8,2,0.510756757561714
77,10,18,8,4,0.5153739952472719
78,10,18,8,6,0.5102168138880211
79,10,18,8,8,0.5061312265363048
80,12,10,2,2,0.5114723692873088
81,12,10,2,4,0.5102476645071712
82,12,10,2,6,0.514854282275688
83,12,10,2,8,0.5085024327012736
84,12,10,4,2,0.5076145576059572
85,12,10,4,4,0.5076550001192424
86,12,10,4,6,0.5103537483676214
87,12,10,4,8,0.5118858319966777
88,12,10,6,2,0.508068192407385
89,12,10,6,4,0.504578420159674
90,12,10,6,6,0.5076842693525127
91,12,10,6,8,0.5115977873475095
92,12,10,8,2,0.5056791342740957
93,12,10,8,4,0.5109495261303657
94,12,10,8,6,0.5080974340294182
95,12,10,8,8,0.510162787894403
96,12,12,2,2,0.5141866090553208
97,12,12,2,4,0.5150649700599752
98,12,12,2,6,0.516911546543847
99,12,12,2,8,0.519393543275493
100,12,12,4,2,0.5135373800129086
101,12,12,4,4,0.5189016782928041
102,12,12,4,6,0.516377534971901
103,12,12,4,8,0.515864987483547
104,12,12,6,2,0.5159925941198269
105,12,12,6,4,0.5108611499768648
106,12,12,6,6,0.5204896735940823
107,12,12,6,8,0.5214180125536605
108,12,12,8,2,0.5218064529464672
109,12,12,8,4,0.5166205896985687
110,12,12,8,6,0.5150054962444149
111,12,12,8,8,0.5121685427936916
112,12,14,2,2,0.5167601834487371
113,12,14,2,4,0.5205057611786421
114,12,14,2,6,0.519638890377399
115,12,14,2,8,0.5177572425736574
116,12,14,4,2,0.5157556307919178
