,p_t1,p_t2,p_t3,p_t4,score
0,10,10,2,2,0.501699449975312
1,10,10,2,4,0.5022542113059355
2,10,10,2,6,0.501699449975312
3,10,10,2,8,0.502428312949073
4,10,10,4,2,0.5
5,10,10,4,4,0.5002612330198537
6,10,10,4,6,0.5021305225386858
7,10,10,4,8,0.5010126367884989
8,10,10,6,2,0.5004901707487914
9,10,10,6,4,0.5011446886446886
10,10,10,6,6,0.5007836990595611
11,10,10,6,8,0.5002289377289377
12,10,10,8,2,0.5026895459689267
13,10,10,8,4,0.5010126367884989
14,10,10,8,6,0.5012415745174366
15,10,10,8,8,0.5007836990595611
16,10,12,2,2,0.5024648703396064
17,10,12,2,4,0.501755516357909
18,10,12,2,6,0.502914221598247
19,10,12,2,8,0.5024002797577745
20,10,12,4,2,0.5022036373197527
21,10,12,4,4,0.5010266533841481
22,10,12,4,6,0.5
23,10,12,4,8,0.501998470682496
24,10,12,6,2,0.5012696077087351
25,10,12,6,4,0.5022133918157845
26,10,12,6,6,0.5007514037686451
27,10,12,6,8,0.5014662501467568
28,10,12,8,2,0.5009718172983479
29,10,12,8,4,0.5034689829288702
30,10,12,8,6,0.5009157509157509
31,10,12,8,8,0.5015308407285888
32,10,14,2,2,0.5019198635050147
33,10,14,2,4,0.5031937333133674
34,10,14,2,6,0.5022036373197527
35,10,14,2,8,0.5012373124178191
36,10,14,4,2,0.5024185584530412
37,10,14,4,4,0.5022597037023497
38,10,14,4,6,0.5027035625645758
39,10,14,4,8,0.5027315957558743
40,10,14,6,2,0.5017457618618772
41,10,14,6,4,0.5014845288420235
42,10,14,6,6,0.5021896207241036
43,10,14,6,8,0.5032583238951993
44,10,14,8,2,0.5026755293732775
45,10,14,8,4,0.5015125620333221
46,10,14,8,6,0.5014845288420235
47,10,14,8,8,0.5025392154174702
48,10,16,2,2,0.5021305225386858
49,10,16,2,4,0.5004578754578755
50,10,16,2,6,0.5017372376626423
51,10,16,2,8,0.502428312949073
52,10,16,4,2,0.5032120120086341
53,10,16,4,4,0.5024746248356382
54,10,16,4,6,0.5022274084114337
55,10,16,4,8,0.5016811712800453
56,10,16,6,2,0.5029325002935137
57,10,16,6,4,0.5021810965248684
58,10,16,6,6,0.5024746248356382
59,10,16,6,8,0.502428312949073
60,10,16,8,2,0.5033720970561224
61,10,16,8,4,0.5024185584530412
62,10,16,8,6,0.5027821697420571
63,10,16,8,8,0.5010266533841481
64,10,18,2,2,0.5023679844668585
65,10,18,2,4,0.5034549663332211
66,10,18,2,6,0.5018875682140989
67,10,18,2,8,0.5012232958221698
68,10,18,4,2,0.5018315018315018
69,10,18,4,4,0.5022682279015847
70,10,18,4,6,0.5017414997622597
71,10,18,4,8,0.5018875682140989
72,10,18,6,2,0.5033903757513891
73,10,18,6,4,0.5011769839356046
74,10,18,6,6,0.5024185584530412
75,10,18,6,8,0.502363722367241
76,10,18,8,2,0.5032120120086341
77,10,18,8,4,0.502039290172647
78,10,18,8,6,0.5022865065968514
79,10,18,8,8,0.5016348593934801
80,12,10,2,2,0.5007836990595611
81,12,10,2,4,0.5024746248356382
82,12,10,2,6,0.5028861884069484
83,12,10,2,8,0.5015028075372903
84,12,10,4,2,0.5021713420288368
85,12,10,4,4,0.5009620628023161
86,12,10,4,6,0.5014296927562234
87,12,10,4,8,0.5017457618618772
88,12,10,6,2,0.5024886414312874
89,12,10,6,4,0.5019198635050147
90,12,10,6,6,0.5019606829951657
91,12,10,6,8,0.5018735516184495
92,12,10,8,2,0.5004578754578755
93,12,10,8,4,0.5022639658019671
94,12,10,8,6,0.5
95,12,10,8,8,0.5018875682140989
96,12,12,2,2,0.50360103478506
97,12,12,2,4,0.5037119372534572
98,12,12,2,6,0.5039591536776618
99,12,12,2,8,0.5033398017652063
100,12,12,4,2,0.5041557961156835
101,12,12,4,4,0.5043987504402705
102,12,12,4,6,0.5034366876379543
103,12,12,4,8,0.5054436825196854
104,12,12,6,2,0.5016025641025641
105,12,12,6,4,0.5022133918157845
106,12,12,6,6,0.5027035625645758
107,12,12,6,8,0.5032400451999326
108,12,12,8,2,0.5028861884069484
109,12,12,8,4,0.5024002797577745
110,12,12,8,6,0.502712086763811
111,12,12,8,8,0.5028313523211483
112,12,14,2,2,0.5041557961156835
113,12,14,2,4,0.5048889211890618
114,12,14,2,6,0.5043664551493544
115,12,14,2,8,0.5041052221295007
116,12,14,4,2,0.5039451370820124
117,12,14,4,4,0.5041557961156835
118,12,14,4,6,0.5027078246641934
119,12,14,4,8,0.5027358578554919
120,12,14,6,2,0.5023594602676235
121,12,14,6,4,0.5038622678049137
122,12,14,6,6,0.503884808599798
123,12,14,6,8,0.501415676160574
124,12,14,8,2,0.5044170291355372
125,12,14,8,4,0.504329897758821
126,12,14,8,6,0.5043804717450038
127,12,14,8,8,0.5042021080022487
128,12,16,2,2,0.5042063701018662
129,12,16,2,4,0.502241425007083
130,12,16,2,6,0.5043987504402705
131,12,16,2,8,0.5046276881692081
132,12,16,4,2,0.5043987504402705
133,12,16,4,4,0.5036150513807094
134,12,16,4,6,0.5046459668644748
135,12,16,4,8,0.5029970908753456
136,12,16,6,2,0.5046417047648575
137,12,16,6,4,0.5041417795200341
138,12,16,6,6,0.5044127670359196
139,12,16,6,8,0.5046276881692081
140,12,16,8,2,0.504678262155391
141,12,16,8,4,0.503697920657808
142,12,16,8,6,0.5053845843342676
143,12,16,8,8,0.5036333300759761
144,12,18,2,2,0.5036333300759761
145,12,18,2,4,0.5049029377847112
146,12,18,2,6,0.5041557961156835
147,12,18,2,8,0.5036193134803267
148,12,18,4,2,0.5036839040621587
149,12,18,4,4,0.5048426093024966
150,12,18,4,6,0.5041740748109502
151,12,18,4,8,0.503843989109647
152,12,18,6,2,0.5044030125398878
153,12,18,6,4,0.5037119372534572
154,12,18,6,6,0.5042386653927823
155,12,18,6,8,0.5044170291355372
156,12,18,8,2,0.5046599834601242
157,12,18,8,4,0.504921216479978
158,12,18,8,6,0.5044030125398878
159,12,18,8,8,0.5049029377847112
160,14,10,2,2,0.5026615127776282
161,14,10,2,4,0.5029002050025976
162,14,10,2,6,0.5007008297824624
163,14,10,2,8,0.5004578754578755
164,14,10,4,2,0.5024100342538063
165,14,10,4,4,0.5011587052403379
166,14,10,4,6,0.5021670799292193
167,14,10,4,8,0.5009718172983479
168,14,10,6,2,0.5004901707487914
169,14,10,6,4,0.5015028075372903
170,14,10,6,6,0.5012232958221698
171,14,10,6,8,0.5016446138895119
172,14,10,8,2,0.5014845288420235
173,14,10,8,4,0.5012415745174366
174,14,10,8,6,0.5009437841070494
175,14,10,8,8,0.5012007550272856
176,14,12,2,2,0.5043987504402705
177,14,12,2,4,0.503940874982395
178,14,12,2,6,0.5039731702733109
179,14,12,2,8,0.5032120120086341
180,14,12,4,2,0.5038762844005631
181,14,12,4,4,0.5034829995245196
182,14,12,4,6,0.5041557961156835
183,14,12,4,8,0.5041052221295007
184,14,12,6,2,0.5019606829951657
185,14,12,6,4,0.5049437572748621
186,14,12,6,6,0.5039311204863632
187,14,12,6,8,0.5037807899349068
188,14,12,8,2,0.5043847338446211
189,14,12,8,4,0.503665625366892
190,14,12,8,6,0.5023594602676235
191,14,12,8,8,0.5038945630958298
192,14,14,2,2,0.5043664551493544
193,14,14,2,4,0.5048706424937951
194,14,14,2,6,0.5041375174204168
195,14,14,2,8,0.506093938315965
196,14,14,4,2,0.5039591536776618
197,14,14,4,4,0.5046276881692081
198,14,14,4,6,0.5056080296667911
199,14,14,4,8,0.5046276881692081
200,14,14,6,2,0.504856625898146
201,14,14,6,4,0.5048889211890618
202,14,14,6,6,0.5034129165462734
203,14,14,6,8,0.5054436825196854
204,14,14,8,2,0.5043987504402705
205,14,14,8,4,0.5051641708045649
206,14,14,8,6,0.5049675283665431
207,14,14,8,8,0.5071615225356393
208,14,16,2,2,0.506336892640552
209,14,16,2,4,0.504921216479978
210,14,16,2,6,0.5056908989438897
211,14,16,2,8,0.5048523637985284
212,14,16,4,2,0.5046459668644748
213,14,16,4,4,0.5058607384874098
214,14,16,4,6,0.5055757343758751
215,14,16,4,8,0.5053285179516706
216,14,16,6,2,0.5071991988775943
217,14,16,6,4,0.507220348265387
218,14,16,6,6,0.5038257104143803
219,14,16,6,8,0.5046599834601242
220,14,16,8,2,0.5079872713821482
221,14,16,8,4,0.5066459402994378
222,14,16,8,6,0.5058509839913781
223,14,16,8,8,0.5069605066526249
224,14,18,2,2,0.5048889211890618
225,14,18,2,4,0.5087554510935933
226,14,18,2,6,0.5056080296667911
227,14,18,2,8,0.5046417047648575
228,14,18,4,2,0.5051684329041823
229,14,18,4,4,0.5069422279573582
230,14,18,4,6,0.5051318755136488
231,14,18,4,8,0.506523780582542
232,14,18,6,2,0.5059521319637436
233,14,18,6,4,0.5054113872287693
234,14,18,6,6,0.5048426093024966
235,14,18,6,8,0.5051599087049473
236,14,18,8,2,0.5061542667981795
237,14,18,8,4,0.5070139513313335
238,14,18,8,6,0.5049029377847112
239,14,18,8,8,0.5059015579775609
240,16,10,2,2,0.502647496181979
241,16,10,2,4,0.5017317452662281
242,16,10,2,6,0.5031474214268021
