,p_t1,p_t2,p_t3,p_t4,score
0,10,10,2,2,0.6520590458893356
1,10,10,2,4,0.6455441898625934
2,10,10,2,6,0.6396475606306714
3,10,10,2,8,0.6404432778169954
4,10,10,4,2,0.6370098967705037
5,10,10,4,4,0.6359799386694155
6,10,10,4,6,0.6311970651444966
7,10,10,4,8,0.6349723930970339
8,10,10,6,2,0.6432260100184474
9,10,10,6,4,0.6350782672339778
10,10,10,6,6,0.6318611674522915
11,10,10,6,8,0.6298276965490631
12,10,10,8,2,0.6446763393203275
13,10,10,8,4,0.636893940611161
14,10,10,8,6,0.6363159480374345
15,10,10,8,8,0.6329885844855944
16,10,12,2,2,0.6515002456944936
17,10,12,2,4,0.6478315909656663
18,10,12,2,6,0.6406962657091041
19,10,12,2,8,0.64072821686058
20,10,12,4,2,0.648237398845538
21,10,12,4,4,0.6450185927971375
22,10,12,4,6,0.6405272406257104
23,10,12,4,8,0.6440441951705794
24,10,12,6,2,0.6513497321098654
25,10,12,6,4,0.649221587413987
26,10,12,6,6,0.6504517315139225
27,10,12,6,8,0.6471281867290369
28,10,12,8,2,0.6506370337372166
29,10,12,8,4,0.6529186528211117
30,10,12,8,6,0.6388861027659049
31,10,12,8,8,0.6435221686823437
32,10,14,2,2,0.6541724481190759
33,10,14,2,4,0.6523098915355092
34,10,14,2,6,0.6552789861834637
35,10,14,2,8,0.6465231413773568
36,10,14,4,2,0.6631811207810516
37,10,14,4,4,0.6516622633560673
38,10,14,4,6,0.6535075885899103
39,10,14,4,8,0.6550837301989373
40,10,14,6,2,0.6577925177060526
41,10,14,6,4,0.655598319514088
42,10,14,6,6,0.6441603350411266
43,10,14,6,8,0.6479413418119683
44,10,14,8,2,0.6541775222854577
45,10,14,8,4,0.6552606327724351
46,10,14,8,6,0.6482415305351821
47,10,14,8,8,0.648853217333995
48,10,16,2,2,0.6554117578349031
49,10,16,2,4,0.6503367737721711
50,10,16,2,6,0.6537264635877016
51,10,16,2,8,0.651509604913598
52,10,16,4,2,0.6606966627321204
53,10,16,4,4,0.6531075689336275
54,10,16,4,6,0.6508442276709735
55,10,16,4,8,0.6489551273104709
56,10,16,6,2,0.6601948417206338
57,10,16,6,4,0.6547117216595153
58,10,16,6,6,0.6554642019499096
59,10,16,6,8,0.6591346919791448
60,10,16,8,2,0.6654027772287272
61,10,16,8,4,0.6520297134530518
62,10,16,8,6,0.6570194692924901
63,10,16,8,8,0.6523269758254412
64,10,18,2,2,0.6579457083046926
65,10,18,2,4,0.6533471158776955
66,10,18,2,6,0.65206351293448
67,10,18,2,8,0.6516442871038927
68,10,18,4,2,0.6602748792614636
69,10,18,4,4,0.6504539962772554
70,10,18,4,6,0.6490955031528635
71,10,18,4,8,0.6537271687351796
72,10,18,6,2,0.6555088436474161
73,10,18,6,4,0.6551527249356688
74,10,18,6,6,0.6484037995365228
75,10,18,6,8,0.6531073522538033
76,10,18,8,2,0.6642403115324831
77,10,18,8,4,0.6512993936586136
78,10,18,8,6,0.6471762586224642
79,10,18,8,8,0.65806395642095
80,12,10,2,2,0.6527733212616948
81,12,10,2,4,0.6522498970876535
82,12,10,2,6,0.6521959141465975
83,12,10,2,8,0.6388718007804188
84,12,10,4,2,0.6502427914659031
85,12,10,4,4,0.6331655835215907
86,12,10,4,6,0.63698292330416
87,12,10,4,8,0.6350039289842925
88,12,10,6,2,0.6372981012277683
89,12,10,6,4,0.6370219914232401
90,12,10,6,6,0.637856723393942
91,12,10,6,8,0.6354306268663933
92,12,10,8,2,0.6325886110314739
93,12,10,8,4,0.6393521485374135
94,12,10,8,6,0.6374738782982416
95,12,10,8,8,0.6297380064445384
96,12,12,2,2,0.6599198047784577
97,12,12,2,4,0.6577945358649494
98,12,12,2,6,0.652431237404495
99,12,12,2,8,0.6511591814529376
100,12,12,4,2,0.6607428651254391
101,12,12,4,4,0.6568813146362916
102,12,12,4,6,0.6558757676286074
103,12,12,4,8,0.6516746746669334
104,12,12,6,2,0.66406299704016
105,12,12,6,4,0.6527002006727515
106,12,12,6,6,0.6546697226808195
107,12,12,6,8,0.6510650512874244
108,12,12,8,2,0.6573481876768089
109,12,12,8,4,0.6519110975195581
110,12,12,8,6,0.6465791805760365
111,12,12,8,8,0.6506702687352552
112,12,14,2,2,0.6712328272035798
113,12,14,2,4,0.6621502542003097
114,12,14,2,6,0.6525492171221343
115,12,14,2,8,0.6531107770418273
116,12,14,4,2,0.6689473085051811
117,12,14,4,4,0.6669484294111895
118,12,14,4,6,0.6566766546871635
119,12,14,4,8,0.6583259792262728
120,12,14,6,2,0.6671493049278391
121,12,14,6,4,0.664225507342608
122,12,14,6,6,0.6528957776914172
123,12,14,6,8,0.6568047333601612
124,12,14,8,2,0.6723094188713667
125,12,14,8,4,0.6531284480037935
126,12,14,8,6,0.6553951496985801
127,12,14,8,8,0.6545020395089994
128,12,16,2,2,0.6686517318046062
129,12,16,2,4,0.6617009171408789
130,12,16,2,6,0.6600704049927156
131,12,16,2,8,0.6634340948618112
132,12,16,4,2,0.6697223289992426
133,12,16,4,4,0.6695832939885803
134,12,16,4,6,0.6557829222054415
135,12,16,4,8,0.6615063277102791
136,12,16,6,2,0.6774672825907307
137,12,16,6,4,0.667172566888369
138,12,16,6,6,0.6598625650446732
139,12,16,6,8,0.6593543181642524
140,12,16,8,2,0.67310777545861
141,12,16,8,4,0.6673364143645286
142,12,16,8,6,0.6540382532043318
143,12,16,8,8,0.6563322975599306
144,12,18,2,2,0.6695041354200998
145,12,18,2,4,0.6629134177700778
146,12,18,2,6,0.6614374558229957
147,12,18,2,8,0.6577625514778626
148,12,18,4,2,0.6722415448936477
149,12,18,4,4,0.6648718133243007
150,12,18,4,6,0.6585046960158537
151,12,18,4,8,0.6624072356855286
152,12,18,6,2,0.6731636846976379
153,12,18,6,4,0.6648201260292822
154,12,18,6,6,0.6671797453806584
155,12,18,6,8,0.6621717473348099
156,12,18,8,2,0.676253933784598
157,12,18,8,4,0.6600722667025211
158,12,18,8,6,0.6566859524652823
159,12,18,8,8,0.6620476616491019
160,14,10,2,2,0.6482716019876763
161,14,10,2,4,0.6521912891167965
162,14,10,2,6,0.6594056431768963
163,14,10,2,8,0.64788279636965
164,14,10,4,2,0.6436003623548064
165,14,10,4,4,0.6488962486978324
166,14,10,4,6,0.6471819776400279
167,14,10,4,8,0.640160736395213
168,14,10,6,2,0.6329916052604623
169,14,10,6,4,0.6413199187278252
170,14,10,6,6,0.6402017024114495
171,14,10,6,8,0.6377253637169162
172,14,10,8,2,0.638661544956299
173,14,10,8,4,0.6394760055193455
174,14,10,8,6,0.640326559290439
175,14,10,8,8,0.6359784826115026
176,14,12,2,2,0.6706391297226224
177,14,12,2,4,0.6654544852567318
178,14,12,2,6,0.6612258232998731
179,14,12,2,8,0.6603943758893184
180,14,12,4,2,0.6578673380811901
181,14,12,4,4,0.6606203381562671
182,14,12,4,6,0.6553966209062406
183,14,12,4,8,0.6503671001804633
184,14,12,6,2,0.6542706748919609
185,14,12,6,4,0.6565511579928559
186,14,12,6,6,0.6551646589033093
187,14,12,6,8,0.6604779008318445
188,14,12,8,2,0.6488490457548622
189,14,12,8,4,0.6553924669445573
190,14,12,8,6,0.6516209549337493
191,14,12,8,8,0.650625718569723
192,14,14,2,2,0.6824749980484643
193,14,14,2,4,0.6734535391076291
194,14,14,2,6,0.6627188164645021
195,14,14,2,8,0.6581213415557817
196,14,14,4,2,0.6676825494262958
197,14,14,4,4,0.672188743041975
198,14,14,4,6,0.6684605780647264
199,14,14,4,8,0.6686966110074891
200,14,14,6,2,0.6656817271894999
201,14,14,6,4,0.6652050014707394
202,14,14,6,6,0.6610720256487895
203,14,14,6,8,0.6714614976140028
204,14,14,8,2,0.6704244975416754
205,14,14,8,4,0.6660001646798047
206,14,14,8,6,0.6644871421770039
207,14,14,8,8,0.6671397038995678
208,14,16,2,2,0.6809196728331344
209,14,16,2,4,0.6720037401731841
210,14,16,2,6,0.6606299168260856
211,14,16,2,8,0.6655788137634578
212,14,16,4,2,0.6849799242003168
213,14,16,4,4,0.6738321632962977
214,14,16,4,6,0.6665843044256495
215,14,16,4,8,0.6651958380161326
216,14,16,6,2,0.6704044762790554
217,14,16,6,4,0.6647830341793862
218,14,16,6,6,0.6720672053437241
219,14,16,6,8,0.6614078133927056
220,14,16,8,2,0.6795798787102822
221,14,16,8,4,0.6721335320310676
222,14,16,8,6,0.6646434001263657
223,14,16,8,8,0.6603164661074526
224,14,18,2,2,0.6839029143236375
225,14,18,2,4,0.6804429307980303
226,14,18,2,6,0.6704116841270932
227,14,18,2,8,0.6635399510186699
228,14,18,4,2,0.6762806964132958
229,14,18,4,4,0.6772127651466802
230,14,18,4,6,0.6656011822306465
231,14,18,4,8,0.6738418480439371
232,14,18,6,2,0.6840320177546925
233,14,18,6,4,0.6769022724514441
234,14,18,6,6,0.6638801304631654
235,14,18,6,8,0.6719322437787065
236,14,18,8,2,0.6939941245933366
237,14,18,8,4,0.675059292408193
238,14,18,8,6,0.6693376806653958
239,14,18,8,8,0.6649491755648188
240,16,10,2,2,0.6535169872960425
241,16,10,2,4,0.6457982221769443
242,16,10,2,6,0.6471871146402238
243,16,10,2,8,0.6532389213914657
244,16,10,4,2,0.6452510673569457
245,16,10,4,4,0.6414605947867578
246,16,10,4,6,0.6408106362930686
247,16,10,4,8,0.6369540160117838
248,16,10,6,2,0.6366522587037778
249,16,10,6,4,0.6452947913444516
250,16,10,6,6,0.6421176305639361
251,16,10,6,8,0.6442509501859953
252,16,10,8,2,0.640708345040191
253,16,10,8,4,0.63942541747148
254,16,10,8,6,0.6452048779242076
255,16,10,8,8,0.6382639903535098
256,16,12,2,2,0.6656875952137491
257,16,12,2,4,0.6765219193798004
258,16,12,2,6,0.6594164815194289
259,16,12,2,8,0.6672710234739462
260,16,12,4,2,0.6556090095859582
261,16,12,4,4,0.6579044698133361
262,16,12,4,6,0.6538902487310568
263,16,12,4,8,0.6555905858123113
264,16,12,6,2,0.6559263219187667
265,16,12,6,4,0.6546254392859434
266,16,12,6,6,0.6530276884146606
267,16,12,6,8,0.6577384263178326
268,16,12,8,2,0.6570174825007621
269,16,12,8,4,0.650162353433264
270,16,12,8,6,0.6528744511804517
271,16,12,8,8,0.6532220562137983
272,16,14,2,2,0.6756579215823603
273,16,14,2,4,0.6750552028619281
274,16,14,2,6,0.67307967030461
275,16,14,2,8,0.6685599028403715
276,16,14,4,2,0.6732125989103735
