,p_t1,p_t2,p_t3,p_t4,score
0,10,10,2,2,0.6596319323533856
1,10,10,2,4,0.6466592811518636
2,10,10,2,6,0.6417006633218277
3,10,10,2,8,0.6478873952916208
4,10,10,4,2,0.6469400850934038
5,10,10,4,4,0.6363936550645904
6,10,10,4,6,0.6362533357008194
7,10,10,4,8,0.638048341744514
8,10,10,6,2,0.6264141532032631
9,10,10,6,4,0.6253742653869976
10,10,10,6,6,0.617108181275745
11,10,10,6,8,0.6263218970155945
12,10,10,8,2,0.6083949201145337
13,10,10,8,4,0.6038690328083737
14,10,10,8,6,0.6019286621804477
15,10,10,8,8,0.6116986813700858
16,10,12,2,2,0.6628314911695495
17,10,12,2,4,0.6479643176867054
18,10,12,2,6,0.651035929715888
19,10,12,2,8,0.6474789809641966
20,10,12,4,2,0.6511437979002456
21,10,12,4,4,0.6433144497180071
22,10,12,4,6,0.6470872711235907
23,10,12,4,8,0.6450156071343341
24,10,12,6,2,0.6434340651021064
25,10,12,6,4,0.6436233151558725
26,10,12,6,6,0.6391998474754806
27,10,12,6,8,0.6402607909807706
28,10,12,8,2,0.6305747966801508
29,10,12,8,4,0.6232612651255064
30,10,12,8,6,0.6260216086366784
31,10,12,8,8,0.6136012176613945
32,10,14,2,2,0.6663863768233981
33,10,14,2,4,0.651431359372849
34,10,14,2,6,0.6559841581881005
35,10,14,2,8,0.6494982115964651
36,10,14,4,2,0.6626140164189488
37,10,14,4,4,0.6523699894835654
38,10,14,4,6,0.6427025150098501
39,10,14,4,8,0.6473864526912785
40,10,14,6,2,0.6578153923451474
41,10,14,6,4,0.6518997575682223
42,10,14,6,6,0.644802188704425
43,10,14,6,8,0.6486958892152564
44,10,14,8,2,0.6466472438682657
45,10,14,8,4,0.6401651590473127
46,10,14,8,6,0.6367299819718047
47,10,14,8,8,0.6415820077111366
48,10,16,2,2,0.6603200260461493
49,10,16,2,4,0.6535263970942705
50,10,16,2,6,0.649086884378066
51,10,16,2,8,0.6514238192795405
52,10,16,4,2,0.6613756401221557
53,10,16,4,4,0.6569054804067226
54,10,16,4,6,0.6545526629736579
55,10,16,4,8,0.6468421193752366
56,10,16,6,2,0.663867359298306
57,10,16,6,4,0.6527546250732366
58,10,16,6,6,0.6554442904328822
59,10,16,6,8,0.6469488955889471
60,10,16,8,2,0.6648095620787648
61,10,16,8,4,0.6543483451156292
62,10,16,8,6,0.6569628141595231
63,10,16,8,8,0.6489845208798801
64,10,18,2,2,0.6566519798582771
65,10,18,2,4,0.6581161708432051
66,10,18,2,6,0.6578796610365368
67,10,18,2,8,0.6584442381139556
68,10,18,4,2,0.6662811419655756
69,10,18,4,4,0.6512350125004401
70,10,18,4,6,0.6491301420311075
71,10,18,4,8,0.6518142547384134
72,10,18,6,2,0.6631649629334074
73,10,18,6,4,0.6470575619587559
74,10,18,6,6,0.6564303448754049
75,10,18,6,8,0.6543935467846443
76,10,18,8,2,0.6693747590534552
77,10,18,8,4,0.6610588263813891
78,10,18,8,6,0.6558867344296678
79,10,18,8,8,0.6477394282803718
80,12,10,2,2,0.6549793331018331
81,12,10,2,4,0.6500191654543499
82,12,10,2,6,0.6549497203593581
83,12,10,2,8,0.6540040737450968
84,12,10,4,2,0.6323491701116265
85,12,10,4,4,0.638870726124186
86,12,10,4,6,0.6369270658451116
87,12,10,4,8,0.6254699864781338
88,12,10,6,2,0.6266198234211722
89,12,10,6,4,0.6250621109315755
90,12,10,6,6,0.6236140873613449
91,12,10,6,8,0.6201160750287603
92,12,10,8,2,0.6111080529837077
93,12,10,8,4,0.6070175902994416
94,12,10,8,6,0.6036101748639293
95,12,10,8,8,0.6040790299433949
96,12,12,2,2,0.6671972039796997
97,12,12,2,4,0.6643811096976732
98,12,12,2,6,0.6547446321984757
99,12,12,2,8,0.6491838821703669
100,12,12,4,2,0.6570360534882278
101,12,12,4,4,0.6512748877013882
102,12,12,4,6,0.6499272591902877
103,12,12,4,8,0.6483824805522996
104,12,12,6,2,0.6476322496415737
105,12,12,6,4,0.6431025094437953
106,12,12,6,6,0.6454264754349032
107,12,12,6,8,0.6406488227021881
108,12,12,8,2,0.6357155006912447
109,12,12,8,4,0.6410087334324368
110,12,12,8,6,0.6249278808862851
