,p_t1,p_t2,t,score
0,2,2,6,0.8827248829884996
1,2,4,6,0.8837514651473574
2,2,6,6,0.8832176385808873
3,2,8,6,0.8828417180456217
4,2,10,6,0.8830708207269639
5,2,50,6,0.8837169817403742
6,2,100,6,0.883183943096648
7,4,2,6,0.8833529648498911
8,4,4,6,0.8826849242126111
9,4,6,6,0.883029076931996
10,4,8,6,0.8831825562753989
11,4,10,6,0.883233169072692
12,4,50,6,0.8828035881913935
13,4,100,6,0.8822586849806676
14,6,2,6,0.8827625500195603
15,6,4,6,0.8831386595790646
16,6,6,6,0.8830533127917432
17,6,8,6,0.8829575614578155
18,6,10,6,0.883475180475747
19,6,50,6,0.8838193326667492
20,6,100,6,0.8828156964833774
21,8,2,6,0.8832863543726927
22,8,4,6,0.8831399221087245
23,8,6,6,0.8830005359593557
24,8,8,6,0.8834715045370846
25,8,10,6,0.8834405005030469
26,8,50,6,0.8824386025761216
27,8,100,6,0.8832845541183235
28,10,2,6,0.8837200453485298
29,10,4,6,0.8827116691731529
30,10,6,6,0.8833639045946827
31,10,8,6,0.8830737752788197
32,10,10,6,0.8835425588363504
33,10,50,6,0.8833327628370543
34,10,100,6,0.8831137188194188
35,50,2,6,0.8831802966494031
36,50,4,6,0.8832878965918048
37,50,6,6,0.8829948574507931
38,50,8,6,0.8831452915771266
39,50,10,6,0.8829611149081765
40,50,50,6,0.882433321300554
41,50,100,6,0.8823610515300052
42,100,2,6,0.8835013837650528
43,100,4,6,0.8832151487627993
44,100,6,6,0.8830994408434164
45,100,8,6,0.883106179566108
46,100,10,6,0.882965499888118
47,100,50,6,0.8824319520462645
48,100,100,6,0.8821788136631415
