,p_t1,p_t2,p_t3,p_t4,score
0,10,10,2,2,0.7073251754742321
1,10,10,2,4,0.698238842840686
2,10,10,2,6,0.6964164923788724
3,10,10,2,8,0.6994619788149645
4,10,10,4,2,0.6933955212319249
5,10,10,4,4,0.6963496079435533
6,10,10,4,6,0.6937272854665562
7,10,10,4,8,0.6985044535004867
8,10,10,6,2,0.7035035249580014
9,10,10,6,4,0.6958653563571469
10,10,10,6,6,0.6911132640276442
11,10,10,6,8,0.6963902719340932
12,10,10,8,2,0.6944979171369843
13,10,10,8,4,0.6967390656735928
14,10,10,8,6,0.6982696775537863
15,10,10,8,8,0.6924397577818006
16,10,12,2,2,0.7009254133703008
17,10,12,2,4,0.7002196929818538
18,10,12,2,6,0.6979502524717125
19,10,12,2,8,0.7000535112030133
20,10,12,4,2,0.7047729236549863
21,10,12,4,4,0.7066992421436747
22,10,12,4,6,0.701882803843615
23,10,12,4,8,0.7006542516713331
24,10,12,6,2,0.7079510794605798
25,10,12,6,4,0.7040620698143667
26,10,12,6,6,0.7060940448845572
27,10,12,6,8,0.6993518117554673
28,10,12,8,2,0.6975008641607204
29,10,12,8,4,0.6992684214698972
30,10,12,8,6,0.6974100340997663
31,10,12,8,8,0.6993875158359005
32,10,14,2,2,0.7091030245587545
33,10,14,2,4,0.6944275941211805
34,10,14,2,6,0.696410839639551
35,10,14,2,8,0.7022278895264749
36,10,14,4,2,0.7034938015281766
37,10,14,4,4,0.7018464878759838
38,10,14,4,6,0.7015080741181133
39,10,14,4,8,0.6996374454843028
40,10,14,6,2,0.7001864301580089
41,10,14,6,4,0.7017266467613833
42,10,14,6,6,0.6948059553517397
43,10,14,6,8,0.704391759914962
44,10,14,8,2,0.7031842824003082
45,10,14,8,4,0.6982832684470862
46,10,14,8,6,0.6978300093206977
47,10,14,8,8,0.7009302424762504
48,10,16,2,2,0.702306433173439
49,10,16,2,4,0.7020909192279019
50,10,16,2,6,0.7001852066846447
51,10,16,2,8,0.7029309433120369
52,10,16,4,2,0.7108013646475065
53,10,16,4,4,0.7044179522328281
54,10,16,4,6,0.6997488464100159
55,10,16,4,8,0.6984095103701767
56,10,16,6,2,0.7074341333976221
57,10,16,6,4,0.7002290624362891
58,10,16,6,6,0.6979183621101889
59,10,16,6,8,0.6998646954709281
60,10,16,8,2,0.7041149412068521
61,10,16,8,4,0.7026174970218323
62,10,16,8,6,0.7052427884339946
63,10,16,8,8,0.7009846283690978
64,10,18,2,2,0.6980875472280332
65,10,18,2,4,0.7031306962206191
66,10,18,2,6,0.7038589350505849
67,10,18,2,8,0.7041159356106762
68,10,18,4,2,0.7107144660384482
69,10,18,4,4,0.6969530668938813
70,10,18,4,6,0.7035160812377171
71,10,18,4,8,0.7040522755127491
72,10,18,6,2,0.7072314101475904
73,10,18,6,4,0.6989324974202367
74,10,18,6,6,0.700713321639857
75,10,18,6,8,0.6975811634517107
76,10,18,8,2,0.704389302662336
77,10,18,8,4,0.7002591049991481
78,10,18,8,6,0.695983347218029
79,10,18,8,8,0.6960637967292594
80,12,10,2,2,0.7024519578430791
81,12,10,2,4,0.6954071757345363
82,12,10,2,6,0.7015451358537598
83,12,10,2,8,0.6937771454829805
84,12,10,4,2,0.6979299730144096
85,12,10,4,4,0.6996796027539555
86,12,10,4,6,0.6973540581606108
87,12,10,4,8,0.7012246488905696
88,12,10,6,2,0.7033400084434733
89,12,10,6,4,0.6991243161766442
