,p_t1,p_t2,p_t3,p_t4,score
0,10,10,2,2,0.7003306104206559
1,10,10,2,4,0.6978017238767326
2,10,10,2,6,0.6987293092401908
3,10,10,2,8,0.6980637904045576
4,10,10,4,2,0.7018513274015784
5,10,10,4,4,0.6969306360658534
6,10,10,4,6,0.7039761587477308
7,10,10,4,8,0.6970281424217788
8,10,10,6,2,0.7065711998217058
9,10,10,6,4,0.7006364859038493
10,10,10,6,6,0.7105946923391611
11,10,10,6,8,0.6984155531816941
12,10,10,8,2,0.7052948676664771
13,10,10,8,4,0.6913123700630072
14,10,10,8,6,0.7003744474246067
15,10,10,8,8,0.6919364691198964
16,10,12,2,2,0.7096970439596167
17,10,12,2,4,0.6997554065360673
18,10,12,2,6,0.7018974197523091
19,10,12,2,8,0.7082617288735594
20,10,12,4,2,0.7125538254494708
21,10,12,4,4,0.7019841986549747
22,10,12,4,6,0.6993598236613036
23,10,12,4,8,0.7003518144641768
24,10,12,6,2,0.708183238059724
25,10,12,6,4,0.6988984508479881
26,10,12,6,6,0.6975200850055114
27,10,12,6,8,0.6956794467232806
28,10,12,8,2,0.6986440189035181
29,10,12,8,4,0.6976740597880541
30,10,12,8,6,0.6988222648147099
31,10,12,8,8,0.6938218211549264
32,10,14,2,2,0.7011397203555313
33,10,14,2,4,0.702920742288843
34,10,14,2,6,0.6977086021782224
35,10,14,2,8,0.6976690579127091
36,10,14,4,2,0.7010257136773981
37,10,14,4,4,0.70036690602145
38,10,14,4,6,0.7015538505871012
39,10,14,4,8,0.7028656185288602
40,10,14,6,2,0.7064480909369711
41,10,14,6,4,0.7015786435517549
42,10,14,6,6,0.6985105924534131
43,10,14,6,8,0.7060093749871378
44,10,14,8,2,0.7064792102276755
45,10,14,8,4,0.7038248924735977
46,10,14,8,6,0.7053354382537168
47,10,14,8,8,0.700485960680684
48,10,16,2,2,0.7029890817467684
49,10,16,2,4,0.7028480262978024
50,10,16,2,6,0.7037031543802857
51,10,16,2,8,0.7008635723559826
52,10,16,4,2,0.7032160817203326
53,10,16,4,4,0.7026456181331017
54,10,16,4,6,0.7063874224987176
55,10,16,4,8,0.70363011363844
56,10,16,6,2,0.7048827438008156
57,10,16,6,4,0.7102859481676553
58,10,16,6,6,0.700794406287392
59,10,16,6,8,0.705017077448205
60,10,16,8,2,0.7033157168076096
61,10,16,8,4,0.6994994763769378
62,10,16,8,6,0.7008780299793917
63,10,16,8,8,0.710159147471809
64,10,18,2,2,0.7032660466982911
65,10,18,2,4,0.7024874166718448
66,10,18,2,6,0.7045316003095704
67,10,18,2,8,0.7027206861952263
68,10,18,4,2,0.7115638191523054
69,10,18,4,4,0.7041399109598899
70,10,18,4,6,0.7072856265421062
71,10,18,4,8,0.6991618526821766
72,10,18,6,2,0.7037644529405069
73,10,18,6,4,0.701803650077509
74,10,18,6,6,0.7103933716636378
