,p_t1,p_t2,p_t3,p_t4,score
0,10,10,2,2,0.7031391869677742
1,10,10,2,4,0.6963114261150656
2,10,10,2,6,0.6978999588792064
3,10,10,2,8,0.6997705823669843
4,10,10,4,2,0.7008587936123902
5,10,10,4,4,0.693874376006003
6,10,10,4,6,0.6990303132223162
7,10,10,4,8,0.7010308256978504
8,10,10,6,2,0.7027509358873408
9,10,10,6,4,0.6980393616035873
10,10,10,6,6,0.7002421368787447
11,10,10,6,8,0.6978348859899733
12,10,10,8,2,0.7053617336212225
13,10,10,8,4,0.6988108364985619
14,10,10,8,6,0.6984212416780654
15,10,10,8,8,0.696570824949903
16,10,12,2,2,0.7023354366500748
17,10,12,2,4,0.6980086462351934
18,10,12,2,6,0.6991338911861894
19,10,12,2,8,0.6986521118313549
20,10,12,4,2,0.703387212335321
21,10,12,4,4,0.7001971893233646
22,10,12,4,6,0.7011540002251309
23,10,12,4,8,0.6992398633204422
24,10,12,6,2,0.7035345657861312
25,10,12,6,4,0.7015803054302646
26,10,12,6,6,0.7004849184215599
27,10,12,6,8,0.694859103666224
28,10,12,8,2,0.7114704983865053
29,10,12,8,4,0.7037921181117182
30,10,12,8,6,0.700442195238472
31,10,12,8,8,0.7022874917362634
32,10,14,2,2,0.7075540388766708
33,10,14,2,4,0.7014258135476447
34,10,14,2,6,0.701905853460271
35,10,14,2,8,0.702065917829203
36,10,14,4,2,0.7063129334113265
37,10,14,4,4,0.6988953837489159
38,10,14,4,6,0.7003666773937461
39,10,14,4,8,0.7047717170352636
40,10,14,6,2,0.7005687587132291
41,10,14,6,4,0.7036568688218212
42,10,14,6,6,0.7026983436374604
43,10,14,6,8,0.7048289815373924
44,10,14,8,2,0.7077482525367769
45,10,14,8,4,0.7010155551882008
46,10,14,8,6,0.6960832383368952
47,10,14,8,8,0.7052329499168631
48,10,16,2,2,0.7008651869032635
49,10,16,2,4,0.7028423790335617
50,10,16,2,6,0.7007737533227999
51,10,16,2,8,0.7039205630388868
52,10,16,4,2,0.6986806258791592
53,10,16,4,4,0.6995117749343868
54,10,16,4,6,0.7025929800889134
55,10,16,4,8,0.7035187065120375
56,10,16,6,2,0.7041254736475824
57,10,16,6,4,0.7000057973737134
58,10,16,6,6,0.7014391297738212
59,10,16,6,8,0.7024505593714189
60,10,16,8,2,0.7049760508283914
61,10,16,8,4,0.7024285693384419
62,10,16,8,6,0.7026603199536948
63,10,16,8,8,0.7043167477393711
64,10,18,2,2,0.7075494093249315
65,10,18,2,4,0.7019357014178637
66,10,18,2,6,0.701483652417617
67,10,18,2,8,0.6956054002386222
68,10,18,4,2,0.7082519657850362
69,10,18,4,4,0.7025072870827259
70,10,18,4,6,0.7091250153638983
71,10,18,4,8,0.7094984438064486
72,10,18,6,2,0.7027703038478411
73,10,18,6,4,0.7023539615782087
74,10,18,6,6,0.6975286253068251
75,10,18,6,8,0.7038243959093705
76,10,18,8,2,0.7052285781039358
77,10,18,8,4,0.7062126550472567
78,10,18,8,6,0.7017491419164483
79,10,18,8,8,0.7045551480770594
80,12,10,2,2,0.7030019517339491
81,12,10,2,4,0.7019079976934385
82,12,10,2,6,0.6995799531371305
83,12,10,2,8,0.6982852061639715
84,12,10,4,2,0.6996574925146724
85,12,10,4,4,0.6940892675050514
86,12,10,4,6,0.7012858170952976
87,12,10,4,8,0.6991782107348409
88,12,10,6,2,0.7042373119878671
89,12,10,6,4,0.6955426195746247
90,12,10,6,6,0.6982640381375157
91,12,10,6,8,0.6960673392875648
92,12,10,8,2,0.6998778746120881
93,12,10,8,4,0.6963012393847191
94,12,10,8,6,0.6977795104670778
95,12,10,8,8,0.6977189158507309
96,12,12,2,2,0.7160655509332363
97,12,12,2,4,0.7088661124300805
98,12,12,2,6,0.7066300839071378
99,12,12,2,8,0.6984594454719253
100,12,12,4,2,0.7169128388821809
101,12,12,4,4,0.7003870143108823
102,12,12,4,6,0.709340472615582
103,12,12,4,8,0.7039605570982636
104,12,12,6,2,0.7081049255993906
105,12,12,6,4,0.7124018698247944
106,12,12,6,6,0.7043263844840286
107,12,12,6,8,0.7047048406186343
108,12,12,8,2,0.7059335586608569
109,12,12,8,4,0.70851779022392
110,12,12,8,6,0.705449664207198
111,12,12,8,8,0.7013271456999436
112,12,14,2,2,0.7101745343726867
113,12,14,2,4,0.7078413091568923
114,12,14,2,6,0.7028058017956652
115,12,14,2,8,0.7095418557374966
116,12,14,4,2,0.7182951837575352
117,12,14,4,4,0.7055329826150221
118,12,14,4,6,0.7036563529974114
119,12,14,4,8,0.7082603908063315
120,12,14,6,2,0.7222648505442528
121,12,14,6,4,0.7073313547981236
122,12,14,6,6,0.7092046862446084
123,12,14,6,8,0.7028499899542867
124,12,14,8,2,0.7187916375455611
125,12,14,8,4,0.7096995194414263
126,12,14,8,6,0.7087710129612024
127,12,14,8,8,0.7076069375664852
128,12,16,2,2,0.7158455459550132
129,12,16,2,4,0.7104687758241547
130,12,16,2,6,0.701584267434348
131,12,16,2,8,0.705608804327908
132,12,16,4,2,0.7165396056769756
133,12,16,4,4,0.7142463138817807
134,12,16,4,6,0.7082837485643548
135,12,16,4,8,0.7081515100154192
136,12,16,6,2,0.7221337902253776
137,12,16,6,4,0.7025432430107045
138,12,16,6,6,0.7121555143254636
139,12,16,6,8,0.7133188862181674
140,12,16,8,2,0.710154303752358
141,12,16,8,4,0.7015435432057494
142,12,16,8,6,0.7079766713114607
143,12,16,8,8,0.7088969268221109
144,12,18,2,2,0.7175395217315282
145,12,18,2,4,0.7134588596486223
146,12,18,2,6,0.7069956096585931
147,12,18,2,8,0.7099438877693628
148,12,18,4,2,0.7100104907759395
149,12,18,4,4,0.7092016473839763
150,12,18,4,6,0.7044838320575967
151,12,18,4,8,0.7145341410667276
152,12,18,6,2,0.7197760499829758
153,12,18,6,4,0.7086319008362366
154,12,18,6,6,0.7054869960879312
155,12,18,6,8,0.7103794352410518
156,12,18,8,2,0.7206880589196186
157,12,18,8,4,0.707885274498454
158,12,18,8,6,0.706690519931922
159,12,18,8,8,0.7024520473801467
160,14,10,2,2,0.7084460512293741
161,14,10,2,4,0.7004837613704616
162,14,10,2,6,0.7017245057876811
163,14,10,2,8,0.704467269661757
164,14,10,4,2,0.7010921131501262
165,14,10,4,4,0.6987931037304386
166,14,10,4,6,0.6995826978769535
167,14,10,4,8,0.7044117936551467
168,14,10,6,2,0.6999977976152373
169,14,10,6,4,0.7022939163406945
170,14,10,6,6,0.7043092952098277
171,14,10,6,8,0.6982341354897866
172,14,10,8,2,0.709544640193477
173,14,10,8,4,0.7063773802764152
174,14,10,8,6,0.7056563643640148
175,14,10,8,8,0.7054059081466413
176,14,12,2,2,0.7269497287727277
177,14,12,2,4,0.7084401285434551
178,14,12,2,6,0.7121191926919677
179,14,12,2,8,0.7071181837680535
180,14,12,4,2,0.7073220382886403
181,14,12,4,4,0.7124741962384743
182,14,12,4,6,0.7098041293878223
183,14,12,4,8,0.7069102351457555
184,14,12,6,2,0.7121478159126463
185,14,12,6,4,0.7154583533198181
186,14,12,6,6,0.7040248157378736
187,14,12,6,8,0.7050570183635352
188,14,12,8,2,0.7117682589009418
189,14,12,8,4,0.7180635429909055
190,14,12,8,6,0.7065486985680346
191,14,12,8,8,0.7102226192817138
192,14,14,2,2,0.7216624896826431
193,14,14,2,4,0.7124723745990446
194,14,14,2,6,0.7115429183862784
195,14,14,2,8,0.7089966492071191
196,14,14,4,2,0.728655477332998
197,14,14,4,4,0.7145706364173003
198,14,14,4,6,0.7091715459187342
199,14,14,4,8,0.7095640039168635
200,14,14,6,2,0.7186726995099276
201,14,14,6,4,0.7154065845927359
202,14,14,6,6,0.7140323792863632
203,14,14,6,8,0.7114592058665629
204,14,14,8,2,0.7246867050717768
205,14,14,8,4,0.7176632133527369
206,14,14,8,6,0.710740199772677
207,14,14,8,8,0.710678076938919
208,14,16,2,2,0.7196701096374394
209,14,16,2,4,0.7171323166346183
210,14,16,2,6,0.7124632712199143
211,14,16,2,8,0.712804871839448
212,14,16,4,2,0.720872765419143
213,14,16,4,4,0.7161993164774217
214,14,16,4,6,0.7131456796984915
215,14,16,4,8,0.7090363874307614
216,14,16,6,2,0.7221506534809286
217,14,16,6,4,0.720144729105458
218,14,16,6,6,0.7098901864474666
219,14,16,6,8,0.7083385895408894
220,14,16,8,2,0.7229701808009158
221,14,16,8,4,0.722337691388752
222,14,16,8,6,0.7166065528238953
223,14,16,8,8,0.7133528862531682
224,14,18,2,2,0.7260581981421779
225,14,18,2,4,0.7177224341506204
226,14,18,2,6,0.7177135639354825
227,14,18,2,8,0.7087857494223231
228,14,18,4,2,0.7129629745547476
229,14,18,4,4,0.7170196838465429
230,14,18,4,6,0.7159083528489897
231,14,18,4,8,0.7125124810270842
232,14,18,6,2,0.7269476699675105
233,14,18,6,4,0.7136830270928072
234,14,18,6,6,0.7136672404341476
235,14,18,6,8,0.7179373613596393
236,14,18,8,2,0.7270739889986556
237,14,18,8,4,0.7140482888263779
238,14,18,8,6,0.7136867586410625
239,14,18,8,8,0.7095936454966161
240,16,10,2,2,0.7035831338567989
241,16,10,2,4,0.702668947439996
242,16,10,2,6,0.7129328789970747
243,16,10,2,8,0.7040204914784276
244,16,10,4,2,0.7023462201249963
245,16,10,4,4,0.7068704879417123
246,16,10,4,6,0.701662372087077
247,16,10,4,8,0.705552719069575
248,16,10,6,2,0.7016726108788195
249,16,10,6,4,0.7050059735248456
250,16,10,6,6,0.6989613313156037
251,16,10,6,8,0.7019704070245348
252,16,10,8,2,0.7063319742088586
253,16,10,8,4,0.7026778640386847
254,16,10,8,6,0.6988550208244786
255,16,10,8,8,0.7086245779039948
256,16,12,2,2,0.720183039204322
257,16,12,2,4,0.7127045853937544
258,16,12,2,6,0.7130288340082327
259,16,12,2,8,0.7140215978513798
260,16,12,4,2,0.7191880833308245
261,16,12,4,4,0.709670331226841
262,16,12,4,6,0.714735548235396
263,16,12,4,8,0.7124331675467189
264,16,12,6,2,0.7150639754907089
265,16,12,6,4,0.7075501104610571
266,16,12,6,6,0.7143023019139937
267,16,12,6,8,0.7063617341978192
