,p_t1,p_t2,p_t3,p_t4,score
0,10,10,2,2,0.6514950563233249
1,10,10,2,4,0.6429110446720522
2,10,10,2,6,0.6454399044452638
3,10,10,2,8,0.6481477151941321
4,10,10,4,2,0.6397704974196415
5,10,10,4,4,0.635067603061888
6,10,10,4,6,0.6329213944209809
7,10,10,4,8,0.6352341873067839
8,10,10,6,2,0.6282323142648601
9,10,10,6,4,0.6214239811531087
10,10,10,6,6,0.6157265614689771
11,10,10,6,8,0.6205001266388647
12,10,10,8,2,0.6060935142747237
13,10,10,8,4,0.6061034048351737
14,10,10,8,6,0.616946436334146
15,10,10,8,8,0.6105321634019617
16,10,12,2,2,0.6704416342454064
17,10,12,2,4,0.642603619097928
18,10,12,2,6,0.6442412012866798
19,10,12,2,8,0.6519616038464098
20,10,12,4,2,0.6618981184048954
21,10,12,4,4,0.6500664760039072
22,10,12,4,6,0.6484779228109717
23,10,12,4,8,0.6421861073261851
24,10,12,6,2,0.6414737254092179
25,10,12,6,4,0.6453128837060084
26,10,12,6,6,0.6275711535308601
27,10,12,6,8,0.6385890621189283
28,10,12,8,2,0.6175762380523769
29,10,12,8,4,0.6152945459000451
30,10,12,8,6,0.6225104165395937
31,10,12,8,8,0.6370800234440993
32,10,14,2,2,0.6721083762079516
33,10,14,2,4,0.6541353829765983
34,10,14,2,6,0.6471043084624434
35,10,14,2,8,0.6492268500787749
36,10,14,4,2,0.6684790471824426
37,10,14,4,4,0.6582583293544305
38,10,14,4,6,0.6473046070791001
39,10,14,4,8,0.6393311938263485
40,10,14,6,2,0.6600384804352631
41,10,14,6,4,0.6645777370258266
42,10,14,6,6,0.6442643077737976
43,10,14,6,8,0.6500750474314293
44,10,14,8,2,0.6449833690070027
45,10,14,8,4,0.6500545392630551
46,10,14,8,6,0.6359182995681552
47,10,14,8,8,0.6352965205486993
48,10,16,2,2,0.6638586211053485
49,10,16,2,4,0.6602652501630116
50,10,16,2,6,0.6556106735912757
51,10,16,2,8,0.654204956995274
52,10,16,4,2,0.6652876056291958
53,10,16,4,4,0.6569179384224499
54,10,16,4,6,0.6581743229697326
55,10,16,4,8,0.6504356104281854
56,10,16,6,2,0.6771908056509517
57,10,16,6,4,0.6625150321539862
58,10,16,6,6,0.6529425550269019
59,10,16,6,8,0.6497669391740937
60,10,16,8,2,0.6609434071162603
61,10,16,8,4,0.6495132202362098
62,10,16,8,6,0.6463935220060802
63,10,16,8,8,0.649591250626708
64,10,18,2,2,0.6657918173642013
65,10,18,2,4,0.6586078176134265
66,10,18,2,6,0.650545640630293
67,10,18,2,8,0.647693405850925
68,10,18,4,2,0.6705844960377662
69,10,18,4,4,0.6598419908183489
70,10,18,4,6,0.6537268363611042
71,10,18,4,8,0.6582219712173162
72,10,18,6,2,0.6575481381894018
73,10,18,6,4,0.6614368753249605
74,10,18,6,6,0.6561791290657814
75,10,18,6,8,0.6514744944960409
76,10,18,8,2,0.6748031368606449
77,10,18,8,4,0.663963374455435
78,10,18,8,6,0.6519761190957475
79,10,18,8,8,0.6429487783847887
80,12,10,2,2,0.660385753861792
81,12,10,2,4,0.6489491162254534
82,12,10,2,6,0.6513149461751441
83,12,10,2,8,0.6506804666883389
84,12,10,4,2,0.6458322517378359
85,12,10,4,4,0.6402427490314125
86,12,10,4,6,0.6388695208589842
87,12,10,4,8,0.6273643778275382
88,12,10,6,2,0.6136536591498917
89,12,10,6,4,0.6120157105696147
90,12,10,6,6,0.614924979848625
91,12,10,6,8,0.6063859215718248
92,12,10,8,2,0.621840629295061
93,12,10,8,4,0.6156621632862597
94,12,10,8,6,0.6032912430067019
95,12,10,8,8,0.5943920572981272
96,12,12,2,2,0.665319170483554
97,12,12,2,4,0.6602735506808538
98,12,12,2,6,0.6550673405995954
99,12,12,2,8,0.64909106649
100,12,12,4,2,0.6533878571155161
101,12,12,4,4,0.6581502349729619
102,12,12,4,6,0.6460219689224241
103,12,12,4,8,0.6498466305517353
104,12,12,6,2,0.6416148809049403
105,12,12,6,4,0.6460965433992627
106,12,12,6,6,0.6361421581254734
107,12,12,6,8,0.6364551096688473
108,12,12,8,2,0.6170458873841222
109,12,12,8,4,0.6206772659333474
110,12,12,8,6,0.6166131470353678
111,12,12,8,8,0.6160067770091993
112,12,14,2,2,0.6722130441500577
113,12,14,2,4,0.6614820198996983
114,12,14,2,6,0.6570446239278004
115,12,14,2,8,0.6650838340822385
116,12,14,4,2,0.6642540748348296
117,12,14,4,4,0.6665739220610615
118,12,14,4,6,0.65497205402401
119,12,14,4,8,0.6530436415862583
120,12,14,6,2,0.6561140676740443
121,12,14,6,4,0.6511113611696674
122,12,14,6,6,0.6516760182911928
123,12,14,6,8,0.654051848667648
124,12,14,8,2,0.6422429383413352
