,p_t1,p_t2,p_t3,p_t4,score
0,10,10,2,2,0.5111838625471371
1,10,10,2,4,0.5055449511938456
2,10,10,2,6,0.5039265158570644
3,10,10,2,8,0.5099166653133292
4,10,10,4,2,0.5076881360087312
5,10,10,4,4,0.5053770547119458
6,10,10,4,6,0.5058642231948319
7,10,10,4,8,0.5059662445924279
8,10,10,6,2,0.50485400821047
9,10,10,6,4,0.5059234029492924
10,10,10,6,6,0.5043045597963672
11,10,10,6,8,0.505631006953588
12,10,10,8,2,0.506164919912548
13,10,10,8,4,0.5035472700294558
14,10,10,8,6,0.5026216445142696
15,10,10,8,8,0.5028761661271609
16,10,12,2,2,0.5138489820458155
17,10,12,2,4,0.5086222305782114
18,10,12,2,6,0.5097113566598072
19,10,12,2,8,0.5082478235544837
20,10,12,4,2,0.5089473940165558
21,10,12,4,4,0.5081455942816668
22,10,12,4,6,0.5059415064463945
23,10,12,4,8,0.5073447608436642
24,10,12,6,2,0.507344465482486
25,10,12,6,4,0.5039726275701146
26,10,12,6,6,0.5108080862390534
27,10,12,6,8,0.5046710085166576
28,10,12,8,2,0.5082379488035982
29,10,12,8,4,0.5039021779257806
30,10,12,8,6,0.5078269985660206
31,10,12,8,8,0.5048015313003105
32,10,14,2,2,0.5115366351360464
33,10,14,2,4,0.5120555768031411
34,10,14,2,6,0.5124203881027826
35,10,14,2,8,0.5101580137858921
36,10,14,4,2,0.5121509598177734
37,10,14,4,4,0.5102790731692627
38,10,14,4,6,0.512206741649207
39,10,14,4,8,0.5099780443452296
40,10,14,6,2,0.5092783679052992
41,10,14,6,4,0.5095833627080784
42,10,14,6,6,0.5128759404858738
43,10,14,6,8,0.5077976201294837
44,10,14,8,2,0.5072198021946472
45,10,14,8,4,0.508874344880032
46,10,14,8,6,0.506689994228478
47,10,14,8,8,0.5075856113747362
48,10,16,2,2,0.5118706712194839
49,10,16,2,4,0.5108020801278003
50,10,16,2,6,0.5086471370565276
51,10,16,2,8,0.5126467335003464
52,10,16,4,2,0.5090735239278644
53,10,16,4,4,0.5081690341365132
54,10,16,4,6,0.5079303154570044
55,10,16,4,8,0.5136432360995017
56,10,16,6,2,0.5102337283034886
57,10,16,6,4,0.5083506362264419
58,10,16,6,6,0.5125268085465717
59,10,16,6,8,0.5061708181270838
60,10,16,8,2,0.5092986708382506
61,10,16,8,4,0.5066894613570215
62,10,16,8,6,0.5125250415123619
63,10,16,8,8,0.5129489596544364
64,10,18,2,2,0.5137078204070762
65,10,18,2,4,0.5117294723442926
66,10,18,2,6,0.5093460803511749
67,10,18,2,8,0.5080377075473116
68,10,18,4,2,0.5067957502136665
69,10,18,4,4,0.5120926179037579
70,10,18,4,6,0.5100322560151517
71,10,18,4,8,0.5131597695968572
72,10,18,6,2,0.5063992336798394
73,10,18,6,4,0.5094365003308302
74,10,18,6,6,0.5084809001158761
75,10,18,6,8,0.5094048910082131
76,10,18,8,2,0.5080986784301645
77,10,18,8,4,0.510643151323621
78,10,18,8,6,0.5108436887653025
79,10,18,8,8,0.5083968480764055
