,p_t1,p_t2,p_t3,p_t4,score
0,10,10,2,2,0.6967506263725783
1,10,10,2,4,0.6838156168515456
2,10,10,2,6,0.6901647539992181
3,10,10,2,8,0.6920215062032197
4,10,10,4,2,0.6925577601901399
5,10,10,4,4,0.6941477053185205
6,10,10,4,6,0.6999446471250176
7,10,10,4,8,0.695550696441139
8,10,10,6,2,0.6998113246540347
9,10,10,6,4,0.6937787331806358
10,10,10,6,6,0.6926120724263124
11,10,10,6,8,0.6935596941011167
12,10,10,8,2,0.701691608104222
13,10,10,8,4,0.6946846832048571
14,10,10,8,6,0.6947976392256999
15,10,10,8,8,0.6936628395446749
16,10,12,2,2,0.7047788554853621
17,10,12,2,4,0.6963338137723415
18,10,12,2,6,0.6964649181666033
19,10,12,2,8,0.6950797451302945
20,10,12,4,2,0.7049834711341992
21,10,12,4,4,0.7000319188562818
22,10,12,4,6,0.6987325506687266
23,10,12,4,8,0.6883188702322435
24,10,12,6,2,0.7052877624036823
25,10,12,6,4,0.6944384754812739
26,10,12,6,6,0.6969325885439571
27,10,12,6,8,0.699248858647565
28,10,12,8,2,0.7021980382022743
29,10,12,8,4,0.6980763244493705
30,10,12,8,6,0.6935577617512774
31,10,12,8,8,0.6970072414308227
32,10,14,2,2,0.6940834668975439
33,10,14,2,4,0.6990351991713619
34,10,14,2,6,0.6972314221125702
35,10,14,2,8,0.6957731934624515
36,10,14,4,2,0.702435175358935
37,10,14,4,4,0.6977170719512946
38,10,14,4,6,0.6965381192020624
39,10,14,4,8,0.6954992591184546
40,10,14,6,2,0.7002624866946888
41,10,14,6,4,0.6946629869949758
42,10,14,6,6,0.6983002298159592
43,10,14,6,8,0.6999796167831329
44,10,14,8,2,0.6979031915194751
45,10,14,8,4,0.6990551733154821
46,10,14,8,6,0.7014952335793666
47,10,14,8,8,0.6987474754362942
48,10,16,2,2,0.7091638871727346
49,10,16,2,4,0.6968017914782797
50,10,16,2,6,0.6984630207406374
51,10,16,2,8,0.7005781882786
52,10,16,4,2,0.6975417181291048
53,10,16,4,4,0.6930062950297469
54,10,16,4,6,0.6997385772700668
55,10,16,4,8,0.6971209130139798
56,10,16,6,2,0.7002965127514283
57,10,16,6,4,0.696002553997033
58,10,16,6,6,0.6956354019950838
59,10,16,6,8,0.7067624019647649
60,10,16,8,2,0.7031488761942878
61,10,16,8,4,0.6964754095795446
62,10,16,8,6,0.6970346799474904
63,10,16,8,8,0.6989750271157251
64,10,18,2,2,0.7043231382565658
65,10,18,2,4,0.7019081620197088
66,10,18,2,6,0.7004704311778688
67,10,18,2,8,0.6916322404324321
68,10,18,4,2,0.7050893673315155
69,10,18,4,4,0.7022995955156578
70,10,18,4,6,0.6954210308534142
71,10,18,4,8,0.69207392847817
72,10,18,6,2,0.7072251044357478
73,10,18,6,4,0.7010447986105977
74,10,18,6,6,0.6950674281916686
75,10,18,6,8,0.6976448462649593
76,10,18,8,2,0.7103113368843456
77,10,18,8,4,0.6926130783562204
78,10,18,8,6,0.6976258439060586
79,10,18,8,8,0.6981466706210079
80,12,10,2,2,0.6974724679293347
81,12,10,2,4,0.6996805042459542
82,12,10,2,6,0.6946189925625875
83,12,10,2,8,0.7022275301538966
84,12,10,4,2,0.6889535204919318
85,12,10,4,4,0.6975279486977063
86,12,10,4,6,0.6990380493872026
87,12,10,4,8,0.7027429251860449
88,12,10,6,2,0.6930378482402085
89,12,10,6,4,0.6961585845187361
90,12,10,6,6,0.7004274482723941
91,12,10,6,8,0.7001786622776339
92,12,10,8,2,0.6944652460967973
93,12,10,8,4,0.695897253669712
94,12,10,8,6,0.6936849214012639
95,12,10,8,8,0.6980312101560019
96,12,12,2,2,0.7080647013712479
97,12,12,2,4,0.7128318197499
98,12,12,2,6,0.7048813848099392
99,12,12,2,8,0.7090165874040406
100,12,12,4,2,0.707167066292239
101,12,12,4,4,0.6950907975345272
102,12,12,4,6,0.6980685637311165
103,12,12,4,8,0.7011814927596601
104,12,12,6,2,0.7126553096640992
105,12,12,6,4,0.7087144950980987
106,12,12,6,6,0.6992487903269279
107,12,12,6,8,0.6986818255574231
108,12,12,8,2,0.7017210343593262
109,12,12,8,4,0.7079867208494631
110,12,12,8,6,0.6948950484470687
111,12,12,8,8,0.7025085062522902
112,12,14,2,2,0.7167246774496142
113,12,14,2,4,0.7096653049276437
114,12,14,2,6,0.7069335344255734
115,12,14,2,8,0.7031904404251863
116,12,14,4,2,0.7081467967228989
117,12,14,4,4,0.703185120852105
118,12,14,4,6,0.7105597234820564
119,12,14,4,8,0.7060172418947949
120,12,14,6,2,0.7164086200842572
121,12,14,6,4,0.7033888114230646
122,12,14,6,6,0.7054987028728367
123,12,14,6,8,0.707257528920695
124,12,14,8,2,0.7160551207348945
125,12,14,8,4,0.702449775575467
126,12,14,8,6,0.7026721367665475
127,12,14,8,8,0.7023715191316727
128,12,16,2,2,0.7141590629086636
129,12,16,2,4,0.7005116344258062
130,12,16,2,6,0.7081007892770428
131,12,16,2,8,0.7051830417495101
132,12,16,4,2,0.7174741078490575
133,12,16,4,4,0.7111023886005078
134,12,16,4,6,0.7015957137321648
135,12,16,4,8,0.7092576639733106
136,12,16,6,2,0.711337425307204
137,12,16,6,4,0.7010103360364736
138,12,16,6,6,0.7061428157391937
139,12,16,6,8,0.7079581049080076
140,12,16,8,2,0.7155955949195203
141,12,16,8,4,0.7087059901068237
142,12,16,8,6,0.7099026125610202
143,12,16,8,8,0.7011457872613125
144,12,18,2,2,0.7172960649930372
145,12,18,2,4,0.7024021778912374
146,12,18,2,6,0.7078111395234258
147,12,18,2,8,0.7094085733792008
148,12,18,4,2,0.7193195021611776
149,12,18,4,4,0.7090314156333372
150,12,18,4,6,0.6979179760409148
151,12,18,4,8,0.7008288753077655
152,12,18,6,2,0.7104001993361037
153,12,18,6,4,0.7079375301366699
154,12,18,6,6,0.7010104680790752
155,12,18,6,8,0.7045165289350059
156,12,18,8,2,0.7153407831971604
157,12,18,8,4,0.7115688229727278
158,12,18,8,6,0.703116136537271
159,12,18,8,8,0.7003231184884663
160,14,10,2,2,0.6926408004332791
161,14,10,2,4,0.6982271970630837
162,14,10,2,6,0.6969202321304513
163,14,10,2,8,0.702999051957972
164,14,10,4,2,0.6959341132157425
165,14,10,4,4,0.6904102017402911
166,14,10,4,6,0.6943028981980581
167,14,10,4,8,0.6964734638837561
168,14,10,6,2,0.6944657521674872
169,14,10,6,4,0.7020370117037907
170,14,10,6,6,0.6961514621592021
171,14,10,6,8,0.7035446916567714
172,14,10,8,2,0.6974652373437089
173,14,10,8,4,0.7089033198168239
174,14,10,8,6,0.7023106665708335
175,14,10,8,8,0.6954255021381225
176,14,12,2,2,0.7065357673151743
177,14,12,2,4,0.7059118626731666
178,14,12,2,6,0.7096388259965097
179,14,12,2,8,0.7098886493989877
180,14,12,4,2,0.7143353478271502
181,14,12,4,4,0.7052439660111968
182,14,12,4,6,0.7017844505858327
183,14,12,4,8,0.704630906448647
184,14,12,6,2,0.7173623672474442
185,14,12,6,4,0.703883916837096
186,14,12,6,6,0.7096462403412275
187,14,12,6,8,0.704279328185398
188,14,12,8,2,0.712005442609391
189,14,12,8,4,0.7065978769605884
190,14,12,8,6,0.7108859323952196
191,14,12,8,8,0.7083197971932039
192,14,14,2,2,0.7231868933227977
193,14,14,2,4,0.714635135274615
194,14,14,2,6,0.708264215882472
195,14,14,2,8,0.7081309192309275
196,14,14,4,2,0.721492990659285
197,14,14,4,4,0.7122475081023394
198,14,14,4,6,0.7166273743850559
199,14,14,4,8,0.7048507765885721
200,14,14,6,2,0.7176208777641501
201,14,14,6,4,0.7186926835411066
202,14,14,6,6,0.7163138747814543
203,14,14,6,8,0.7075751023267527
204,14,14,8,2,0.7165466136555199
205,14,14,8,4,0.7166670683661369
206,14,14,8,6,0.7166887292143697
207,14,14,8,8,0.7091864752128183
208,14,16,2,2,0.7295692531152008
209,14,16,2,4,0.7137284253637427
210,14,16,2,6,0.7095352838646057
211,14,16,2,8,0.705278293461879
212,14,16,4,2,0.7177250577891829
213,14,16,4,4,0.7187480534144335
214,14,16,4,6,0.7129281128786337
215,14,16,4,8,0.7134428050747467
216,14,16,6,2,0.7262743233701796
217,14,16,6,4,0.7112750466061319
218,14,16,6,6,0.707904401479594
219,14,16,6,8,0.7102913671644612
220,14,16,8,2,0.7216071217391287
221,14,16,8,4,0.7128494782745948
222,14,16,8,6,0.7094825281928746
223,14,16,8,8,0.7104397733742971
224,14,18,2,2,0.7222273137534478
225,14,18,2,4,0.710480810761239
226,14,18,2,6,0.7113818231317536
227,14,18,2,8,0.7110779847674866
228,14,18,4,2,0.726259226143199
229,14,18,4,4,0.7237924919400395
230,14,18,4,6,0.7114548571129582
231,14,18,4,8,0.7106968775979324
232,14,18,6,2,0.7127101749658369
233,14,18,6,4,0.7137611253629049
234,14,18,6,6,0.706506171378991
235,14,18,6,8,0.7090020077529022
236,14,18,8,2,0.7206025975119722
237,14,18,8,4,0.7157131836995312
238,14,18,8,6,0.7159587103872206
239,14,18,8,8,0.7077314976681596
240,16,10,2,2,0.6975085326671758
241,16,10,2,4,0.7032853109704448
242,16,10,2,6,0.6929181891653725
243,16,10,2,8,0.6986566849112906
244,16,10,4,2,0.695937170808827
245,16,10,4,4,0.7033055396769625
246,16,10,4,6,0.695417428681536
247,16,10,4,8,0.6942184035346237
248,16,10,6,2,0.6987637713094402
249,16,10,6,4,0.691319023987398
250,16,10,6,6,0.6954171888347219
251,16,10,6,8,0.697901938922698
252,16,10,8,2,0.693840417382237
253,16,10,8,4,0.6949285144623824
254,16,10,8,6,0.6985731208184207
255,16,10,8,8,0.6898518041903766
256,16,12,2,2,0.7196026203899318
257,16,12,2,4,0.7044391386103426
258,16,12,2,6,0.7087447429614309
259,16,12,2,8,0.7055850560983439
260,16,12,4,2,0.7126562025081281
261,16,12,4,4,0.7128881458579999
262,16,12,4,6,0.7065114265427472
263,16,12,4,8,0.7087593053310196
264,16,12,6,2,0.7121879690995933
265,16,12,6,4,0.7116693289065513
266,16,12,6,6,0.7055336438344745
267,16,12,6,8,0.7055038422535481
268,16,12,8,2,0.7097714343051171
269,16,12,8,4,0.7127610890348389
270,16,12,8,6,0.7028415771239246
271,16,12,8,8,0.7043714618686431
272,16,14,2,2,0.7245919034450644
273,16,14,2,4,0.7148286932606681
274,16,14,2,6,0.7154102866902271
275,16,14,2,8,0.703452210249459
276,16,14,4,2,0.7189191682512664
277,16,14,4,4,0.7228984242861015
278,16,14,4,6,0.7182134578740044
279,16,14,4,8,0.7137352884449456
280,16,14,6,2,0.7167152307288086
281,16,14,6,4,0.7207420357039703
282,16,14,6,6,0.7110221214370056
283,16,14,6,8,0.7145721337258796
284,16,14,8,2,0.7167840615610678
285,16,14,8,4,0.7164249524543429
286,16,14,8,6,0.7166542418130892
287,16,14,8,8,0.7129845517250818
288,16,16,2,2,0.7260062300279563
289,16,16,2,4,0.7221670358657702
290,16,16,2,6,0.719594432231527
291,16,16,2,8,0.7177314846082764
292,16,16,4,2,0.7257615984833187
293,16,16,4,4,0.7224124125472118
294,16,16,4,6,0.7230133245110285
295,16,16,4,8,0.7153937386682827
296,16,16,6,2,0.7221313715473071
297,16,16,6,4,0.720622301890244
298,16,16,6,6,0.7211032924721982
299,16,16,6,8,0.715466637331417
300,16,16,8,2,0.724994068413067
301,16,16,8,4,0.7170592867994525
302,16,16,8,6,0.7228883842738622
