,p_t1,p_t2,p_t3,p_t4,score
0,10,10,2,2,0.6631851543413466
1,10,10,2,4,0.6586149955317153
2,10,10,2,6,0.6584867803586446
3,10,10,2,8,0.6583773831178316
4,10,10,4,2,0.6588710534892434
5,10,10,4,4,0.6563805024676802
6,10,10,4,6,0.6597503018657224
7,10,10,4,8,0.659908153276998
8,10,10,6,2,0.660860702331331
9,10,10,6,4,0.6578316051882679
10,10,10,6,6,0.653245917349962
11,10,10,6,8,0.6575009327499476
12,10,10,8,2,0.6607844111767607
13,10,10,8,4,0.6560500370831396
14,10,10,8,6,0.6569022800116091
15,10,10,8,8,0.6548818722760176
16,10,12,2,2,0.665231698847328
17,10,12,2,4,0.6572260611887697
18,10,12,2,6,0.6624606969392353
19,10,12,2,8,0.6558079096002537
20,10,12,4,2,0.6575817985131552
21,10,12,4,4,0.6617949090303181
22,10,12,4,6,0.6612946124041023
23,10,12,4,8,0.6616894204880884
24,10,12,6,2,0.6641254723176723
25,10,12,6,4,0.6547982586121591
26,10,12,6,6,0.6640094805276249
27,10,12,6,8,0.6625055983575008
28,10,12,8,2,0.6621023814402426
29,10,12,8,4,0.6576810634696764
30,10,12,8,6,0.6550253110085783
31,10,12,8,8,0.6609061617215358
32,10,14,2,2,0.6650842517790824
33,10,14,2,4,0.6544620729924545
34,10,14,2,6,0.6573985108852873
35,10,14,2,8,0.6612407197483755
36,10,14,4,2,0.6649088055679219
37,10,14,4,4,0.6584996586151864
38,10,14,4,6,0.6584552087405654
39,10,14,4,8,0.6606827492251077
40,10,14,6,2,0.6640902371909906
41,10,14,6,4,0.6603592124839596
42,10,14,6,6,0.6596658641327262
43,10,14,6,8,0.6618880207566652
44,10,14,8,2,0.6601430286607709
45,10,14,8,4,0.6575366189987534
46,10,14,8,6,0.6594980695819871
47,10,14,8,8,0.660995363421916
48,10,16,2,2,0.6612496143387768
49,10,16,2,4,0.6598852171846767
50,10,16,2,6,0.6621631290010609
51,10,16,2,8,0.6580341772536382
52,10,16,4,2,0.6609590206685801
53,10,16,4,4,0.6644696115622125
54,10,16,4,6,0.6605326684756877
55,10,16,4,8,0.6606381054364157
56,10,16,6,2,0.6632659337762762
57,10,16,6,4,0.66480365631622
58,10,16,6,6,0.6607185027278321
59,10,16,6,8,0.6632690935831035
60,10,16,8,2,0.6607399947726278
61,10,16,8,4,0.66372953693635
62,10,16,8,6,0.6576342022995352
63,10,16,8,8,0.6678478411357816
64,10,18,2,2,0.6670629957403859
65,10,18,2,4,0.6617001761613764
66,10,18,2,6,0.6644281692583566
67,10,18,2,8,0.6713222335858466
68,10,18,4,2,0.6623940926034529
69,10,18,4,4,0.6603737184778589
70,10,18,4,6,0.6600955081806802
71,10,18,4,8,0.6598752579973174
72,10,18,6,2,0.664682235351724
73,10,18,6,4,0.664820471242476
74,10,18,6,6,0.6547359436758043
75,10,18,6,8,0.6649642382966511
76,10,18,8,2,0.6658403018098844
77,10,18,8,4,0.6599495487799238
78,10,18,8,6,0.6625759308974928
79,10,18,8,8,0.6586423364729254
80,12,10,2,2,0.6582128797674168
81,12,10,2,4,0.6653896146202073
82,12,10,2,6,0.6600651897933081
83,12,10,2,8,0.6545852769985262
84,12,10,4,2,0.6697029137043321
85,12,10,4,4,0.6613703379033781
86,12,10,4,6,0.6629750910512763
87,12,10,4,8,0.6536825162241567
88,12,10,6,2,0.6638282149626805
89,12,10,6,4,0.6696457111115327
90,12,10,6,6,0.6611535730699134
91,12,10,6,8,0.66295613382159
92,12,10,8,2,0.6619998623033508
93,12,10,8,4,0.6598308381067648
94,12,10,8,6,0.6602535809562041
95,12,10,8,8,0.6588140034444696
96,12,12,2,2,0.6727325792032088
97,12,12,2,4,0.6671381100962245
98,12,12,2,6,0.6603132293726764
99,12,12,2,8,0.666672534188046
100,12,12,4,2,0.6743741174077321
101,12,12,4,4,0.6625528956229382
102,12,12,4,6,0.6670548362583361
