,p_t1,p_t2,p_t3,p_t4,score
0,10,10,2,2,0.666956947299044
1,10,10,2,4,0.6564033550891396
2,10,10,2,6,0.6594902167754199
3,10,10,2,8,0.6589904711675547
4,10,10,4,2,0.6625188683173074
5,10,10,4,4,0.6617940872234506
6,10,10,4,6,0.6625893127511374
7,10,10,4,8,0.6558716874490508
8,10,10,6,2,0.6642562529752317
9,10,10,6,4,0.664317838370431
10,10,10,6,6,0.6606779321647942
11,10,10,6,8,0.6614051866728691
12,10,10,8,2,0.6649553579736566
13,10,10,8,4,0.6609667425669934
14,10,10,8,6,0.6640199585266856
15,10,10,8,8,0.6566597603631482
16,10,12,2,2,0.6703056787621944
17,10,12,2,4,0.6651076689984964
18,10,12,2,6,0.663136576577661
19,10,12,2,8,0.6611389679159098
20,10,12,4,2,0.6626665702437599
21,10,12,4,4,0.6669467211543475
22,10,12,4,6,0.6622599411946305
23,10,12,4,8,0.6625886755711966
24,10,12,6,2,0.667755221488274
25,10,12,6,4,0.6585947272605194
26,10,12,6,6,0.6654668281970363
27,10,12,6,8,0.6612283179406261
28,10,12,8,2,0.666833681172132
29,10,12,8,4,0.6652563086491573
30,10,12,8,6,0.6588513002816225
31,10,12,8,8,0.6668629956047655
32,10,14,2,2,0.6645135562835559
33,10,14,2,4,0.6625647241445348
34,10,14,2,6,0.665241332256183
35,10,14,2,8,0.6646588967312246
36,10,14,4,2,0.6613018166410009
37,10,14,4,4,0.6555123715298509
38,10,14,4,6,0.6606275909761995
39,10,14,4,8,0.6688126007700959
40,10,14,6,2,0.657350158927854
41,10,14,6,4,0.665596220655951
42,10,14,6,6,0.6627117900626197
43,10,14,6,8,0.6629942944831081
44,10,14,8,2,0.6726487939456778
45,10,14,8,4,0.6624320650692
46,10,14,8,6,0.6669681090105793
47,10,14,8,8,0.6648995390256606
48,10,16,2,2,0.6675563479527321
49,10,16,2,4,0.6621627369977651
50,10,16,2,6,0.6697608333765892
51,10,16,2,8,0.665940547894036
52,10,16,4,2,0.6716865825236331
53,10,16,4,4,0.6655875713547386
54,10,16,4,6,0.6619002770077382
55,10,16,4,8,0.6669827183743707
56,10,16,6,2,0.6638067156357291
57,10,16,6,4,0.6682852974108858
58,10,16,6,6,0.6686158066497487
59,10,16,6,8,0.6655229837408103
60,10,16,8,2,0.6678238889155005
61,10,16,8,4,0.6644184986718237
62,10,16,8,6,0.6614893215676841
63,10,16,8,8,0.6637945710236637
64,10,18,2,2,0.664777571133715
65,10,18,2,4,0.6679580462385699
66,10,18,2,6,0.6611893848859389
67,10,18,2,8,0.6664907233903156
68,10,18,4,2,0.6625669711255097
69,10,18,4,4,0.6692961984290716
70,10,18,4,6,0.6648062455038343
71,10,18,4,8,0.6646971359660853
72,10,18,6,2,0.6656050455624118
73,10,18,6,4,0.6648918970478889
74,10,18,6,6,0.6657874829311182
75,10,18,6,8,0.667126402193071
76,10,18,8,2,0.6646314708385624
77,10,18,8,4,0.6659580738854464
78,10,18,8,6,0.6651556735720477
79,10,18,8,8,0.6641298566350617
80,12,10,2,2,0.6611361637521039
81,12,10,2,4,0.6655058439107582
82,12,10,2,6,0.6599805480703097
83,12,10,2,8,0.6660829946908161
84,12,10,4,2,0.6739114174834366
85,12,10,4,4,0.6638929043247904
86,12,10,4,6,0.6660010074132218
87,12,10,4,8,0.6675084909744852
88,12,10,6,2,0.6691779668244116
89,12,10,6,4,0.6697643850205092
90,12,10,6,6,0.6642176598149977
91,12,10,6,8,0.6669803764828942
92,12,10,8,2,0.6733131094999236
93,12,10,8,4,0.6625469324900041
94,12,10,8,6,0.6654494149131328
95,12,10,8,8,0.6665565521199839
96,12,12,2,2,0.6824586448639637
97,12,12,2,4,0.6698977116689955
98,12,12,2,6,0.6692116837039216
99,12,12,2,8,0.6729267994026863
100,12,12,4,2,0.6752376458657938
101,12,12,4,4,0.6644173734066997
102,12,12,4,6,0.6692240033537799
103,12,12,4,8,0.6721363152489067
104,12,12,6,2,0.6712498612589785
105,12,12,6,4,0.6659952820411809
106,12,12,6,6,0.669848914151094
107,12,12,6,8,0.672473194730988
108,12,12,8,2,0.6780398479768522
109,12,12,8,4,0.669674292977103
110,12,12,8,6,0.6667731248242011
111,12,12,8,8,0.6697584702859342
112,12,14,2,2,0.68225605302767
113,12,14,2,4,0.6712818736047724
114,12,14,2,6,0.6680018201776389
115,12,14,2,8,0.6708182992573527
116,12,14,4,2,0.6768070623127844
117,12,14,4,4,0.669389768429062
118,12,14,4,6,0.6714915885505764
119,12,14,4,8,0.6719466568648205
120,12,14,6,2,0.6748066504225698
121,12,14,6,4,0.6666410957461042
122,12,14,6,6,0.6680185996990979
123,12,14,6,8,0.668761945922535
124,12,14,8,2,0.6754956329678962
125,12,14,8,4,0.6736450202835208
126,12,14,8,6,0.6753279067184983
127,12,14,8,8,0.6709360697529343
128,12,16,2,2,0.6807442311697591
129,12,16,2,4,0.6687350832645774
130,12,16,2,6,0.6703345335876637
131,12,16,2,8,0.6764374729153727
132,12,16,4,2,0.6757195044558196
133,12,16,4,4,0.674454546824394
134,12,16,4,6,0.6704260005142403
135,12,16,4,8,0.673563550981581
136,12,16,6,2,0.6759552082199232
137,12,16,6,4,0.6729781293421407
138,12,16,6,6,0.6659080520555511
139,12,16,6,8,0.6700264959060315
140,12,16,8,2,0.6817994798734385
141,12,16,8,4,0.6710687944226891
142,12,16,8,6,0.6729951871356934
143,12,16,8,8,0.6777030335034562
144,12,18,2,2,0.6758321130339858
145,12,18,2,4,0.6775629824882925
146,12,18,2,6,0.6731144938387158
147,12,18,2,8,0.6711292023652056
148,12,18,4,2,0.6753038716617873
149,12,18,4,4,0.6730414712861269
150,12,18,4,6,0.6753555772435242
151,12,18,4,8,0.6747737585167629
152,12,18,6,2,0.6742469984756072
153,12,18,6,4,0.6695209711258135
154,12,18,6,6,0.6751370012326637
155,12,18,6,8,0.676347634195098
156,12,18,8,2,0.6733854232398692
157,12,18,8,4,0.6722459845997584
158,12,18,8,6,0.6758259825340578
159,12,18,8,8,0.6790011159456185
160,14,10,2,2,0.6667763745774752
161,14,10,2,4,0.6681659525798077
162,14,10,2,6,0.6720217194823812
163,14,10,2,8,0.669501590381511
164,14,10,4,2,0.6714183347331435
165,14,10,4,4,0.6703892038173626
166,14,10,4,6,0.6617390237658412
167,14,10,4,8,0.6637044337036743
168,14,10,6,2,0.6680933924320556
169,14,10,6,4,0.6688919312912796
170,14,10,6,6,0.6636447697003172
171,14,10,6,8,0.6698966780542205
172,14,10,8,2,0.6688999152473892
173,14,10,8,4,0.6685495769765826
174,14,10,8,6,0.6658545365624856
175,14,10,8,8,0.6660441409815219
176,14,12,2,2,0.6879093899566664
177,14,12,2,4,0.6786331784630729
178,14,12,2,6,0.6724726475235935
179,14,12,2,8,0.6733475493846687
180,14,12,4,2,0.6753029080809537
181,14,12,4,4,0.6748844145572769
182,14,12,4,6,0.6726322580224773
183,14,12,4,8,0.6761268854138556
184,14,12,6,2,0.6847562934060928
185,14,12,6,4,0.6761508723188503
186,14,12,6,6,0.6744181943676623
187,14,12,6,8,0.6720096876199607
188,14,12,8,2,0.6791903535974656
189,14,12,8,4,0.6815224884050343
190,14,12,8,6,0.6754630944925178
191,14,12,8,8,0.6717642914020593
192,14,14,2,2,0.6808169903945513
193,14,14,2,4,0.6908450235487297
194,14,14,2,6,0.6784228148160582
195,14,14,2,8,0.6761812155669519
196,14,14,4,2,0.6876679690320278
197,14,14,4,4,0.6809177770696042
198,14,14,4,6,0.6773995903135818
199,14,14,4,8,0.6791561139269128
200,14,14,6,2,0.6881654947610514
201,14,14,6,4,0.6765103049044154
202,14,14,6,6,0.6831907787860315
203,14,14,6,8,0.6776956446821257
204,14,14,8,2,0.6840081554716342
205,14,14,8,4,0.6882314411250302
206,14,14,8,6,0.6724794255850074
207,14,14,8,8,0.6763364883914503
208,14,16,2,2,0.688072721126356
209,14,16,2,4,0.6759106027541543
210,14,16,2,6,0.6812903212558417
211,14,16,2,8,0.6811428205807678
212,14,16,4,2,0.6841346208280824
213,14,16,4,4,0.6784264448077137
214,14,16,4,6,0.6858180758838848
215,14,16,4,8,0.6826286196821965
216,14,16,6,2,0.6883652720659855
217,14,16,6,4,0.6804759946378751
218,14,16,6,6,0.684532636433507
219,14,16,6,8,0.6797766626421117
220,14,16,8,2,0.6896778874406356
221,14,16,8,4,0.6819303379556892
222,14,16,8,6,0.6809023412350541
223,14,16,8,8,0.6795902332287724
224,14,18,2,2,0.6838387701159946
225,14,18,2,4,0.6806154042905974
226,14,18,2,6,0.6755212088582118
227,14,18,2,8,0.6756560246874185
228,14,18,4,2,0.6903333296140821
229,14,18,4,4,0.6819864351210058
230,14,18,4,6,0.6865991810767017
231,14,18,4,8,0.6906161369314315
232,14,18,6,2,0.6980571891112867
233,14,18,6,4,0.6810656202792024
234,14,18,6,6,0.6826833377270317
235,14,18,6,8,0.6796943211141713
236,14,18,8,2,0.6866128735595156
237,14,18,8,4,0.6835592111491913
238,14,18,8,6,0.681938195912973
239,14,18,8,8,0.6759447327888134
240,16,10,2,2,0.6649106869596264
241,16,10,2,4,0.6674379140016944
242,16,10,2,6,0.6638088797736797
243,16,10,2,8,0.6626338102860313
244,16,10,4,2,0.6704771346776304
245,16,10,4,4,0.6641449525284786
246,16,10,4,6,0.6688270071018314
247,16,10,4,8,0.6704629929387161
248,16,10,6,2,0.6690888702244503
249,16,10,6,4,0.6682213737543342
250,16,10,6,6,0.6746692972393817
251,16,10,6,8,0.6616173842775862
252,16,10,8,2,0.6674061928904078
253,16,10,8,4,0.6703187781774448
254,16,10,8,6,0.6613856462592084
255,16,10,8,8,0.6638936590505832
256,16,12,2,2,0.6788616908669046
257,16,12,2,4,0.6825939632691428
258,16,12,2,6,0.6739225100012588
259,16,12,2,8,0.6702502723625882
260,16,12,4,2,0.68213042019933
261,16,12,4,4,0.6844338432572811
262,16,12,4,6,0.6857166863698873
263,16,12,4,8,0.671793810084591
264,16,12,6,2,0.6827768772273143
265,16,12,6,4,0.6766967289449403
266,16,12,6,6,0.678148497695263
267,16,12,6,8,0.6836072623587574
268,16,12,8,2,0.6839934448591093
269,16,12,8,4,0.6806033083223514
270,16,12,8,6,0.6755781018352193
271,16,12,8,8,0.6748108318823937
272,16,14,2,2,0.6839294506445159
273,16,14,2,4,0.6860634505461914
274,16,14,2,6,0.6765378571964075
275,16,14,2,8,0.676104328199212
276,16,14,4,2,0.6892318202794878
277,16,14,4,4,0.688679098932858
278,16,14,4,6,0.6832867117063951
279,16,14,4,8,0.6752318714223936
280,16,14,6,2,0.6848272554043314
281,16,14,6,4,0.6873491391395415
282,16,14,6,6,0.6870589175891052
283,16,14,6,8,0.6846857451785092
284,16,14,8,2,0.6857711732049593
285,16,14,8,4,0.6817292967960041
286,16,14,8,6,0.6814318641147178
287,16,14,8,8,0.6865909708867789
288,16,16,2,2,0.6989856223724734
289,16,16,2,4,0.6819281490485363
290,16,16,2,6,0.6811837743996009
291,16,16,2,8,0.6849095619805065
292,16,16,4,2,0.6964762241577356
293,16,16,4,4,0.6841728081667071
294,16,16,4,6,0.6850996399332066
295,16,16,4,8,0.6825453539357101
296,16,16,6,2,0.6956679067099669
297,16,16,6,4,0.6915544200029378
298,16,16,6,6,0.6896180736049947
299,16,16,6,8,0.679888036703796
300,16,16,8,2,0.7000264927564833
301,16,16,8,4,0.6917157692322728
302,16,16,8,6,0.6837067832715281
303,16,16,8,8,0.6872359339156633
304,16,18,2,2,0.6946100921809747
305,16,18,2,4,0.6896197117301056
306,16,18,2,6,0.6861490624451253
307,16,18,2,8,0.6890791371033727
308,16,18,4,2,0.691841406315513
309,16,18,4,4,0.6874320740506841
310,16,18,4,6,0.6855484264845289
311,16,18,4,8,0.6807629576215769
312,16,18,6,2,0.6930895932119934
313,16,18,6,4,0.6921660453562689
314,16,18,6,6,0.6841603041457646
315,16,18,6,8,0.6893243195727562
316,16,18,8,2,0.6973464015455466
317,16,18,8,4,0.7022730087399237
318,16,18,8,6,0.6877960290296202
319,16,18,8,8,0.6836963584550263
320,18,10,2,2,0.6691302946500338
321,18,10,2,4,0.6698578686357864
322,18,10,2,6,0.6680437219584451
323,18,10,2,8,0.6710723270316686
324,18,10,4,2,0.6673447051434076
325,18,10,4,4,0.6643563515935017
326,18,10,4,6,0.6708914989973646
327,18,10,4,8,0.6652981518947922
328,18,10,6,2,0.6702115563609752
329,18,10,6,4,0.6685360134396768
330,18,10,6,6,0.6700296269864499
331,18,10,6,8,0.6626130602075663
332,18,10,8,2,0.670132965320104
333,18,10,8,4,0.6701961417051487
334,18,10,8,6,0.6689892723047235
335,18,10,8,8,0.6714148856163994
336,18,12,2,2,0.6830612372394617
337,18,12,2,4,0.6792355573071328
338,18,12,2,6,0.6774673734303711
339,18,12,2,8,0.6838814709420569
340,18,12,4,2,0.683211778969139
341,18,12,4,4,0.683097387774218
342,18,12,4,6,0.6782586507461553
343,18,12,4,8,0.6764231967650064
344,18,12,6,2,0.6791032993392346
345,18,12,6,4,0.6800206088818582
346,18,12,6,6,0.6772436179918956
347,18,12,6,8,0.6827567156669034
348,18,12,8,2,0.6845162376393711
349,18,12,8,4,0.6845552441432553
350,18,12,8,6,0.6776747015141865
351,18,12,8,8,0.6781459530097359
352,18,14,2,2,0.6985582004987491
353,18,14,2,4,0.6934225053628952
354,18,14,2,6,0.6850655539758993
355,18,14,2,8,0.6903051491887572
356,18,14,4,2,0.6960474806550239
357,18,14,4,4,0.6880665925099265
358,18,14,4,6,0.6884718709843739
359,18,14,4,8,0.6879897405993614
360,18,14,6,2,0.6916993009769298
361,18,14,6,4,0.6828939404440852
362,18,14,6,6,0.6844123847609934
363,18,14,6,8,0.6833438378672051
364,18,14,8,2,0.6908277421666696
365,18,14,8,4,0.6910445446577622
366,18,14,8,6,0.688275641560041
367,18,14,8,8,0.677840128903299
368,18,16,2,2,0.694931984804211
369,18,16,2,4,0.6905233481900481
370,18,16,2,6,0.692735204499586
371,18,16,2,8,0.6929858145325826
372,18,16,4,2,0.6936551815940052
373,18,16,4,4,0.6944593271311496
374,18,16,4,6,0.6910300622857005
375,18,16,4,8,0.6876207132449007
376,18,16,6,2,0.6989455420756648
377,18,16,6,4,0.7019868377198799
378,18,16,6,6,0.6876201923636267
379,18,16,6,8,0.6923429771888531
380,18,16,8,2,0.6939659698583744
381,18,16,8,4,0.6970544529279702
382,18,16,8,6,0.6883310059152313
383,18,16,8,8,0.6878145941361876
384,18,18,2,2,0.702705806734741
385,18,18,2,4,0.7015413137861599
386,18,18,2,6,0.6989373746371169
387,18,18,2,8,0.6897878152649503
388,18,18,4,2,0.7024199407905654
389,18,18,4,4,0.7033871895072011
390,18,18,4,6,0.6906038323122137
391,18,18,4,8,0.6905216485590238
392,18,18,6,2,0.7056830283837039
393,18,18,6,4,0.7007329889804823
394,18,18,6,6,0.6956849579765558
395,18,18,6,8,0.6961093522996219
396,18,18,8,2,0.7041698873882577
397,18,18,8,4,0.6965113387090601
398,18,18,8,6,0.693968967561062
399,18,18,8,8,0.6874820664610377
