,p_t1,p_t2,p_t3,p_t4,score
0,10,10,2,2,0.6599564283447745
1,10,10,2,4,0.6676949289419172
2,10,10,2,6,0.6602516414237297
3,10,10,2,8,0.6607762056225036
4,10,10,4,2,0.6625610201450068
5,10,10,4,4,0.6653584640310927
6,10,10,4,6,0.6639478528673245
7,10,10,4,8,0.66478291112893
8,10,10,6,2,0.6647111637647615
9,10,10,6,4,0.6587441095081606
10,10,10,6,6,0.6556531035510441
11,10,10,6,8,0.6550117209027276
12,10,10,8,2,0.6700071744251278
13,10,10,8,4,0.6678595192183283
14,10,10,8,6,0.6535793179920529
15,10,10,8,8,0.6582513870846635
16,10,12,2,2,0.6686959987041264
17,10,12,2,4,0.6674949824675824
18,10,12,2,6,0.6600185262233612
19,10,12,2,8,0.6619576233704638
20,10,12,4,2,0.6628706477355997
21,10,12,4,4,0.6581005621429873
22,10,12,4,6,0.662052852608284
23,10,12,4,8,0.6630290015851357
24,10,12,6,2,0.671136379489819
25,10,12,6,4,0.6571010617392931
26,10,12,6,6,0.6598683761185257
27,10,12,6,8,0.6582626176400158
28,10,12,8,2,0.6595144427408433
29,10,12,8,4,0.6564665630636045
30,10,12,8,6,0.6646605094910739
31,10,12,8,8,0.6613237762933626
32,10,14,2,2,0.6665581840081574
33,10,14,2,4,0.6613083672424008
34,10,14,2,6,0.6642146764274974
35,10,14,2,8,0.6574291521861705
36,10,14,4,2,0.6632096982675225
37,10,14,4,4,0.664164465400186
38,10,14,4,6,0.6712282204345955
39,10,14,4,8,0.6682631497459283
40,10,14,6,2,0.6604644576432817
41,10,14,6,4,0.660112242574836
42,10,14,6,6,0.6635956568355034
43,10,14,6,8,0.6685833255824657
44,10,14,8,2,0.6615426087629047
45,10,14,8,4,0.6628426696369855
46,10,14,8,6,0.6640111598915743
47,10,14,8,8,0.6610576412249789
48,10,16,2,2,0.6582561792063307
49,10,16,2,4,0.6603378156380568
50,10,16,2,6,0.6615146977660132
51,10,16,2,8,0.6702163049569599
52,10,16,4,2,0.6583502195817891
53,10,16,4,4,0.6633555464163989
54,10,16,4,6,0.6613257838881256
55,10,16,4,8,0.6613354744712159
56,10,16,6,2,0.6678624641377066
57,10,16,6,4,0.6681032314904275
58,10,16,6,6,0.6648377821733771
59,10,16,6,8,0.6608921087293401
60,10,16,8,2,0.6643390865911066
61,10,16,8,4,0.66701480735479
62,10,16,8,6,0.6639500901844504
63,10,16,8,8,0.6699644169850929
64,10,18,2,2,0.6711153980108686
65,10,18,2,4,0.665963761654615
66,10,18,2,6,0.6592769788372338
67,10,18,2,8,0.6643644831768307
68,10,18,4,2,0.6693255445165839
69,10,18,4,4,0.6579452553983249
70,10,18,4,6,0.6681184433424198
71,10,18,4,8,0.6683891779989617
72,10,18,6,2,0.6706095561055928
73,10,18,6,4,0.6641682592450143
74,10,18,6,6,0.6655016677120716
75,10,18,6,8,0.6694523661832256
76,10,18,8,2,0.6666119931477996
77,10,18,8,4,0.6619459159762178
78,10,18,8,6,0.6636551329090224
79,10,18,8,8,0.6653452638776581
80,12,10,2,2,0.6664759110165647
81,12,10,2,4,0.6667128846478368
82,12,10,2,6,0.6599776304567319
83,12,10,2,8,0.6566733419220335
84,12,10,4,2,0.6662350729934273
85,12,10,4,4,0.6710738048869308
86,12,10,4,6,0.657571197448267
87,12,10,4,8,0.6607606363488675
88,12,10,6,2,0.6677168799411682
89,12,10,6,4,0.6635852011812885
90,12,10,6,6,0.6619331631346741
91,12,10,6,8,0.6635310836860904
92,12,10,8,2,0.6733230041046977
93,12,10,8,4,0.6623011879901788
94,12,10,8,6,0.6637386884179645
95,12,10,8,8,0.6617807467106623
96,12,12,2,2,0.6754209435363526
97,12,12,2,4,0.671622781853153
98,12,12,2,6,0.6681165398770109
99,12,12,2,8,0.6687981670947106
100,12,12,4,2,0.6779972695002664
101,12,12,4,4,0.6729419540904207
102,12,12,4,6,0.6687154826998977
103,12,12,4,8,0.6707729648400957
104,12,12,6,2,0.6757184661921728
105,12,12,6,4,0.6633946691611867
106,12,12,6,6,0.6655027885143913
107,12,12,6,8,0.6753168461938434
108,12,12,8,2,0.6829706598142845
109,12,12,8,4,0.6693754279717714
110,12,12,8,6,0.6688502321067373
111,12,12,8,8,0.6706131446338851
112,12,14,2,2,0.6768971627200937
113,12,14,2,4,0.6705741775662787
114,12,14,2,6,0.6714453044935523
115,12,14,2,8,0.6679771421705599
116,12,14,4,2,0.6775740934129088
117,12,14,4,4,0.6748427705520385
118,12,14,4,6,0.668859193411124
119,12,14,4,8,0.6737983247170242
120,12,14,6,2,0.6856192850312371
121,12,14,6,4,0.672804775992272
122,12,14,6,6,0.662408507707238
123,12,14,6,8,0.6722158333010958
124,12,14,8,2,0.6768203714966075
125,12,14,8,4,0.6678770362950243
126,12,14,8,6,0.6703874105519411
127,12,14,8,8,0.6777000428931902
128,12,16,2,2,0.670968704002482
129,12,16,2,4,0.6722854977278904
130,12,16,2,6,0.6743065892030892
131,12,16,2,8,0.6724219224786404
132,12,16,4,2,0.6796284236662817
133,12,16,4,4,0.6708615917420203
134,12,16,4,6,0.6712337102307577
135,12,16,4,8,0.6751787563710399
136,12,16,6,2,0.6831196992190693
137,12,16,6,4,0.6755706786453007
138,12,16,6,6,0.6688896534955973
139,12,16,6,8,0.6709419128784196
140,12,16,8,2,0.6745430230480963
141,12,16,8,4,0.6749872968968305
142,12,16,8,6,0.6770150986542354
143,12,16,8,8,0.6739780488194222
144,12,18,2,2,0.6758451338208374
145,12,18,2,4,0.6728865843637358
146,12,18,2,6,0.6734769307872348
147,12,18,2,8,0.6701646330459066
148,12,18,4,2,0.6689893595052109
149,12,18,4,4,0.6718798191169211
150,12,18,4,6,0.6814342717669617
151,12,18,4,8,0.6703270864508252
152,12,18,6,2,0.6805053950063531
153,12,18,6,4,0.6766368750467322
154,12,18,6,6,0.6722576053202401
155,12,18,6,8,0.6737856202093179
156,12,18,8,2,0.6851045154603028
157,12,18,8,4,0.6680243529408162
158,12,18,8,6,0.6743490333621285
159,12,18,8,8,0.6710098666426304
160,14,10,2,2,0.6683324330082973
161,14,10,2,4,0.6671705037060581
162,14,10,2,6,0.6678305480235563
163,14,10,2,8,0.6631547498396259
164,14,10,4,2,0.6650184611193221
165,14,10,4,4,0.668799953112044
166,14,10,4,6,0.669350255531719
167,14,10,4,8,0.6658101123270135
168,14,10,6,2,0.6722293367170646
169,14,10,6,4,0.6740812275707292
170,14,10,6,6,0.6673122563140835
171,14,10,6,8,0.6640291675239803
172,14,10,8,2,0.6704383108862748
173,14,10,8,4,0.665767118891739
174,14,10,8,6,0.6600098727618698
175,14,10,8,8,0.6645434376997376
176,14,12,2,2,0.6820611794550832
177,14,12,2,4,0.6753989184927648
178,14,12,2,6,0.6751121112084606
179,14,12,2,8,0.6719558211915007
180,14,12,4,2,0.674383238424476
181,14,12,4,4,0.6775758255408623
182,14,12,4,6,0.6648205042891734
183,14,12,4,8,0.6780432778676105
184,14,12,6,2,0.6834639430712454
185,14,12,6,4,0.6754392924566665
186,14,12,6,6,0.6725933170801918
187,14,12,6,8,0.673499289346832
188,14,12,8,2,0.675509659468962
189,14,12,8,4,0.6770585193733022
190,14,12,8,6,0.6749008407588465
191,14,12,8,8,0.6688627365240961
192,14,14,2,2,0.6821990244119375
193,14,14,2,4,0.6731310230060302
194,14,14,2,6,0.6766064819676929
195,14,14,2,8,0.6746166228391663
196,14,14,4,2,0.6851111871187113
197,14,14,4,4,0.6848905869661568
198,14,14,4,6,0.6755802612992231
199,14,14,4,8,0.6785003217719145
200,14,14,6,2,0.6926829241159392
201,14,14,6,4,0.681440800594701
202,14,14,6,6,0.6819581594407085
203,14,14,6,8,0.6781501210931018
204,14,14,8,2,0.6949505456189873
205,14,14,8,4,0.6797022111207814
206,14,14,8,6,0.6743851850021629
207,14,14,8,8,0.6784571327928609
208,14,16,2,2,0.688689433864246
209,14,16,2,4,0.6800624465690376
210,14,16,2,6,0.6779366748934738
211,14,16,2,8,0.6773141176219185
212,14,16,4,2,0.6940451852916752
213,14,16,4,4,0.6825858630711606
214,14,16,4,6,0.6852009344474896
215,14,16,4,8,0.6762945247747308
216,14,16,6,2,0.6898488787518989
217,14,16,6,4,0.6811072294241534
218,14,16,6,6,0.678743837147139
219,14,16,6,8,0.6778339463798005
220,14,16,8,2,0.6910387092439699
221,14,16,8,4,0.6811951926337461
222,14,16,8,6,0.6826136457940901
223,14,16,8,8,0.6756663589785495
224,14,18,2,2,0.6923972434267555
225,14,18,2,4,0.6844925129430486
226,14,18,2,6,0.6842645356481127
227,14,18,2,8,0.6781187740458631
228,14,18,4,2,0.6878900663533596
229,14,18,4,4,0.6832406501974679
230,14,18,4,6,0.6814550515359782
231,14,18,4,8,0.6756486969044772
232,14,18,6,2,0.6862520283840023
233,14,18,6,4,0.6804174923767201
234,14,18,6,6,0.6816459121899271
235,14,18,6,8,0.6749132778004436
236,14,18,8,2,0.6829381068885195
237,14,18,8,4,0.6840659065902078
238,14,18,8,6,0.6801768874507589
239,14,18,8,8,0.6816019174512578
240,16,10,2,2,0.6655690147212452
241,16,10,2,4,0.6653168459553555
242,16,10,2,6,0.6707753910931786
243,16,10,2,8,0.6632548598885933
244,16,10,4,2,0.6708013475576028
245,16,10,4,4,0.6660616229504727
246,16,10,4,6,0.6652770486947437
247,16,10,4,8,0.6629249874164097
248,16,10,6,2,0.6661667640802839
249,16,10,6,4,0.67179245113317
250,16,10,6,6,0.665697691777159
251,16,10,6,8,0.6692135959563522
252,16,10,8,2,0.6635924584253056
253,16,10,8,4,0.66802342905936
254,16,10,8,6,0.666252113314232
255,16,10,8,8,0.6630861318579718
256,16,12,2,2,0.6808215596902896
257,16,12,2,4,0.6773792798186983
258,16,12,2,6,0.676867754326116
259,16,12,2,8,0.6726048941458646
260,16,12,4,2,0.6779123416101432
261,16,12,4,4,0.6792204807101276
262,16,12,4,6,0.6726222069740616
263,16,12,4,8,0.6711868874150024
264,16,12,6,2,0.6854859146161673
265,16,12,6,4,0.6793099927869658
266,16,12,6,6,0.6727828845090023
267,16,12,6,8,0.6703936062354873
268,16,12,8,2,0.6875898240367571
269,16,12,8,4,0.6880664840806786
270,16,12,8,6,0.6659766608654043
271,16,12,8,8,0.6767114458150482
272,16,14,2,2,0.6920427639213296
273,16,14,2,4,0.6978891039711629
274,16,14,2,6,0.6843918030991253
275,16,14,2,8,0.6749754763545237
276,16,14,4,2,0.6935959066385416
277,16,14,4,4,0.6871291076391556
278,16,14,4,6,0.6794124805108822
279,16,14,4,8,0.6843576178849741
280,16,14,6,2,0.6930989521301806
281,16,14,6,4,0.6795011690688479
282,16,14,6,6,0.6851916492740849
283,16,14,6,8,0.683501682307004
284,16,14,8,2,0.6984450764130902
285,16,14,8,4,0.6835355892155744
286,16,14,8,6,0.6871658998100699
287,16,14,8,8,0.6752021216026473
288,16,16,2,2,0.6994237357531897
289,16,16,2,4,0.6870512408741977
290,16,16,2,6,0.6822388791891352
291,16,16,2,8,0.6821151397969545
292,16,16,4,2,0.6908212496451602
293,16,16,4,4,0.6929190398648529
294,16,16,4,6,0.6834815478395537
295,16,16,4,8,0.6817742794009195
296,16,16,6,2,0.6977893447514335
297,16,16,6,4,0.6868550853873415
298,16,16,6,6,0.6861697859024121
299,16,16,6,8,0.6815605118396003
300,16,16,8,2,0.6983359178755612
301,16,16,8,4,0.6877986933418448
302,16,16,8,6,0.6835776083508777
303,16,16,8,8,0.6824030635693766
304,16,18,2,2,0.6965029015698282
305,16,18,2,4,0.6912837046870534
306,16,18,2,6,0.6958211570218259
307,16,18,2,8,0.6807483540098559
308,16,18,4,2,0.6972452049361367
309,16,18,4,4,0.6936822527733278
310,16,18,4,6,0.6835703296902783
311,16,18,4,8,0.6824870507730058
312,16,18,6,2,0.6995894992484036
313,16,18,6,4,0.6904907787079256
314,16,18,6,6,0.6867608800255834
315,16,18,6,8,0.6874753407961268
316,16,18,8,2,0.6934936817654777
317,16,18,8,4,0.6927968904448374
318,16,18,8,6,0.688151239297753
319,16,18,8,8,0.6880193835479919
320,18,10,2,2,0.6723140248360152
321,18,10,2,4,0.6745049720521678
322,18,10,2,6,0.6722449518159864
323,18,10,2,8,0.6708371567172221
324,18,10,4,2,0.6709016464043591
325,18,10,4,4,0.6649534433640251
326,18,10,4,6,0.6665188348520583
327,18,10,4,8,0.6663148725761274
328,18,10,6,2,0.6639361949339024
329,18,10,6,4,0.6627359962684641
330,18,10,6,6,0.6741915373324439
331,18,10,6,8,0.6688666249726226
332,18,10,8,2,0.6654263586709575
333,18,10,8,4,0.6782298827604588
334,18,10,8,6,0.6695803668931394
335,18,10,8,8,0.6677911191873073
336,18,12,2,2,0.6883872482033384
337,18,12,2,4,0.676947377153507
338,18,12,2,6,0.678149975687005
339,18,12,2,8,0.6847078472775379
340,18,12,4,2,0.6902705725182763
341,18,12,4,4,0.6795693661265051
342,18,12,4,6,0.6809400886969899
343,18,12,4,8,0.6823218341901397
344,18,12,6,2,0.6779893575297763
345,18,12,6,4,0.6715371404792293
346,18,12,6,6,0.6772322910915566
347,18,12,6,8,0.67574180360885
348,18,12,8,2,0.6786065953866367
349,18,12,8,4,0.6818936500572829
350,18,12,8,6,0.6784493757991289
351,18,12,8,8,0.6784590898954015
352,18,14,2,2,0.6892247863853269
353,18,14,2,4,0.6856446818680705
354,18,14,2,6,0.6794460185907636
355,18,14,2,8,0.6912227927329431
356,18,14,4,2,0.684035731675165
357,18,14,4,4,0.6907729592309325
358,18,14,4,6,0.6779572837443958
359,18,14,4,8,0.688540460292841
360,18,14,6,2,0.7031796501209743
361,18,14,6,4,0.6894580571246444
362,18,14,6,6,0.6866813595598823
363,18,14,6,8,0.6780904121875974
364,18,14,8,2,0.6910260886855489
365,18,14,8,4,0.6862338487179045
366,18,14,8,6,0.689556226315081
367,18,14,8,8,0.6858146091262428
368,18,16,2,2,0.6977346659706912
369,18,16,2,4,0.6996349555145125
370,18,16,2,6,0.693076172424508
371,18,16,2,8,0.6895081037208328
372,18,16,4,2,0.6922090255950035
373,18,16,4,4,0.6965591202811057
374,18,16,4,6,0.6924977273777736
375,18,16,4,8,0.6911852488712352
376,18,16,6,2,0.6993792117618859
377,18,16,6,4,0.6893699967087416
378,18,16,6,6,0.6925924904032218
379,18,16,6,8,0.6949043884853418
380,18,16,8,2,0.7025330433813531
381,18,16,8,4,0.693444566838612
382,18,16,8,6,0.6943496684870892
383,18,16,8,8,0.696124259049713
384,18,18,2,2,0.69440111222038
385,18,18,2,4,0.7028436882969951
386,18,18,2,6,0.6873808465610708
387,18,18,2,8,0.6906984283902294
388,18,18,4,2,0.6947372743762767
389,18,18,4,4,0.6996015466006756
390,18,18,4,6,0.6990770770848428
391,18,18,4,8,0.685704084668061
392,18,18,6,2,0.7078738439247353
393,18,18,6,4,0.6999786206944766
394,18,18,6,6,0.6856525756308908
395,18,18,6,8,0.6921147890603564
396,18,18,8,2,0.6965154209137824
397,18,18,8,4,0.6931042224722526
398,18,18,8,6,0.6919097751953248
399,18,18,8,8,0.6914997537717537
