,p_t1,p_t2,p_t3,p_t4,score
0,10,10,2,2,0.6475491926452687
1,10,10,2,4,0.6456708017406162
2,10,10,2,6,0.647279856978716
3,10,10,2,8,0.6429865961305254
4,10,10,4,2,0.6417875245706465
5,10,10,4,4,0.6402789299729016
6,10,10,4,6,0.6435924871224328
7,10,10,4,8,0.6357027903132605
8,10,10,6,2,0.6258847045062153
9,10,10,6,4,0.6235818394151507
10,10,10,6,6,0.6282335742272742
11,10,10,6,8,0.6260562563182389
12,10,10,8,2,0.6251154251915712
13,10,10,8,4,0.6298426901411808
14,10,10,8,6,0.6335536854702924
15,10,10,8,8,0.6373093921455767
16,10,12,2,2,0.6560149158523934
17,10,12,2,4,0.6464898081402674
18,10,12,2,6,0.6490996617585794
19,10,12,2,8,0.6460949599280325
20,10,12,4,2,0.6591496037653112
21,10,12,4,4,0.6476791314674455
22,10,12,4,6,0.6452693947964095
23,10,12,4,8,0.646780951954428
24,10,12,6,2,0.6433450132662524
25,10,12,6,4,0.6393229999944839
26,10,12,6,6,0.6378386743680451
27,10,12,6,8,0.6359239373586765
28,10,12,8,2,0.6217193331058343
29,10,12,8,4,0.6326525572551259
30,10,12,8,6,0.627612650805304
31,10,12,8,8,0.6229477312402575
32,10,14,2,2,0.6534937477774662
33,10,14,2,4,0.6519543035838208
34,10,14,2,6,0.648032918737076
35,10,14,2,8,0.6487539095189135
36,10,14,4,2,0.6624823751928678
37,10,14,4,4,0.6478871948074747
38,10,14,4,6,0.6515384574302484
39,10,14,4,8,0.6510278498530417
40,10,14,6,2,0.6528979548855564
41,10,14,6,4,0.6565127747651883
42,10,14,6,6,0.6463080367817552
43,10,14,6,8,0.6481829500922923
44,10,14,8,2,0.6433729906521705
45,10,14,8,4,0.6482228286934822
46,10,14,8,6,0.642305356363816
47,10,14,8,8,0.6356181460306618
48,10,16,2,2,0.6617323018495364
49,10,16,2,4,0.6597114805831455
50,10,16,2,6,0.6533057262954922
51,10,16,2,8,0.651113604962676
52,10,16,4,2,0.6661206297633131
53,10,16,4,4,0.65143463807547
54,10,16,4,6,0.6501215429282473
55,10,16,4,8,0.6461046381094846
56,10,16,6,2,0.6563461136063886
57,10,16,6,4,0.6468997218363066
58,10,16,6,6,0.650014325232409
59,10,16,6,8,0.6433411851329195
60,10,16,8,2,0.657359525859174
61,10,16,8,4,0.6472481083728904
62,10,16,8,6,0.6469849622438072
63,10,16,8,8,0.6530963163530363
64,10,18,2,2,0.6601514006224672
65,10,18,2,4,0.6551633588601017
66,10,18,2,6,0.65295041762542
67,10,18,2,8,0.6536121510246566
68,10,18,4,2,0.6650672278764076
69,10,18,4,4,0.6511651280052021
70,10,18,4,6,0.6532216617347661
71,10,18,4,8,0.6531891564186846
72,10,18,6,2,0.657523935542713
73,10,18,6,4,0.6560107205338034
74,10,18,6,6,0.6555270640829702
75,10,18,6,8,0.6507247613889093
76,10,18,8,2,0.6666561180070841
77,10,18,8,4,0.6526906884499154
78,10,18,8,6,0.6422429782195458
79,10,18,8,8,0.649934471814115
80,12,10,2,2,0.6517808906071628
81,12,10,2,4,0.649625773050884
82,12,10,2,6,0.647277441000869
83,12,10,2,8,0.6483154030157489
84,12,10,4,2,0.6335547235343684
85,12,10,4,4,0.6431293853332944
86,12,10,4,6,0.6394963078837012
87,12,10,4,8,0.637637072712182
88,12,10,6,2,0.6234729190753397
89,12,10,6,4,0.6212082658582939
90,12,10,6,6,0.6259106285840026
91,12,10,6,8,0.6308320116235072
92,12,10,8,2,0.6301709723385183
93,12,10,8,4,0.6130668974143956
94,12,10,8,6,0.6220888119268105
95,12,10,8,8,0.635944445382841
96,12,12,2,2,0.6573921561218307
97,12,12,2,4,0.6619874111340798
98,12,12,2,6,0.6543324490079273
