,p_t1,p_t2,p_t3,p_t4,score
0,10,10,2,2,0.6517084486460106
1,10,10,2,4,0.6472599233899903
2,10,10,2,6,0.6476899652545139
3,10,10,2,8,0.6453564087857359
4,10,10,4,2,0.6506848848660615
5,10,10,4,4,0.6489861721665364
6,10,10,4,6,0.6437088373112746
7,10,10,4,8,0.6483626282039568
8,10,10,6,2,0.6466078952536244
9,10,10,6,4,0.6483796138797606
10,10,10,6,6,0.6504776959008246
11,10,10,6,8,0.648807871840533
12,10,10,8,2,0.6502983874312621
13,10,10,8,4,0.6499276901072376
14,10,10,8,6,0.6474456276794277
15,10,10,8,8,0.6480843317310758
16,10,12,2,2,0.6542310354068754
17,10,12,2,4,0.6486749593909372
18,10,12,2,6,0.6523752586615689
19,10,12,2,8,0.6514477295763784
20,10,12,4,2,0.6525341035043787
21,10,12,4,4,0.6443355164164902
22,10,12,4,6,0.6540343523885457
23,10,12,4,8,0.6504975743481685
24,10,12,6,2,0.6611837588422456
25,10,12,6,4,0.6528635618205989
26,10,12,6,6,0.6547119081578563
27,10,12,6,8,0.6577099318360426
28,10,12,8,2,0.6566322162373032
29,10,12,8,4,0.6453168728645999
30,10,12,8,6,0.6508332778188185
31,10,12,8,8,0.6557665449487343
32,10,14,2,2,0.6599917120788538
33,10,14,2,4,0.6526997332044032
34,10,14,2,6,0.6462182277297149
35,10,14,2,8,0.6524260596089253
36,10,14,4,2,0.6559486434807489
37,10,14,4,4,0.6588374662256339
38,10,14,4,6,0.6542796484907237
39,10,14,4,8,0.6578850038507255
40,10,14,6,2,0.6529815029079035
41,10,14,6,4,0.654119230377906
42,10,14,6,6,0.6533482862196113
43,10,14,6,8,0.6559708463974493
44,10,14,8,2,0.6572996837018829
45,10,14,8,4,0.655750047575845
46,10,14,8,6,0.654645876044484
47,10,14,8,8,0.6580588688691204
48,10,16,2,2,0.6621013590779906
49,10,16,2,4,0.6534124125817019
50,10,16,2,6,0.6594319033037188
51,10,16,2,8,0.6583750786973425
52,10,16,4,2,0.6580797465286476
53,10,16,4,4,0.6608313513928942
54,10,16,4,6,0.6520519137684399
55,10,16,4,8,0.65507349091262
56,10,16,6,2,0.6606706625943429
57,10,16,6,4,0.6544939188098927
58,10,16,6,6,0.6578568473146978
59,10,16,6,8,0.6515722008318819
60,10,16,8,2,0.6533173254148953
61,10,16,8,4,0.6485668192303163
62,10,16,8,6,0.6512721407931646
63,10,16,8,8,0.6474616737573881
64,10,18,2,2,0.6539623767204708
65,10,18,2,4,0.6531501051126859
66,10,18,2,6,0.6529629088456
67,10,18,2,8,0.658996674088362
68,10,18,4,2,0.6582347208154582
69,10,18,4,4,0.6530692342779371
70,10,18,4,6,0.6586896748778822
