,p_t1,p_t2,p_t3,p_t4,score
0,10,10,2,2,0.6979785600409528
1,10,10,2,4,0.6981093928138179
2,10,10,2,6,0.6924733038638844
3,10,10,2,8,0.6954502304461708
4,10,10,4,2,0.7047747919648183
5,10,10,4,4,0.6955257335367596
6,10,10,4,6,0.6970552324699358
7,10,10,4,8,0.6941113036523205
8,10,10,6,2,0.6991783559326544
9,10,10,6,4,0.6946487923456836
10,10,10,6,6,0.6955007681058181
11,10,10,6,8,0.7010299596867776
12,10,10,8,2,0.6998449744411918
13,10,10,8,4,0.6969933232500166
14,10,10,8,6,0.6944029634861245
15,10,10,8,8,0.6953921924479906
16,10,12,2,2,0.699091074699802
17,10,12,2,4,0.7009958317211779
18,10,12,2,6,0.7008941166511103
19,10,12,2,8,0.6989761382320564
20,10,12,4,2,0.6988037530322456
21,10,12,4,4,0.7006301007359518
22,10,12,4,6,0.6985867148834437
23,10,12,4,8,0.6945267375326133
24,10,12,6,2,0.7044919391839576
25,10,12,6,4,0.6976896531817459
26,10,12,6,6,0.6993938167808894
27,10,12,6,8,0.7012963335300789
28,10,12,8,2,0.7010335616955183
29,10,12,8,4,0.702863044362123
30,10,12,8,6,0.7015743301620011
31,10,12,8,8,0.7006918588400612
32,10,14,2,2,0.705811245948992
33,10,14,2,4,0.7037603796423296
34,10,14,2,6,0.7005877892662434
35,10,14,2,8,0.7019727595110021
36,10,14,4,2,0.7017837679207002
37,10,14,4,4,0.7002110728852832
38,10,14,4,6,0.6993241069963637
39,10,14,4,8,0.7002530801121045
40,10,14,6,2,0.7037116845637515
41,10,14,6,4,0.6965678236586831
42,10,14,6,6,0.7009182715667146
43,10,14,6,8,0.6968775224053744
44,10,14,8,2,0.7083068169122221
45,10,14,8,4,0.7022321801284735
46,10,14,8,6,0.7020084451589633
47,10,14,8,8,0.6954523038821051
48,10,16,2,2,0.7054726801478598
49,10,16,2,4,0.698002311773867
50,10,16,2,6,0.6995236952593773
51,10,16,2,8,0.6997952730479063
52,10,16,4,2,0.6982960580418899
53,10,16,4,4,0.6971546598405961
54,10,16,4,6,0.6987596061804234
55,10,16,4,8,0.6963827954145264
56,10,16,6,2,0.6998273257338061
57,10,16,6,4,0.6965631204141087
58,10,16,6,6,0.6991432169771933
59,10,16,6,8,0.702240979839437
60,10,16,8,2,0.7008820598648153
61,10,16,8,4,0.6952972370523646
62,10,16,8,6,0.6967536331836722
63,10,16,8,8,0.6961435074218456
64,10,18,2,2,0.7039121629842943
65,10,18,2,4,0.7006637937833023
66,10,18,2,6,0.7036413784295017
67,10,18,2,8,0.6987602764598906
68,10,18,4,2,0.6965714805702006
69,10,18,4,4,0.7021148963791378
70,10,18,4,6,0.6963248924678104
71,10,18,4,8,0.6985337025933137
72,10,18,6,2,0.7002421092355974
73,10,18,6,4,0.7010170270605055
74,10,18,6,6,0.6997899593681822
75,10,18,6,8,0.7074828325210424
76,10,18,8,2,0.700906541513441
77,10,18,8,4,0.7007509127536756
78,10,18,8,6,0.7059664028902756
79,10,18,8,8,0.6983559820614783
80,12,10,2,2,0.6980969764545835
81,12,10,2,4,0.7015075820211041
82,12,10,2,6,0.7018151134710512
83,12,10,2,8,0.7013588217563852
84,12,10,4,2,0.7024487589670961
85,12,10,4,4,0.69399392276797
86,12,10,4,6,0.6979260077404202
87,12,10,4,8,0.7007201586304325
88,12,10,6,2,0.7062359681313958
89,12,10,6,4,0.6973094283131425
90,12,10,6,6,0.7044871251778844
91,12,10,6,8,0.7012379760045135
92,12,10,8,2,0.7068817344569799
93,12,10,8,4,0.6933213174642222
94,12,10,8,6,0.7055674067499913
95,12,10,8,8,0.7018389840172817
96,12,12,2,2,0.7144297360353568
97,12,12,2,4,0.7094174828145423
98,12,12,2,6,0.6992175608856295
99,12,12,2,8,0.7057499711758459
100,12,12,4,2,0.7100989942441748
101,12,12,4,4,0.7034655028919431
102,12,12,4,6,0.700254518337854
103,12,12,4,8,0.7035355438066655
104,12,12,6,2,0.7221732900169706
105,12,12,6,4,0.7069451276390485
106,12,12,6,6,0.7001455749613043
107,12,12,6,8,0.6967917121759054
108,12,12,8,2,0.7158897407142014
109,12,12,8,4,0.7071360180589625
110,12,12,8,6,0.7052841317127614
111,12,12,8,8,0.7045214685382012
112,12,14,2,2,0.70781648869636
113,12,14,2,4,0.7025367299468953
114,12,14,2,6,0.7024845148146621
115,12,14,2,8,0.7081384860698116
116,12,14,4,2,0.7156183197211702
117,12,14,4,4,0.702508534282496
118,12,14,4,6,0.7066641240158683
119,12,14,4,8,0.7043928985451329
120,12,14,6,2,0.71858571615869
121,12,14,6,4,0.7100831024449935
122,12,14,6,6,0.7058801100048484
123,12,14,6,8,0.6976376486412196
124,12,14,8,2,0.7158789244499152
125,12,14,8,4,0.701702381586803
126,12,14,8,6,0.7057675610085125
127,12,14,8,8,0.7055245548452905
128,12,16,2,2,0.7156574231873228
129,12,16,2,4,0.7062244359718503
130,12,16,2,6,0.7098111798162705
131,12,16,2,8,0.7061047165076525
132,12,16,4,2,0.7202115712169627
133,12,16,4,4,0.7102095868471832
134,12,16,4,6,0.7036622722620853
135,12,16,4,8,0.708186922101595
136,12,16,6,2,0.7056364098369112
137,12,16,6,4,0.7048680326640836
138,12,16,6,6,0.7019950721438285
139,12,16,6,8,0.7129874681807106
140,12,16,8,2,0.714278711955003
141,12,16,8,4,0.7119267152438874
142,12,16,8,6,0.7079081849335968
143,12,16,8,8,0.707325917749399
144,12,18,2,2,0.7160785746931394
145,12,18,2,4,0.699639058367011
146,12,18,2,6,0.7082682571601179
147,12,18,2,8,0.7035455799127835
148,12,18,4,2,0.7059409532728967
149,12,18,4,4,0.7124810768831834
150,12,18,4,6,0.7101393723549879
151,12,18,4,8,0.7096524846207152
152,12,18,6,2,0.7162706578743405
153,12,18,6,4,0.7079274572932065
154,12,18,6,6,0.7092341336829869
155,12,18,6,8,0.7059661885749587
156,12,18,8,2,0.7143013984226597
157,12,18,8,4,0.709214786247853
158,12,18,8,6,0.7075371442977282
159,12,18,8,8,0.7077283456931253
160,14,10,2,2,0.7026431134420138
161,14,10,2,4,0.7018593407565786
162,14,10,2,6,0.6999165567879482
163,14,10,2,8,0.7013973653429729
164,14,10,4,2,0.7013597241992681
165,14,10,4,4,0.7045094732396636
166,14,10,4,6,0.7046485826848118
167,14,10,4,8,0.6995417462281527
168,14,10,6,2,0.7052789342484198
169,14,10,6,4,0.7083177335398743
170,14,10,6,6,0.6983686861997374
171,14,10,6,8,0.7002667640404435
172,14,10,8,2,0.7075414043466283
173,14,10,8,4,0.7015735852171899
174,14,10,8,6,0.7034516423014533
175,14,10,8,8,0.702195775290322
176,14,12,2,2,0.7107736586771803
177,14,12,2,4,0.7101656015488237
178,14,12,2,6,0.7040168938854791
179,14,12,2,8,0.7099161361153571
180,14,12,4,2,0.7171280050684041
181,14,12,4,4,0.7178922274903076
182,14,12,4,6,0.7021930325762232
183,14,12,4,8,0.7084790759794058
184,14,12,6,2,0.7096206466598131
185,14,12,6,4,0.7190316363711672
186,14,12,6,6,0.7042854701717512
187,14,12,6,8,0.7054455737529177
188,14,12,8,2,0.7113576566343204
189,14,12,8,4,0.7100748705771943
190,14,12,8,6,0.7106093357445878
191,14,12,8,8,0.7086777672769585
192,14,14,2,2,0.7206826739345771
193,14,14,2,4,0.7114567807169317
194,14,14,2,6,0.7032574662885525
195,14,14,2,8,0.7152739613617026
196,14,14,4,2,0.7186272891597841
197,14,14,4,4,0.7097360543237108
198,14,14,4,6,0.7152560346500212
199,14,14,4,8,0.7135906755920001
200,14,14,6,2,0.7262896713254193
201,14,14,6,4,0.7072632840438656
202,14,14,6,6,0.7142849041127514
203,14,14,6,8,0.7063815058442021
204,14,14,8,2,0.7242190652178876
205,14,14,8,4,0.7193199063313257
206,14,14,8,6,0.7118128372522534
207,14,14,8,8,0.7098933407379112
208,14,16,2,2,0.723704248715967
209,14,16,2,4,0.7165490416123096
210,14,16,2,6,0.7151061073572121
211,14,16,2,8,0.7104010673623214
212,14,16,4,2,0.7220150112120193
213,14,16,4,4,0.7105321564866962
214,14,16,4,6,0.7118305601234393
215,14,16,4,8,0.7086464662454137
216,14,16,6,2,0.7152851380858847
217,14,16,6,4,0.7142436075225348
218,14,16,6,6,0.713996781215554
219,14,16,6,8,0.7103640542421418
220,14,16,8,2,0.71980264656113
221,14,16,8,4,0.7148062126984295
222,14,16,8,6,0.711369356472067
223,14,16,8,8,0.710713649140091
224,14,18,2,2,0.7273675797966446
225,14,18,2,4,0.710300543285444
226,14,18,2,6,0.7081721976730456
227,14,18,2,8,0.7072315816065767
228,14,18,4,2,0.7221052729592903
229,14,18,4,4,0.7144712469738703
230,14,18,4,6,0.7128321949986591
231,14,18,4,8,0.7124061894663298
232,14,18,6,2,0.7258385581730318
233,14,18,6,4,0.712987286208138
234,14,18,6,6,0.7098921056614906
235,14,18,6,8,0.7084568202284163
236,14,18,8,2,0.7279417063867487
237,14,18,8,4,0.7197041689894613
238,14,18,8,6,0.7129698849157778
239,14,18,8,8,0.708779245768279
240,16,10,2,2,0.7090413401979884
241,16,10,2,4,0.7049278922268206
242,16,10,2,6,0.7022481724574048
243,16,10,2,8,0.6964879637571277
244,16,10,4,2,0.7036624796209522
245,16,10,4,4,0.7035933310221001
246,16,10,4,6,0.7096987763932537
247,16,10,4,8,0.6986864412939896
248,16,10,6,2,0.7074634184731448
249,16,10,6,4,0.7125063119201082
250,16,10,6,6,0.6994543480399154
251,16,10,6,8,0.7076982982121328
252,16,10,8,2,0.6983877607246191
253,16,10,8,4,0.7053693165287555
254,16,10,8,6,0.7030685555884383
255,16,10,8,8,0.7015438807123723
256,16,12,2,2,0.7201394992282907
257,16,12,2,4,0.7190995783137235
258,16,12,2,6,0.7140226998581017
259,16,12,2,8,0.7040520177279054
260,16,12,4,2,0.7084455369754715
261,16,12,4,4,0.712670523613491
262,16,12,4,6,0.7115473346806525
263,16,12,4,8,0.7055198808232634
264,16,12,6,2,0.7193665308898849
265,16,12,6,4,0.7085157733967381
266,16,12,6,6,0.7143456417490124
