,p_t1,p_t2,p_t3,p_t4,score
0,10,10,2,2,0.7063078600574029
1,10,10,2,4,0.6998622762895713
2,10,10,2,6,0.6992411926634956
3,10,10,2,8,0.6964657147826413
4,10,10,4,2,0.7007326977412962
5,10,10,4,4,0.6955833965053903
6,10,10,4,6,0.7027299139191477
7,10,10,4,8,0.6960641092444327
8,10,10,6,2,0.7045496054435575
9,10,10,6,4,0.7025270246862103
10,10,10,6,6,0.6948542982972441
11,10,10,6,8,0.6980725850719623
12,10,10,8,2,0.7066957188390134
13,10,10,8,4,0.7028989432916383
14,10,10,8,6,0.7032435535758035
15,10,10,8,8,0.7036789428913311
16,10,12,2,2,0.6998837347648036
17,10,12,2,4,0.7019569323444576
18,10,12,2,6,0.7051462579769393
19,10,12,2,8,0.7051640459034156
20,10,12,4,2,0.7094608560309906
21,10,12,4,4,0.700107224010984
22,10,12,4,6,0.7043316378654275
23,10,12,4,8,0.6953994244209921
24,10,12,6,2,0.7059117217208994
25,10,12,6,4,0.7010698589838261
26,10,12,6,6,0.7044696471704345
27,10,12,6,8,0.7075601748062658
28,10,12,8,2,0.7055385459165479
29,10,12,8,4,0.7046953507651829
30,10,12,8,6,0.7016861970526209
31,10,12,8,8,0.7069592314608881
32,10,14,2,2,0.7079635725931017
33,10,14,2,4,0.7025283011532214
34,10,14,2,6,0.7004398019456821
35,10,14,2,8,0.7033819365715526
36,10,14,4,2,0.7138862779899912
37,10,14,4,4,0.7015600134794336
38,10,14,4,6,0.7077321138743127
39,10,14,4,8,0.7053449801046173
40,10,14,6,2,0.7033182105553566
41,10,14,6,4,0.7055819011998028
42,10,14,6,6,0.7040298276144082
43,10,14,6,8,0.7078729682381066
44,10,14,8,2,0.7016934519983914
45,10,14,8,4,0.7053184667765446
46,10,14,8,6,0.7018798652408019
47,10,14,8,8,0.7024277007169827
48,10,16,2,2,0.7113116528069403
49,10,16,2,4,0.7050400937784448
50,10,16,2,6,0.7023046919259542
51,10,16,2,8,0.7023288421535838
52,10,16,4,2,0.7115183983473828
53,10,16,4,4,0.7040022513655391
54,10,16,4,6,0.7034490848628739
55,10,16,4,8,0.7043025698896542
56,10,16,6,2,0.7086064581919751
57,10,16,6,4,0.7013232522839252
58,10,16,6,6,0.7052269762483303
59,10,16,6,8,0.7014916323194781
60,10,16,8,2,0.7128878876555963
61,10,16,8,4,0.7058882062150463
62,10,16,8,6,0.7022196754512181
63,10,16,8,8,0.709585148951704
64,10,18,2,2,0.7068473174336872
65,10,18,2,4,0.70662623080405
66,10,18,2,6,0.7066269648043001
67,10,18,2,8,0.7009279489016785
68,10,18,4,2,0.7066583728515581
69,10,18,4,4,0.7138098351993124
70,10,18,4,6,0.7023260117437179
71,10,18,4,8,0.702331628764956
72,10,18,6,2,0.7080341818483088
73,10,18,6,4,0.7078524705506483
74,10,18,6,6,0.7032224049401079
75,10,18,6,8,0.7041791314056387
76,10,18,8,2,0.7104373745284476
77,10,18,8,4,0.7033883689680018
78,10,18,8,6,0.70200811992291
79,10,18,8,8,0.7036719683904894
80,12,10,2,2,0.7124817959788986
81,12,10,2,4,0.7043344632875487
82,12,10,2,6,0.7046479196686066
83,12,10,2,8,0.7032227030089667
84,12,10,4,2,0.7082439081661338
85,12,10,4,4,0.7027841698227425
86,12,10,4,6,0.7027880719145978
87,12,10,4,8,0.7047414330376617
88,12,10,6,2,0.706785829533922
89,12,10,6,4,0.7019645943553146
90,12,10,6,6,0.7052999775574866
91,12,10,6,8,0.704791139042014
92,12,10,8,2,0.7017676862480262
93,12,10,8,4,0.7011285387964793
94,12,10,8,6,0.6980021868576243
95,12,10,8,8,0.7132749955567678
96,12,12,2,2,0.7153145450813674
97,12,12,2,4,0.7068583544274517
98,12,12,2,6,0.7092132638218054
99,12,12,2,8,0.7070232169703464
100,12,12,4,2,0.7173975536298953
101,12,12,4,4,0.7084195185690656
102,12,12,4,6,0.7127296163553983
103,12,12,4,8,0.7072560653445619
104,12,12,6,2,0.7149410404989706
105,12,12,6,4,0.711563170495649
106,12,12,6,6,0.7025218627505886
107,12,12,6,8,0.7063389815244022
108,12,12,8,2,0.7108373572751848
109,12,12,8,4,0.7055114427393335
110,12,12,8,6,0.7154091920174169
