,p_t1,p_t2,p_t3,p_t4,score
0,10,10,2,2,0.7052069057653805
1,10,10,2,4,0.6989092845205173
2,10,10,2,6,0.7029807968631449
3,10,10,2,8,0.7006373812503859
4,10,10,4,2,0.7025507848950525
5,10,10,4,4,0.7049379788708364
6,10,10,4,6,0.7027838907087722
7,10,10,4,8,0.7103509878905165
8,10,10,6,2,0.7076822201126648
9,10,10,6,4,0.7024871850591127
10,10,10,6,6,0.7046166536276832
11,10,10,6,8,0.7028192665956374
12,10,10,8,2,0.7046524565518016
13,10,10,8,4,0.7030614817374499
14,10,10,8,6,0.7028951815119898
15,10,10,8,8,0.7024266805010124
16,10,12,2,2,0.7057489281961771
17,10,12,2,4,0.7022092091138793
18,10,12,2,6,0.7065574723294423
19,10,12,2,8,0.7025651612469188
20,10,12,4,2,0.6992674294542329
21,10,12,4,4,0.7045894411544054
22,10,12,4,6,0.7065727201238033
23,10,12,4,8,0.7061474238058162
24,10,12,6,2,0.7095083098801697
25,10,12,6,4,0.7047744669611805
26,10,12,6,6,0.7065794804809166
27,10,12,6,8,0.700400390976232
28,10,12,8,2,0.7079835173159719
29,10,12,8,4,0.7029808131151096
30,10,12,8,6,0.7098826304547061
31,10,12,8,8,0.7060593027386185
32,10,14,2,2,0.7093648837290439
33,10,14,2,4,0.7089385233867533
34,10,14,2,6,0.7044267296473503
35,10,14,2,8,0.7035176163902949
36,10,14,4,2,0.7152680634654551
37,10,14,4,4,0.7106616533923282
38,10,14,4,6,0.7033486088524379
39,10,14,4,8,0.707353380834471
40,10,14,6,2,0.7071470431707086
41,10,14,6,4,0.7039883031132582
42,10,14,6,6,0.7059331979744735
43,10,14,6,8,0.7014599585520319
44,10,14,8,2,0.7048625394184853
45,10,14,8,4,0.7027058680109975
46,10,14,8,6,0.7062296664259913
47,10,14,8,8,0.707626794873037
48,10,16,2,2,0.7140070515455822
49,10,16,2,4,0.7013563314595143
50,10,16,2,6,0.7066576045956904
51,10,16,2,8,0.701903062075063
52,10,16,4,2,0.7072352763504982
53,10,16,4,4,0.7048066307442454
54,10,16,4,6,0.7043221579667579
55,10,16,4,8,0.7059032204193477
56,10,16,6,2,0.7091676442798501
57,10,16,6,4,0.70316883639419
58,10,16,6,6,0.7077444638254878
59,10,16,6,8,0.7071941312341314
60,10,16,8,2,0.6997155996510346
61,10,16,8,4,0.7086149840942705
62,10,16,8,6,0.7033381953937806
63,10,16,8,8,0.7092120496665976
64,10,18,2,2,0.7122679956863297
65,10,18,2,4,0.705236979331784
66,10,18,2,6,0.7043564146016544
67,10,18,2,8,0.7043130553528402
68,10,18,4,2,0.7078536833835715
69,10,18,4,4,0.7086511514982061
70,10,18,4,6,0.7049532217611536
71,10,18,4,8,0.7037129581699416
72,10,18,6,2,0.7014893777535561
73,10,18,6,4,0.7042110552084222
74,10,18,6,6,0.7024630049828722
75,10,18,6,8,0.7061974327493696
76,10,18,8,2,0.7041039058098028
77,10,18,8,4,0.6992926331474241
78,10,18,8,6,0.7065934336410358
79,10,18,8,8,0.7094206200095733
80,12,10,2,2,0.709482027978908
81,12,10,2,4,0.7054563686797838
82,12,10,2,6,0.716368106804953
83,12,10,2,8,0.7002509457352489
84,12,10,4,2,0.7094918909132361
85,12,10,4,4,0.7003902777136962
86,12,10,4,6,0.7031508586532413
87,12,10,4,8,0.7023084502338888
88,12,10,6,2,0.7073786779493547
89,12,10,6,4,0.7061927230184573
90,12,10,6,6,0.7041175367010079
91,12,10,6,8,0.7019656644163671
92,12,10,8,2,0.7097518333052593
93,12,10,8,4,0.7082954582147855
94,12,10,8,6,0.7011075395159881
95,12,10,8,8,0.7038518049258017
96,12,12,2,2,0.7158087214091023
97,12,12,2,4,0.7122559802951517
98,12,12,2,6,0.7090406859433207
99,12,12,2,8,0.706012577736106
100,12,12,4,2,0.7163250380700159
101,12,12,4,4,0.7086435359814885
102,12,12,4,6,0.7064237435029721
103,12,12,4,8,0.708850048910608
104,12,12,6,2,0.7206901994470636
105,12,12,6,4,0.7096228877776084
106,12,12,6,6,0.7106601409343826
107,12,12,6,8,0.7110721647022472
108,12,12,8,2,0.7145840849612596
109,12,12,8,4,0.7097044547015624
110,12,12,8,6,0.7066179447736906
111,12,12,8,8,0.7047086617966712
112,12,14,2,2,0.7159584279074461
113,12,14,2,4,0.7146381331633905
114,12,14,2,6,0.712193810162805
115,12,14,2,8,0.7126637749244807
116,12,14,4,2,0.7180578544918826
117,12,14,4,4,0.7134395334042041
118,12,14,4,6,0.7133223553727275
119,12,14,4,8,0.708667553875116
120,12,14,6,2,0.7183581388261612
