,p_t1,p_t2,p_t3,p_t4,score
0,10,10,2,2,0.6911775372785748
1,10,10,2,4,0.6966260154341408
2,10,10,2,6,0.6922636242161463
3,10,10,2,8,0.7006527727178087
4,10,10,4,2,0.6966698219142297
5,10,10,4,4,0.6908370096268043
6,10,10,4,6,0.6986858028837606
7,10,10,4,8,0.682368750808136
8,10,10,6,2,0.6934301644609527
9,10,10,6,4,0.6920830262786898
10,10,10,6,6,0.6897470892475778
11,10,10,6,8,0.6893003460386943
12,10,10,8,2,0.6961041131916241
13,10,10,8,4,0.6958885644594995
14,10,10,8,6,0.6953863416259249
15,10,10,8,8,0.6888381323816666
16,10,12,2,2,0.7047203189906903
17,10,12,2,4,0.6943379909653281
18,10,12,2,6,0.6994591525030623
19,10,12,2,8,0.6928931083280178
20,10,12,4,2,0.7101158179622211
21,10,12,4,4,0.6956907420790032
22,10,12,4,6,0.6961638500730952
23,10,12,4,8,0.6964327117607866
24,10,12,6,2,0.698357599511823
25,10,12,6,4,0.6995884751927299
26,10,12,6,6,0.6946564928864297
27,10,12,6,8,0.6870855069376164
28,10,12,8,2,0.6976601990703877
29,10,12,8,4,0.6987472963579983
30,10,12,8,6,0.694013351691526
31,10,12,8,8,0.69616174120228
32,10,14,2,2,0.6992174339629521
33,10,14,2,4,0.7034273592175911
34,10,14,2,6,0.7036643170463471
35,10,14,2,8,0.7012788838558409
36,10,14,4,2,0.7071081981638333
37,10,14,4,4,0.6962265349032896
38,10,14,4,6,0.6942266848211439
39,10,14,4,8,0.6987266042177754
40,10,14,6,2,0.7086552637117408
41,10,14,6,4,0.6989408850108668
42,10,14,6,6,0.6992364171747497
43,10,14,6,8,0.6999398414702228
44,10,14,8,2,0.7061422901452673
45,10,14,8,4,0.6962588772987051
46,10,14,8,6,0.6972291742520347
47,10,14,8,8,0.6993613580389845
48,10,16,2,2,0.7003492356300787
49,10,16,2,4,0.7066664042343068
50,10,16,2,6,0.7014557211287279
51,10,16,2,8,0.6949370274612522
52,10,16,4,2,0.7057888187659027
53,10,16,4,4,0.6961515787431201
54,10,16,4,6,0.692850555003837
55,10,16,4,8,0.6993304381918737
56,10,16,6,2,0.7024785329723725
57,10,16,6,4,0.6980805628187253
58,10,16,6,6,0.6913057491653886
59,10,16,6,8,0.7006022518973642
60,10,16,8,2,0.7021554978168035
61,10,16,8,4,0.6963715508681095
62,10,16,8,6,0.6985060474905511
63,10,16,8,8,0.6996600945161372
64,10,18,2,2,0.703741710622244
65,10,18,2,4,0.699933400419532
66,10,18,2,6,0.6983660389948495
67,10,18,2,8,0.6940269921981909
68,10,18,4,2,0.7015395263609007
69,10,18,4,4,0.6990497604372609
70,10,18,4,6,0.7002089938910134
71,10,18,4,8,0.7003428215447528
72,10,18,6,2,0.7053346641423149
73,10,18,6,4,0.6980497007427235
74,10,18,6,6,0.6950940677573803
75,10,18,6,8,0.6979509036603396
76,10,18,8,2,0.7004395819952908
77,10,18,8,4,0.7026473907141199
78,10,18,8,6,0.7001518558384499
79,10,18,8,8,0.7005674704959383
80,12,10,2,2,0.6992589347887824
81,12,10,2,4,0.7021639547329374
82,12,10,2,6,0.6901378990140262
83,12,10,2,8,0.6918317814996123
84,12,10,4,2,0.7032728939982748
85,12,10,4,4,0.7001970477390325
86,12,10,4,6,0.6974482993400505
87,12,10,4,8,0.7005337496507219
88,12,10,6,2,0.6992966877835959
89,12,10,6,4,0.6988914649461258
90,12,10,6,6,0.7021413539554034
91,12,10,6,8,0.698869431667096
92,12,10,8,2,0.7010620389722938
93,12,10,8,4,0.6968837787935623
94,12,10,8,6,0.6981055799534209
95,12,10,8,8,0.6982359961483352
96,12,12,2,2,0.7192785586688929
97,12,12,2,4,0.6995923997028989
98,12,12,2,6,0.6965336284903997
99,12,12,2,8,0.703880298151156
100,12,12,4,2,0.7056622214153189
101,12,12,4,4,0.7077710327240444
102,12,12,4,6,0.7077965438672834
103,12,12,4,8,0.69880369183117
104,12,12,6,2,0.7104596658694705
105,12,12,6,4,0.6982072373863665
106,12,12,6,6,0.7003662287777671
107,12,12,6,8,0.7010687363942608
108,12,12,8,2,0.714238916665077
109,12,12,8,4,0.7107237544583
110,12,12,8,6,0.7030344739230369
111,12,12,8,8,0.6996236336302107
112,12,14,2,2,0.7134210444237635
113,12,14,2,4,0.7071390436212681
114,12,14,2,6,0.7078833958827518
115,12,14,2,8,0.7020171610849397
116,12,14,4,2,0.7119751652727682
117,12,14,4,4,0.7069147449613338
118,12,14,4,6,0.705804341462991
119,12,14,4,8,0.7077128471812705
120,12,14,6,2,0.7101369392215799
121,12,14,6,4,0.7054740916762494
122,12,14,6,6,0.7012171052479138
123,12,14,6,8,0.7075455552831299
124,12,14,8,2,0.7253925244188331
125,12,14,8,4,0.7063756329929672
126,12,14,8,6,0.7035477586540084
127,12,14,8,8,0.7008848992681099
128,12,16,2,2,0.7112357758139246
129,12,16,2,4,0.7030257220453087
130,12,16,2,6,0.7020562659141274
131,12,16,2,8,0.7021734194318201
132,12,16,4,2,0.7248279025411201
133,12,16,4,4,0.7020670628843689
134,12,16,4,6,0.7072004115619205
135,12,16,4,8,0.7026221652997067
136,12,16,6,2,0.7119475728326906
137,12,16,6,4,0.707493318764768
138,12,16,6,6,0.7059537615145103
139,12,16,6,8,0.7049267031789266
140,12,16,8,2,0.7110555365181354
141,12,16,8,4,0.7111191640237116
142,12,16,8,6,0.7026428616446433
143,12,16,8,8,0.7067144815540095
144,12,18,2,2,0.7153727953165051
145,12,18,2,4,0.7078970884016472
146,12,18,2,6,0.7043387032353566
147,12,18,2,8,0.7036069064242755
148,12,18,4,2,0.7144826902897351
149,12,18,4,4,0.7062301692614091
150,12,18,4,6,0.7060519998329323
151,12,18,4,8,0.7053238468969577
152,12,18,6,2,0.7177490859689454
153,12,18,6,4,0.7026811398273564
154,12,18,6,6,0.7089157622130395
155,12,18,6,8,0.7031471292872201
156,12,18,8,2,0.7160952556598978
157,12,18,8,4,0.7104805118316415
158,12,18,8,6,0.7034017308835606
159,12,18,8,8,0.7081096895277837
160,14,10,2,2,0.6959736670718835
161,14,10,2,4,0.6988137515541446
162,14,10,2,6,0.6990331792033011
163,14,10,2,8,0.6984490334788438
164,14,10,4,2,0.694186156455968
165,14,10,4,4,0.6991811576352948
166,14,10,4,6,0.6951057734881072
167,14,10,4,8,0.6916495829499016
168,14,10,6,2,0.6915266108648824
169,14,10,6,4,0.7008840959076835
170,14,10,6,6,0.6958424254376361
171,14,10,6,8,0.6911416993192364
172,14,10,8,2,0.6965209792491813
173,14,10,8,4,0.701223213753044
174,14,10,8,6,0.6964106203400533
175,14,10,8,8,0.6922884914446739
176,14,12,2,2,0.7162356331021916
177,14,12,2,4,0.713785711634106
