,p_t1,p_t2,p_t3,p_t4,score
0,10,10,2,2,0.6594395416207653
1,10,10,2,4,0.653532032882773
2,10,10,2,6,0.6587040077439573
3,10,10,2,8,0.6517739442421888
4,10,10,4,2,0.6628325327979324
5,10,10,4,4,0.650962620922431
6,10,10,4,6,0.6482037398074603
7,10,10,4,8,0.654355769111356
8,10,10,6,2,0.6568076034426643
9,10,10,6,4,0.6555739052218503
10,10,10,6,6,0.6502060599041742
11,10,10,6,8,0.6605023867767776
12,10,10,8,2,0.6569423806843124
13,10,10,8,4,0.6516426166956965
14,10,10,8,6,0.6576004217460184
15,10,10,8,8,0.6509088610226225
16,10,12,2,2,0.6573278585596497
17,10,12,2,4,0.6530671194304353
18,10,12,2,6,0.6545043104061787
19,10,12,2,8,0.6572527130661746
20,10,12,4,2,0.6561304097460946
21,10,12,4,4,0.6559640176203884
22,10,12,4,6,0.6570286065621204
23,10,12,4,8,0.6538222993813091
24,10,12,6,2,0.6592992935053826
25,10,12,6,4,0.6584571864788379
26,10,12,6,6,0.6522991296014807
27,10,12,6,8,0.6562540358160391
28,10,12,8,2,0.6550387632744532
29,10,12,8,4,0.655760376565411
30,10,12,8,6,0.6585882331541438
31,10,12,8,8,0.6550857538845928
32,10,14,2,2,0.6601598148229478
33,10,14,2,4,0.6544631089250439
34,10,14,2,6,0.658670307760805
35,10,14,2,8,0.6560698024139254
36,10,14,4,2,0.6613402789852882
37,10,14,4,4,0.655934405265312
38,10,14,4,6,0.6551662765754064
39,10,14,4,8,0.6540816307930402
40,10,14,6,2,0.6566927753713604
41,10,14,6,4,0.660992964145035
42,10,14,6,6,0.6507498070693862
43,10,14,6,8,0.6581525293494342
44,10,14,8,2,0.6605402045865032
45,10,14,8,4,0.6596575933160619
46,10,14,8,6,0.6553185560942404
47,10,14,8,8,0.6594966909210689
48,10,16,2,2,0.6598512620518345
49,10,16,2,4,0.6539683442742632
50,10,16,2,6,0.6548285206386567
51,10,16,2,8,0.658116754492049
52,10,16,4,2,0.6588894784039899
53,10,16,4,4,0.6550457669300905
54,10,16,4,6,0.6546302550378523
55,10,16,4,8,0.6543489975460349
56,10,16,6,2,0.6621375812669471
57,10,16,6,4,0.6545256803718512
58,10,16,6,6,0.6591866447087826
59,10,16,6,8,0.6565660246997505
60,10,16,8,2,0.659656084233363
61,10,16,8,4,0.656682212566544
62,10,16,8,6,0.6587730255999206
63,10,16,8,8,0.6560597675033544
64,10,18,2,2,0.6591415518935531
65,10,18,2,4,0.655162935000243
66,10,18,2,6,0.6523540917217096
67,10,18,2,8,0.6578288287424345
68,10,18,4,2,0.661710024744965
69,10,18,4,4,0.6575816144788386
70,10,18,4,6,0.6574910221460021
71,10,18,4,8,0.6644211924515884
72,10,18,6,2,0.6570783770397792
73,10,18,6,4,0.6594320741304117
74,10,18,6,6,0.6552372037849543
75,10,18,6,8,0.655339076905609
76,10,18,8,2,0.6576417677937423
77,10,18,8,4,0.6560152786638515
78,10,18,8,6,0.6577341100772665
79,10,18,8,8,0.6542152396642792
80,12,10,2,2,0.6565500559514894
81,12,10,2,4,0.6630597087248158
82,12,10,2,6,0.6561633304835771
83,12,10,2,8,0.6538311099483828
84,12,10,4,2,0.6584502900959482
85,12,10,4,4,0.6507455983708229
86,12,10,4,6,0.6572633425557345
87,12,10,4,8,0.6547559066538
88,12,10,6,2,0.6574380451366649
89,12,10,6,4,0.6655362735731353
90,12,10,6,6,0.6609260493170955
91,12,10,6,8,0.6551851023720162
92,12,10,8,2,0.654215470485636
93,12,10,8,4,0.6549023014512609
94,12,10,8,6,0.6579306901927059
95,12,10,8,8,0.6553947705393449
96,12,12,2,2,0.663496330272808
97,12,12,2,4,0.6610597031205133
98,12,12,2,6,0.6658997280136213
99,12,12,2,8,0.6609981847381395
100,12,12,4,2,0.6737667768155866
101,12,12,4,4,0.6638294891920489
102,12,12,4,6,0.6669762045736617
103,12,12,4,8,0.6610892682110184
104,12,12,6,2,0.6701115386494881
105,12,12,6,4,0.6608109194342607
106,12,12,6,6,0.6686526182214362
107,12,12,6,8,0.6621739286556582
108,12,12,8,2,0.6719812217103517
109,12,12,8,4,0.6646223081030366
110,12,12,8,6,0.6634669549883373
111,12,12,8,8,0.6601767473761722
112,12,14,2,2,0.6726058887544194
113,12,14,2,4,0.6734977936818302
114,12,14,2,6,0.6650546925983339
115,12,14,2,8,0.6683377526422213
116,12,14,4,2,0.6718544414577089
117,12,14,4,4,0.6641077892686011
118,12,14,4,6,0.6601647709713587
119,12,14,4,8,0.6642740140570814
120,12,14,6,2,0.6709117870309494
121,12,14,6,4,0.6705589746543277
122,12,14,6,6,0.6645922883600979
123,12,14,6,8,0.6641723134631351
124,12,14,8,2,0.6648175584981827
125,12,14,8,4,0.6681332346226148
126,12,14,8,6,0.6629419757671223
127,12,14,8,8,0.6631249262184092
128,12,16,2,2,0.6779535282197994
129,12,16,2,4,0.6633743213272881
130,12,16,2,6,0.670898089862046
131,12,16,2,8,0.6640793513028215
132,12,16,4,2,0.6701683438878024
133,12,16,4,4,0.6743998185980148
134,12,16,4,6,0.660834266196849
135,12,16,4,8,0.6643583155878471
136,12,16,6,2,0.6718883810434124
137,12,16,6,4,0.6664240546598501
138,12,16,6,6,0.657098319429902
139,12,16,6,8,0.6659083133978737
140,12,16,8,2,0.6690988960582679
141,12,16,8,4,0.6629834738500593
142,12,16,8,6,0.6633122684468914
143,12,16,8,8,0.6621967463451122
144,12,18,2,2,0.671388177062357
145,12,18,2,4,0.6629162604964868
146,12,18,2,6,0.6662673960348818
147,12,18,2,8,0.6649291857620021
148,12,18,4,2,0.6714777246595004
149,12,18,4,4,0.6651334586404241
150,12,18,4,6,0.6652608984616294
151,12,18,4,8,0.666010971059446
152,12,18,6,2,0.6636422819255087
153,12,18,6,4,0.6780438426034973
154,12,18,6,6,0.6589688986705585
155,12,18,6,8,0.6655541579139369
156,12,18,8,2,0.669852091988231
157,12,18,8,4,0.6686854943917148
158,12,18,8,6,0.6685761681005519
159,12,18,8,8,0.6667417472950067
160,14,10,2,2,0.6564445144454166
161,14,10,2,4,0.6590406567540049
162,14,10,2,6,0.659817622777738
163,14,10,2,8,0.657738004340285
164,14,10,4,2,0.6541679298784099
165,14,10,4,4,0.6633636109130983
166,14,10,4,6,0.6583200001451269
167,14,10,4,8,0.6639101870778028
168,14,10,6,2,0.6552492072294251
169,14,10,6,4,0.656200417565956
170,14,10,6,6,0.6546627054735917
171,14,10,6,8,0.6567727898855056
172,14,10,8,2,0.6622053143468234
173,14,10,8,4,0.6607186922477346
174,14,10,8,6,0.6551571487412008
175,14,10,8,8,0.6538561632190202
176,14,12,2,2,0.6684875794910455
177,14,12,2,4,0.6694745538574374
178,14,12,2,6,0.661455514596761
179,14,12,2,8,0.6634371908242289
180,14,12,4,2,0.6672116628405487
181,14,12,4,4,0.668128097021007
182,14,12,4,6,0.6589040581828141
183,14,12,4,8,0.6687522365065907
184,14,12,6,2,0.6671166678090262
185,14,12,6,4,0.663672846609508
186,14,12,6,6,0.664233864272156
187,14,12,6,8,0.6614741837147834
188,14,12,8,2,0.6669779479909019
189,14,12,8,4,0.6626310916996402
190,14,12,8,6,0.6635135755852016
191,14,12,8,8,0.66094124471466
192,14,14,2,2,0.6728924055489843
193,14,14,2,4,0.6743509824339182
194,14,14,2,6,0.6746705940751857
195,14,14,2,8,0.6660961452708999
196,14,14,4,2,0.6739422669105936
197,14,14,4,4,0.6666016459992016
198,14,14,4,6,0.666661729233489
199,14,14,4,8,0.6751943164923372
200,14,14,6,2,0.6760197300651379
201,14,14,6,4,0.662347830846886
202,14,14,6,6,0.6716163451368041
203,14,14,6,8,0.6647750709589684
204,14,14,8,2,0.6756786608168586
205,14,14,8,4,0.674835234822444
206,14,14,8,6,0.666537912841908
207,14,14,8,8,0.6694746081952415
208,14,16,2,2,0.6829957514204531
209,14,16,2,4,0.674409793981854
210,14,16,2,6,0.671885272067771
211,14,16,2,8,0.6702861611723244
212,14,16,4,2,0.6855446273749685
213,14,16,4,4,0.677577619419536
214,14,16,4,6,0.6759343845993976
215,14,16,4,8,0.6681241245790158
216,14,16,6,2,0.6924332206276742
217,14,16,6,4,0.6686701006045347
218,14,16,6,6,0.6731945253659771
219,14,16,6,8,0.6721381764197588
220,14,16,8,2,0.6828218307025092
221,14,16,8,4,0.6676301646025101
222,14,16,8,6,0.6674653234723881
223,14,16,8,8,0.6689457247561511
224,14,18,2,2,0.679562160014281
225,14,18,2,4,0.6735248015518271
226,14,18,2,6,0.6718493651344805
227,14,18,2,8,0.6656650970784558
228,14,18,4,2,0.6818280294974937
229,14,18,4,4,0.674852986360455
230,14,18,4,6,0.6688031365487817
231,14,18,4,8,0.6715648874791942
232,14,18,6,2,0.6878858721366167
233,14,18,6,4,0.6715779724009648
234,14,18,6,6,0.6740184522847233
235,14,18,6,8,0.6704299789003666
236,14,18,8,2,0.6784258764756882
237,14,18,8,4,0.672552993795802
238,14,18,8,6,0.6731266208364398
239,14,18,8,8,0.6671562432671969
240,16,10,2,2,0.6593031908996857
241,16,10,2,4,0.6579299286840118
242,16,10,2,6,0.6622183713632815
243,16,10,2,8,0.6549111711185156
244,16,10,4,2,0.6534387985680333
245,16,10,4,4,0.65536030584923
246,16,10,4,6,0.6604280656697389
247,16,10,4,8,0.6533593892659381
248,16,10,6,2,0.6564116674539129
249,16,10,6,4,0.6570986038417377
250,16,10,6,6,0.6561481668138985
251,16,10,6,8,0.6568333180615685
252,16,10,8,2,0.6538025397605317
253,16,10,8,4,0.6593942215292014
254,16,10,8,6,0.6536602535818145
255,16,10,8,8,0.6587192026914152
256,16,12,2,2,0.6682734417882426
257,16,12,2,4,0.6666558198569114
258,16,12,2,6,0.6707836026544278
259,16,12,2,8,0.6619585100752382
260,16,12,4,2,0.6679799237705119
261,16,12,4,4,0.673484020980626
262,16,12,4,6,0.6675586159775055
263,16,12,4,8,0.6696845027578785
264,16,12,6,2,0.6751522692936359
265,16,12,6,4,0.6637973776021584
266,16,12,6,6,0.66981034083649
267,16,12,6,8,0.6613923799285865
268,16,12,8,2,0.6693439951300668
269,16,12,8,4,0.6728949792546551
270,16,12,8,6,0.6677450138966051
271,16,12,8,8,0.6695070821027419
272,16,14,2,2,0.690416192953244
273,16,14,2,4,0.6766252365775318
274,16,14,2,6,0.6730942911541762
275,16,14,2,8,0.667714955560287
276,16,14,4,2,0.6830449515689256
277,16,14,4,4,0.6816061989511911
278,16,14,4,6,0.6706583512153651
279,16,14,4,8,0.6688327838605934
280,16,14,6,2,0.6814016912161326
281,16,14,6,4,0.6833744629347925
282,16,14,6,6,0.6768245917611729
283,16,14,6,8,0.6757575324963311
284,16,14,8,2,0.6797434899942297
285,16,14,8,4,0.6794631710885497
286,16,14,8,6,0.6815770234857119
287,16,14,8,8,0.6787793713423865
288,16,16,2,2,0.6866889081179041
289,16,16,2,4,0.6809989182197725
290,16,16,2,6,0.6768379352248033
291,16,16,2,8,0.6766362965354743
292,16,16,4,2,0.6847033032500273
293,16,16,4,4,0.6748364926142264
294,16,16,4,6,0.6734657800137825
295,16,16,4,8,0.6728203318831462
296,16,16,6,2,0.6849170294644132
297,16,16,6,4,0.6819072074559315
298,16,16,6,6,0.6710093540570626
299,16,16,6,8,0.6795630206335662
300,16,16,8,2,0.6869492710449223
301,16,16,8,4,0.6793368855735032
302,16,16,8,6,0.6760617298860184
303,16,16,8,8,0.6744251318103845
304,16,18,2,2,0.6957195045471272
305,16,18,2,4,0.6755828652139656
306,16,18,2,6,0.6821730472987513
307,16,18,2,8,0.6783029613732107
308,16,18,4,2,0.6809248241310456
309,16,18,4,4,0.6881939322889027
310,16,18,4,6,0.670455611015431
311,16,18,4,8,0.6738616197825248
312,16,18,6,2,0.6820867379606405
313,16,18,6,4,0.6895057055464688
314,16,18,6,6,0.6800881034472375
315,16,18,6,8,0.6771534975213965
316,16,18,8,2,0.7015507593377627
317,16,18,8,4,0.6852967557689841
318,16,18,8,6,0.6778681612516153
319,16,18,8,8,0.6807870906021519
320,18,10,2,2,0.6539221654242423
321,18,10,2,4,0.6582959522480181
322,18,10,2,6,0.6583829903995194
323,18,10,2,8,0.6562412614330354
324,18,10,4,2,0.6598198256138429
325,18,10,4,4,0.6572065653153384
326,18,10,4,6,0.6570067253973407
327,18,10,4,8,0.6544006378139963
328,18,10,6,2,0.6582078815412401
329,18,10,6,4,0.6534084171317613
330,18,10,6,6,0.666881455529802
331,18,10,6,8,0.6574262733649187
332,18,10,8,2,0.6633028431472013
333,18,10,8,4,0.6557255236450564
334,18,10,8,6,0.6567169118955609
335,18,10,8,8,0.6564250459287272
336,18,12,2,2,0.6720113843699599
337,18,12,2,4,0.6683285912661298
338,18,12,2,6,0.6755933357246274
339,18,12,2,8,0.6631625757901695
340,18,12,4,2,0.6723954155381997
341,18,12,4,4,0.6764801640864709
342,18,12,4,6,0.676696684663928
343,18,12,4,8,0.6611583339945012
344,18,12,6,2,0.6647377978408718
345,18,12,6,4,0.6716203474791959
346,18,12,6,6,0.6727222993960132
347,18,12,6,8,0.6708060056773878
348,18,12,8,2,0.6689969785910704
349,18,12,8,4,0.6662980131585657
350,18,12,8,6,0.6665324476556598
351,18,12,8,8,0.6696280952484116
352,18,14,2,2,0.6762060301548605
353,18,14,2,4,0.674886985232734
354,18,14,2,6,0.6753487384439957
355,18,14,2,8,0.6801947004257296
356,18,14,4,2,0.686574762836142
357,18,14,4,4,0.6809812828488814
358,18,14,4,6,0.6790166257483475
359,18,14,4,8,0.6761680950325507
360,18,14,6,2,0.6858185472297545
361,18,14,6,4,0.6857448870284831
362,18,14,6,6,0.6765933394364992
363,18,14,6,8,0.6824413874263465
364,18,14,8,2,0.6745542958983738
365,18,14,8,4,0.6861090750067554
366,18,14,8,6,0.6734031847591008
367,18,14,8,8,0.6800507299181411
368,18,16,2,2,0.6884237535670827
369,18,16,2,4,0.6828727230160494
370,18,16,2,6,0.6847115167260535
371,18,16,2,8,0.6740417368971898
372,18,16,4,2,0.6881610825530835
373,18,16,4,4,0.6895120703657523
374,18,16,4,6,0.6812827521935588
375,18,16,4,8,0.6845171340917274
376,18,16,6,2,0.6913073595101515
377,18,16,6,4,0.6990976365169171
378,18,16,6,6,0.6819848973464705
379,18,16,6,8,0.6801262504781516
380,18,16,8,2,0.6880915885429001
381,18,16,8,4,0.6884921149871865
382,18,16,8,6,0.6802202106569483
383,18,16,8,8,0.682567394820827
384,18,18,2,2,0.6909460476605541
385,18,18,2,4,0.6918746539079202
386,18,18,2,6,0.6872515298388371
387,18,18,2,8,0.688321319421971
388,18,18,4,2,0.6946565048172388
389,18,18,4,4,0.6813179587161821
390,18,18,4,6,0.6806467977772245
391,18,18,4,8,0.6855866373850216
392,18,18,6,2,0.6958987879475954
393,18,18,6,4,0.6937278713444011
394,18,18,6,6,0.683562642073538
395,18,18,6,8,0.6831520743028849
396,18,18,8,2,0.6980592103446425
397,18,18,8,4,0.6892213815083856
398,18,18,8,6,0.6899345861807259
399,18,18,8,8,0.6826598917219909
