,p_t1,p_t2,p_t3,p_t4,score
0,10,10,2,2,0.6603359931528164
1,10,10,2,4,0.6590490588707417
2,10,10,2,6,0.6505630131196217
3,10,10,2,8,0.6559604556869889
4,10,10,4,2,0.66247572144228
5,10,10,4,4,0.6542955349400269
6,10,10,4,6,0.6518069529510127
7,10,10,4,8,0.6509028004058671
8,10,10,6,2,0.66183437263044
9,10,10,6,4,0.6549613104403845
10,10,10,6,6,0.6521048900055285
11,10,10,6,8,0.6565147858014707
12,10,10,8,2,0.6604554348922185
13,10,10,8,4,0.6546988740558595
14,10,10,8,6,0.657609595928324
15,10,10,8,8,0.6520211013499643
16,10,12,2,2,0.660017351094479
17,10,12,2,4,0.661529054582779
18,10,12,2,6,0.6583421458161699
19,10,12,2,8,0.6535892463090683
20,10,12,4,2,0.6574013289916459
21,10,12,4,4,0.6553412631259926
22,10,12,4,6,0.65241746056933
23,10,12,4,8,0.6557163030092408
24,10,12,6,2,0.6573546259458366
25,10,12,6,4,0.6558983460841231
26,10,12,6,6,0.6561188900789765
27,10,12,6,8,0.6578834614349129
28,10,12,8,2,0.6651059075694444
29,10,12,8,4,0.6608624621187857
30,10,12,8,6,0.6500860841905761
31,10,12,8,8,0.6577123876665779
32,10,14,2,2,0.6608549140480423
33,10,14,2,4,0.6618140506059361
34,10,14,2,6,0.6606063132811983
35,10,14,2,8,0.6552967422107258
36,10,14,4,2,0.6534992602878645
37,10,14,4,4,0.665708339700425
38,10,14,4,6,0.6612682394423982
39,10,14,4,8,0.6571612330083882
40,10,14,6,2,0.660304367307942
41,10,14,6,4,0.6611255874361396
42,10,14,6,6,0.6578466130873178
43,10,14,6,8,0.6633878520357926
44,10,14,8,2,0.6621478178147177
45,10,14,8,4,0.6537752444110326
46,10,14,8,6,0.6587111651687857
47,10,14,8,8,0.6577789388662256
48,10,16,2,2,0.6649011149288658
49,10,16,2,4,0.6588207578426108
50,10,16,2,6,0.6571924373129425
51,10,16,2,8,0.6586197022588937
52,10,16,4,2,0.6569593869388647
53,10,16,4,4,0.653463446191546
54,10,16,4,6,0.6599122617096526
55,10,16,4,8,0.6575935709848608
56,10,16,6,2,0.657615592748527
57,10,16,6,4,0.6623744579176485
58,10,16,6,6,0.6597435619701206
59,10,16,6,8,0.6593123960702866
60,10,16,8,2,0.6614876231166876
61,10,16,8,4,0.659294747135662
62,10,16,8,6,0.6550096329209654
63,10,16,8,8,0.6597680444450983
64,10,18,2,2,0.6632329007591485
65,10,18,2,4,0.6632536477256697
66,10,18,2,6,0.6609564474125628
67,10,18,2,8,0.658480741300057
68,10,18,4,2,0.6615421479726495
69,10,18,4,4,0.6609007741286145
70,10,18,4,6,0.6651200982238865
71,10,18,4,8,0.6555968529218631
72,10,18,6,2,0.6592646774483869
73,10,18,6,4,0.6603698857902488
74,10,18,6,6,0.6610437942184206
75,10,18,6,8,0.6621907979303857
76,10,18,8,2,0.6592593159262659
77,10,18,8,4,0.6616567828128409
78,10,18,8,6,0.6559979546335075
79,10,18,8,8,0.6554519565519951
80,12,10,2,2,0.6676083019274189
81,12,10,2,4,0.6575470278231125
82,12,10,2,6,0.6605692861164945
83,12,10,2,8,0.6525420400222008
84,12,10,4,2,0.663297092563333
85,12,10,4,4,0.6582597525172703
86,12,10,4,6,0.6536752808193422
87,12,10,4,8,0.6543175594965943
88,12,10,6,2,0.6600850736284275
89,12,10,6,4,0.6592223410624182
90,12,10,6,6,0.6590800715661702
