,p_t1,p_t2,p_t3,p_t4,score
0,10,10,2,2,0.6451829507377106
1,10,10,2,4,0.6392618780039686
2,10,10,2,6,0.6413447599723185
3,10,10,2,8,0.6410602219978528
4,10,10,4,2,0.6337778939313595
5,10,10,4,4,0.636645075300029
6,10,10,4,6,0.6433151688774682
7,10,10,4,8,0.621140537264929
8,10,10,6,2,0.6171897766890525
9,10,10,6,4,0.6095111614861354
10,10,10,6,6,0.6105988576473314
11,10,10,6,8,0.6083013462129016
12,10,10,8,2,0.6108894011024226
13,10,10,8,4,0.6018070287419257
14,10,10,8,6,0.5900169907680771
15,10,10,8,8,0.6026541892638329
16,10,12,2,2,0.6599166774874403
17,10,12,2,4,0.6442301769121123
18,10,12,2,6,0.6430451181522153
19,10,12,2,8,0.6381249444645409
20,10,12,4,2,0.6604628185078825
21,10,12,4,4,0.647986945260818
22,10,12,4,6,0.6418126439711395
23,10,12,4,8,0.6395872573322304
24,10,12,6,2,0.6290891204269627
25,10,12,6,4,0.6310471433926857
26,10,12,6,6,0.6402130816536346
27,10,12,6,8,0.6388707444550251
28,10,12,8,2,0.6228302070822622
29,10,12,8,4,0.622464062168426
30,10,12,8,6,0.6196268359604896
31,10,12,8,8,0.6340008155292437
32,10,14,2,2,0.6534351008766536
33,10,14,2,4,0.6472699550697275
34,10,14,2,6,0.6510704538456727
35,10,14,2,8,0.6461908894763395
36,10,14,4,2,0.6634376342062881
37,10,14,4,4,0.6456926595549068
38,10,14,4,6,0.6518550419744612
39,10,14,4,8,0.641079058643481
40,10,14,6,2,0.6531684697052473
41,10,14,6,4,0.6427448538219922
42,10,14,6,6,0.6474140732766706
43,10,14,6,8,0.6519222453421954
44,10,14,8,2,0.6501680465227426
45,10,14,8,4,0.6462252856328932
46,10,14,8,6,0.6400110555902495
47,10,14,8,8,0.6419654762649082
48,10,16,2,2,0.6591498842378578
49,10,16,2,4,0.6539740565971653
50,10,16,2,6,0.6545069395881974
51,10,16,2,8,0.646941451723527
52,10,16,4,2,0.6637286605469274
53,10,16,4,4,0.6482038410953014
54,10,16,4,6,0.65111228025722
55,10,16,4,8,0.652184170869485
56,10,16,6,2,0.6621063463140588
57,10,16,6,4,0.6513838277618827
58,10,16,6,6,0.6451157902549113
59,10,16,6,8,0.6528675859050265
60,10,16,8,2,0.6681592172817337
61,10,16,8,4,0.6557219526792369
62,10,16,8,6,0.6497516653416704
63,10,16,8,8,0.6443087049456295
64,10,18,2,2,0.6588964216786689
65,10,18,2,4,0.6607489458790674
66,10,18,2,6,0.6462183072485327
67,10,18,2,8,0.6497484307260867
68,10,18,4,2,0.6620296806865712
69,10,18,4,4,0.6518614923549232
70,10,18,4,6,0.6520423542893794
71,10,18,4,8,0.6463047874146396
72,10,18,6,2,0.6633570827940735
73,10,18,6,4,0.65676702651436
74,10,18,6,6,0.6473372210504681
75,10,18,6,8,0.6486585477238919
76,10,18,8,2,0.6686447127403795
77,10,18,8,4,0.6413713388678085
78,10,18,8,6,0.6535763687057734
79,10,18,8,8,0.651360596759296
80,12,10,2,2,0.6418632319383815
81,12,10,2,4,0.6523280754904871
82,12,10,2,6,0.6519990310611957
83,12,10,2,8,0.6435425359036331
84,12,10,4,2,0.6260157761209061
85,12,10,4,4,0.6345902759130801
86,12,10,4,6,0.6325830314655373
87,12,10,4,8,0.6391768837892773
88,12,10,6,2,0.61653441802198
89,12,10,6,4,0.6058960323400462
90,12,10,6,6,0.6238086226873721
91,12,10,6,8,0.59855080435133
92,12,10,8,2,0.625477929681331
93,12,10,8,4,0.6150834811488024
94,12,10,8,6,0.618469824004058
95,12,10,8,8,0.6049436509244045
96,12,12,2,2,0.666975746072903
97,12,12,2,4,0.6580223312973267
98,12,12,2,6,0.6602369842674991
99,12,12,2,8,0.647979922945303
100,12,12,4,2,0.6540287768996453
101,12,12,4,4,0.6555896942761401
102,12,12,4,6,0.6452135562218242
103,12,12,4,8,0.6447308488217994
104,12,12,6,2,0.6329548110003945
105,12,12,6,4,0.6282528381692871
106,12,12,6,6,0.6386468061351968
107,12,12,6,8,0.6290903239319168
108,12,12,8,2,0.6294716049541718
109,12,12,8,4,0.6205481241360206
110,12,12,8,6,0.622053318210458
111,12,12,8,8,0.6183938049136272
112,12,14,2,2,0.6682850401915633
113,12,14,2,4,0.654429024389514
114,12,14,2,6,0.6584060557609849
115,12,14,2,8,0.6529180455539195
116,12,14,4,2,0.6697791031627363
117,12,14,4,4,0.6614431271023707
118,12,14,4,6,0.6545451069366992
119,12,14,4,8,0.6605381514246902
120,12,14,6,2,0.6580487505944677
121,12,14,6,4,0.6544272347022347
122,12,14,6,6,0.6596697433856783
123,12,14,6,8,0.6572427969695087
124,12,14,8,2,0.6435235400945514
125,12,14,8,4,0.6452349858104812
126,12,14,8,6,0.6453003786190817
127,12,14,8,8,0.6399777200954306
128,12,16,2,2,0.6657395044236839
129,12,16,2,4,0.6611972200446309
130,12,16,2,6,0.6555408963282737
131,12,16,2,8,0.6603656592366921
132,12,16,4,2,0.6683223369934304
133,12,16,4,4,0.6546237774354459
134,12,16,4,6,0.659137007186249
135,12,16,4,8,0.653450624668576
136,12,16,6,2,0.6611870588492185
137,12,16,6,4,0.6691354820967393
138,12,16,6,6,0.6520309737089526
139,12,16,6,8,0.6529814664461334
140,12,16,8,2,0.6655722030211547
141,12,16,8,4,0.6635932956689746
142,12,16,8,6,0.6525164898166318
143,12,16,8,8,0.653704904120362
