,p_t1,p_t2,p_t3,p_t4,score
0,10,10,2,2,0.6524056845776908
1,10,10,2,4,0.652295423624277
2,10,10,2,6,0.6390106907779202
3,10,10,2,8,0.6385677121866888
4,10,10,4,2,0.6319287227884874
5,10,10,4,4,0.6354553064747913
6,10,10,4,6,0.6311552777603084
7,10,10,4,8,0.6355834184566356
8,10,10,6,2,0.6127166223629253
9,10,10,6,4,0.6064533832056004
10,10,10,6,6,0.60204573718443
11,10,10,6,8,0.61094382645906
12,10,10,8,2,0.5997672357767846
13,10,10,8,4,0.6001114477205862
14,10,10,8,6,0.6077595867672855
15,10,10,8,8,0.5882251074989179
16,10,12,2,2,0.6616000858315405
17,10,12,2,4,0.6549047466099988
18,10,12,2,6,0.6441795313590284
19,10,12,2,8,0.633769065232165
20,10,12,4,2,0.653773279484958
21,10,12,4,4,0.6496757108130257
22,10,12,4,6,0.645906012372227
23,10,12,4,8,0.6353981325317907
24,10,12,6,2,0.6282278229931292
25,10,12,6,4,0.6351176943911867
26,10,12,6,6,0.6300236762556911
27,10,12,6,8,0.6263092369672697
28,10,12,8,2,0.618308558445715
29,10,12,8,4,0.6214000321520613
30,10,12,8,6,0.6220307376674873
31,10,12,8,8,0.6217005473764144
32,10,14,2,2,0.6602177972101659
33,10,14,2,4,0.6516773605461087
34,10,14,2,6,0.6486346555878568
35,10,14,2,8,0.6494159787032354
36,10,14,4,2,0.6595731772650747
37,10,14,4,4,0.6452217819231332
38,10,14,4,6,0.6440468534465792
39,10,14,4,8,0.6473455648027365
40,10,14,6,2,0.6558546562094216
41,10,14,6,4,0.6475477750657981
42,10,14,6,6,0.6373362434340445
43,10,14,6,8,0.645895077839448
44,10,14,8,2,0.6372110795174629
45,10,14,8,4,0.6345233471578361
46,10,14,8,6,0.638898651702276
47,10,14,8,8,0.6357304690285899
48,10,16,2,2,0.6650162709478171
49,10,16,2,4,0.6535662263313076
50,10,16,2,6,0.6520634567775155
51,10,16,2,8,0.6544566061472621
52,10,16,4,2,0.6667325272478809
53,10,16,4,4,0.6501691724217921
54,10,16,4,6,0.6472301715873406
55,10,16,4,8,0.6473789988987001
56,10,16,6,2,0.6629070218407431
57,10,16,6,4,0.651492922343741
58,10,16,6,6,0.6489796024153066
59,10,16,6,8,0.6432874526543882
60,10,16,8,2,0.651830631482568
61,10,16,8,4,0.6456399132588072
62,10,16,8,6,0.6476978138957106
63,10,16,8,8,0.6474541397373704
64,10,18,2,2,0.6598294967068195
65,10,18,2,4,0.6524739231170912
66,10,18,2,6,0.6514871522662372
67,10,18,2,8,0.6556289799860341
68,10,18,4,2,0.6611734313225802
69,10,18,4,4,0.6495717100137318
70,10,18,4,6,0.6514082452768486
71,10,18,4,8,0.6508918986648186
72,10,18,6,2,0.6645349548895134
73,10,18,6,4,0.6543114904504194
74,10,18,6,6,0.6511620053812609
75,10,18,6,8,0.6516336621213642
76,10,18,8,2,0.6633163137848302
77,10,18,8,4,0.6485626792853959
78,10,18,8,6,0.6514656531612556
79,10,18,8,8,0.649779046204622
80,12,10,2,2,0.6459903020882697
81,12,10,2,4,0.6563090501027647
82,12,10,2,6,0.6441416464350315
83,12,10,2,8,0.6423421689541796
84,12,10,4,2,0.6386874180504584
85,12,10,4,4,0.634413001040797
86,12,10,4,6,0.634019165687354
87,12,10,4,8,0.6288209539893347
88,12,10,6,2,0.6089286127227784
89,12,10,6,4,0.607873877265838
90,12,10,6,6,0.6032716528926757
91,12,10,6,8,0.6266510835618222
92,12,10,8,2,0.6013629818476406
93,12,10,8,4,0.6067314038756146
94,12,10,8,6,0.5971666419566753
95,12,10,8,8,0.6035633838360167
96,12,12,2,2,0.6541726665935109
97,12,12,2,4,0.6637055803739432
98,12,12,2,6,0.6528739941410436
99,12,12,2,8,0.6548779851303413
100,12,12,4,2,0.6504933582326861
101,12,12,4,4,0.6525826481388087
102,12,12,4,6,0.6461301407967508
103,12,12,4,8,0.6454891111096969
104,12,12,6,2,0.6353808868515196
105,12,12,6,4,0.638203366904526
106,12,12,6,6,0.6381926632586877
107,12,12,6,8,0.6366147002884155
108,12,12,8,2,0.6229714627331628
109,12,12,8,4,0.6174586282721728
110,12,12,8,6,0.6237284941106386
111,12,12,8,8,0.6147771838980179
112,12,14,2,2,0.6666509249461307
113,12,14,2,4,0.6631167955061948
114,12,14,2,6,0.658258924992431
115,12,14,2,8,0.6540979260018344
116,12,14,4,2,0.6656155554295035
117,12,14,4,4,0.660413150456047
118,12,14,4,6,0.6519706546572074
119,12,14,4,8,0.6534798729953505
120,12,14,6,2,0.6528896793999582
121,12,14,6,4,0.6496283638580725
122,12,14,6,6,0.644438379336531
123,12,14,6,8,0.6503373369748195
124,12,14,8,2,0.641033976136427
125,12,14,8,4,0.639120638741701
126,12,14,8,6,0.6327394493178786
127,12,14,8,8,0.6336513981257168
128,12,16,2,2,0.6700301221762617
129,12,16,2,4,0.665150138354769
130,12,16,2,6,0.6665974153274462
131,12,16,2,8,0.6588098448124783
132,12,16,4,2,0.6647106114686575
133,12,16,4,4,0.6642706756751261
134,12,16,4,6,0.6514821905777283
135,12,16,4,8,0.6551407563058746
136,12,16,6,2,0.6683726032524007
137,12,16,6,4,0.6686944413651723
138,12,16,6,6,0.6483832704729834
139,12,16,6,8,0.6517601750525421
140,12,16,8,2,0.6520749564995522
141,12,16,8,4,0.6519487761986694
142,12,16,8,6,0.6414687376877036
143,12,16,8,8,0.6512503469944076
144,12,18,2,2,0.6742057539855755
145,12,18,2,4,0.6630260012629838
146,12,18,2,6,0.6583508758960724
147,12,18,2,8,0.6630706660703639
148,12,18,4,2,0.6633941756572962
149,12,18,4,4,0.6605509226758469
150,12,18,4,6,0.658517440823181
151,12,18,4,8,0.6563971640807149
152,12,18,6,2,0.6772676012876612
153,12,18,6,4,0.6589008324866441
154,12,18,6,6,0.6519724086602183
155,12,18,6,8,0.6556634721075435
156,12,18,8,2,0.6751733769823193
157,12,18,8,4,0.6516645708982213
158,12,18,8,6,0.6531983798218989
159,12,18,8,8,0.6485673464794605
160,14,10,2,2,0.6525183682404916
161,14,10,2,4,0.6538031733996338
162,14,10,2,6,0.6534757771624632
163,14,10,2,8,0.6511377728000857
164,14,10,4,2,0.641090355042727
165,14,10,4,4,0.6304461775905084
166,14,10,4,6,0.6317839220083568
167,14,10,4,8,0.6345541817532739
168,14,10,6,2,0.6174159343885747
169,14,10,6,4,0.6043736575034448
170,14,10,6,6,0.6088999541773167
171,14,10,6,8,0.614870480124177
172,14,10,8,2,0.6047274891372986
173,14,10,8,4,0.6010223751275442
174,14,10,8,6,0.5852615291961286
175,14,10,8,8,0.6015585573495966
176,14,12,2,2,0.6614545198361912
177,14,12,2,4,0.6665393931667933
178,14,12,2,6,0.6615384618041169
179,14,12,2,8,0.658665382991445
180,14,12,4,2,0.6559897782415144
181,14,12,4,4,0.6501703312184687
182,14,12,4,6,0.6456619447709988
183,14,12,4,8,0.6453778437756363
184,14,12,6,2,0.6326527487027662
185,14,12,6,4,0.6386852396715189
186,14,12,6,6,0.6355083636294916
187,14,12,6,8,0.6290293210560723
188,14,12,8,2,0.6135372811626788
189,14,12,8,4,0.6174734580710682
190,14,12,8,6,0.615316427893817
191,14,12,8,8,0.6132671819171018
192,14,14,2,2,0.6759667514387426
193,14,14,2,4,0.6626621471310643
194,14,14,2,6,0.6606486625852953
195,14,14,2,8,0.662222196431784
196,14,14,4,2,0.6706018122958324
197,14,14,4,4,0.6587946818723699
198,14,14,4,6,0.6520144838601181
199,14,14,4,8,0.6551493829960964
200,14,14,6,2,0.6530174693768506
201,14,14,6,4,0.662252572572584
202,14,14,6,6,0.6453625178598851
203,14,14,6,8,0.6502756073796114
204,14,14,8,2,0.636154337699811
205,14,14,8,4,0.636372392603594
206,14,14,8,6,0.6315255055895197
207,14,14,8,8,0.6356973114769016
208,14,16,2,2,0.6744663385229411
209,14,16,2,4,0.6736003565532798
210,14,16,2,6,0.6637063977568275
