,p_t1,p_t2,p_t3,p_t4,score
0,10,10,2,2,0.5122057714259379
1,10,10,2,4,0.5167706383684706
2,10,10,2,6,0.5040949464554136
3,10,10,2,8,0.5112362438050457
4,10,10,4,2,0.5093664753344119
5,10,10,4,4,0.5058998041010114
6,10,10,4,6,0.5071111352355442
7,10,10,4,8,0.5063235635427289
8,10,10,6,2,0.5064115491523827
9,10,10,6,4,0.5079154183008305
10,10,10,6,6,0.5092384107172708
11,10,10,6,8,0.510577114471478
12,10,10,8,2,0.5083668264928244
13,10,10,8,4,0.506734559643174
14,10,10,8,6,0.5062449387957776
15,10,10,8,8,0.5037417972315373
16,10,12,2,2,0.5100010707975965
17,10,12,2,4,0.5045548247636777
18,10,12,2,6,0.505987896238394
19,10,12,2,8,0.5110988219067636
20,10,12,4,2,0.5095979214034064
21,10,12,4,4,0.5075048279206169
22,10,12,4,6,0.5071050304283882
23,10,12,4,8,0.5108732697862172
24,10,12,6,2,0.5127610308393643
25,10,12,6,4,0.5127349168941314
26,10,12,6,6,0.5026080950786788
27,10,12,6,8,0.5089205211731951
28,10,12,8,2,0.5053134625326279
29,10,12,8,4,0.507988849109065
30,10,12,8,6,0.508781299474806
31,10,12,8,8,0.507896658935899
32,10,14,2,2,0.5118205621000979
33,10,14,2,4,0.5050588006479667
34,10,14,2,6,0.5100871448705312
35,10,14,2,8,0.5088289860458349
36,10,14,4,2,0.5090644054987328
37,10,14,4,4,0.5129415224997365
38,10,14,4,6,0.5104722723877712
39,10,14,4,8,0.5101256028879616
40,10,14,6,2,0.507882394681142
41,10,14,6,4,0.5092805555354888
42,10,14,6,6,0.5039987899219924
43,10,14,6,8,0.5064194750200028
44,10,14,8,2,0.5060501339531763
45,10,14,8,4,0.5133690528066096
46,10,14,8,6,0.5114345252233027
47,10,14,8,8,0.5063501915027188
48,10,16,2,2,0.5109117886577706
49,10,16,2,4,0.5104111105390875
50,10,16,2,6,0.5132749620839192
51,10,16,2,8,0.5149227158637856
52,10,16,4,2,0.5110511646301714
53,10,16,4,4,0.5105494657212016
54,10,16,4,6,0.5131561210463994
55,10,16,4,8,0.5152577680980653
56,10,16,6,2,0.5055341707894493
57,10,16,6,4,0.510739347538713
58,10,16,6,6,0.5104439685916888
59,10,16,6,8,0.5137663289009476
60,10,16,8,2,0.503393199204078
61,10,16,8,4,0.5094349422023493
62,10,16,8,6,0.5140354701685007
63,10,16,8,8,0.5085707574369581
64,10,18,2,2,0.51276776170377
65,10,18,2,4,0.5140863002311237
66,10,18,2,6,0.5123868861904445
67,10,18,2,8,0.508604270841246
68,10,18,4,2,0.5103965606406711
69,10,18,4,4,0.5061591439764296
70,10,18,4,6,0.5117954264077521
71,10,18,4,8,0.5134137645132334
72,10,18,6,2,0.5114678234994559
73,10,18,6,4,0.509295565924068
74,10,18,6,6,0.5167533217101355
75,10,18,6,8,0.5078050470737
76,10,18,8,2,0.5092868394585753
77,10,18,8,4,0.5086567474455249
78,10,18,8,6,0.5103861983148366
79,10,18,8,8,0.5089685236217764
80,12,10,2,2,0.5132521159762798
81,12,10,2,4,0.507781525347763
82,12,10,2,6,0.5153011488347049
83,12,10,2,8,0.5091409232138655
84,12,10,4,2,0.5079561160360386
85,12,10,4,4,0.5136586086265905
86,12,10,4,6,0.5074958271045403
87,12,10,4,8,0.5090464627831479
88,12,10,6,2,0.5093718089827362
89,12,10,6,4,0.5098081362706264
90,12,10,6,6,0.5116737364958331
91,12,10,6,8,0.5086384353277936
92,12,10,8,2,0.507798917730506
93,12,10,8,4,0.508734807601111
94,12,10,8,6,0.508004759905478
95,12,10,8,8,0.5080139764614509
96,12,12,2,2,0.5172583722151861
97,12,12,2,4,0.5164719117889124
98,12,12,2,6,0.5151689571932244
99,12,12,2,8,0.5132765747340163
100,12,12,4,2,0.5103131030171898
101,12,12,4,4,0.510453839887587
102,12,12,4,6,0.5100439962529568
103,12,12,4,8,0.5148711054699011
104,12,12,6,2,0.5128680867884992
105,12,12,6,4,0.5133172019536999
106,12,12,6,6,0.5122721767743862
107,12,12,6,8,0.5112037757270826
108,12,12,8,2,0.5152359840018003
109,12,12,8,4,0.5103888791956225
110,12,12,8,6,0.5163744778101012
111,12,12,8,8,0.5165187391731951
112,12,14,2,2,0.5179421062354121
113,12,14,2,4,0.5173248141875999
114,12,14,2,6,0.5183919004609975
115,12,14,2,8,0.51845231648174
116,12,14,4,2,0.5155173939230236
117,12,14,4,4,0.5135275372033729
118,12,14,4,6,0.5180999559290851
119,12,14,4,8,0.5127118559642377
120,12,14,6,2,0.5159549777018272
121,12,14,6,4,0.5074409488730622
122,12,14,6,6,0.5129830950911796
123,12,14,6,8,0.5128310737334333
124,12,14,8,2,0.5162003392720284
125,12,14,8,4,0.5183238119469279
126,12,14,8,6,0.5143335868868875
127,12,14,8,8,0.5146202766259601
128,12,16,2,2,0.5161945583765041
129,12,16,2,4,0.5198118041905215
130,12,16,2,6,0.5169067577963532
131,12,16,2,8,0.518116769559858
132,12,16,4,2,0.5170912521350655
133,12,16,4,4,0.5186829459013879
134,12,16,4,6,0.5147939121364709
135,12,16,4,8,0.5156374076929696
136,12,16,6,2,0.5154783925963997
137,12,16,6,4,0.5169526654456477
138,12,16,6,6,0.5155338443709644
139,12,16,6,8,0.5182782700421142
140,12,16,8,2,0.5152913227234412
141,12,16,8,4,0.5162255867009863
142,12,16,8,6,0.5169514655394306
143,12,16,8,8,0.5155729780066923
144,12,18,2,2,0.5180008670686582
145,12,18,2,4,0.5147995616623474
146,12,18,2,6,0.5176750310844707
147,12,18,2,8,0.5191574153291562
148,12,18,4,2,0.5159511656155837
149,12,18,4,4,0.51847860433402
150,12,18,4,6,0.5163239832580659
151,12,18,4,8,0.5121557257651093
152,12,18,6,2,0.5157411545834231
153,12,18,6,4,0.5175637095825779
154,12,18,6,6,0.5171229989211255
155,12,18,6,8,0.5198953931836506
156,12,18,8,2,0.5193781941015022
157,12,18,8,4,0.5119446942485427
158,12,18,8,6,0.5198625141765724
159,12,18,8,8,0.5129127708228784
160,14,10,2,2,0.5137475808290916
161,14,10,2,4,0.5085602215099573
162,14,10,2,6,0.513910714610041
163,14,10,2,8,0.5083050385868909
164,14,10,4,2,0.5114217422489951
165,14,10,4,4,0.5090245244128713
166,14,10,4,6,0.5096899802069248
167,14,10,4,8,0.5128704066070985
168,14,10,6,2,0.5091753028285478
169,14,10,6,4,0.5091368364711575
170,14,10,6,6,0.5115518314557791
171,14,10,6,8,0.5070377945758694
172,14,10,8,2,0.510031316364291
173,14,10,8,4,0.5068065636350098
174,14,10,8,6,0.5032819079360784
175,14,10,8,8,0.5092716747959845
176,14,12,2,2,0.5164873282036038
177,14,12,2,4,0.5078764462686434
178,14,12,2,6,0.5223735323750801
179,14,12,2,8,0.5162264165932955
180,14,12,4,2,0.5138868367249202
181,14,12,4,4,0.5118828271812438
182,14,12,4,6,0.5138553053728757
183,14,12,4,8,0.5120933276921233
184,14,12,6,2,0.5142505156564829
185,14,12,6,4,0.514736387527527
186,14,12,6,6,0.5128111061223246
187,14,12,6,8,0.5163245142637533
188,14,12,8,2,0.5123760147528559
189,14,12,8,4,0.5147960145711673
190,14,12,8,6,0.5177924686865946
191,14,12,8,8,0.5124868052490613
192,14,14,2,2,0.5205602754346176
193,14,14,2,4,0.5204402410160754
194,14,14,2,6,0.5203941597656147
195,14,14,2,8,0.5168862594854381
196,14,14,4,2,0.5186136916785405
197,14,14,4,4,0.5170283771927479
198,14,14,4,6,0.5146947395175568
199,14,14,4,8,0.5173516376426892
200,14,14,6,2,0.5184754977940865
201,14,14,6,4,0.5180762436110514
202,14,14,6,6,0.5198307676963932
203,14,14,6,8,0.5185222051017971
204,14,14,8,2,0.5184171066688678
205,14,14,8,4,0.5176020059964676
206,14,14,8,6,0.5198936262595418
207,14,14,8,8,0.517170726713242
208,14,16,2,2,0.5184080517164356
209,14,16,2,4,0.5256524780561406
210,14,16,2,6,0.5205006979520249
211,14,16,2,8,0.5225381670695143
212,14,16,4,2,0.5229699068429025
213,14,16,4,4,0.5218141047162265
214,14,16,4,6,0.5200069661317631
215,14,16,4,8,0.5202919727052143
216,14,16,6,2,0.520588343453969
217,14,16,6,4,0.5212235949024158
218,14,16,6,6,0.5203566932440343
219,14,16,6,8,0.5165850198479491
220,14,16,8,2,0.5187951339195555
221,14,16,8,4,0.5215683943924749
222,14,16,8,6,0.5215200152122181
223,14,16,8,8,0.518116733241773
224,14,18,2,2,0.5179931018651224
225,14,18,2,4,0.5215247144633325
226,14,18,2,6,0.5208761985959386
227,14,18,2,8,0.5217927398890365
228,14,18,4,2,0.5198147365175273
229,14,18,4,4,0.5195639076735863
230,14,18,4,6,0.5218986975087118
231,14,18,4,8,0.5231457697676847
232,14,18,6,2,0.5229596285814359
233,14,18,6,4,0.5220331165644638
234,14,18,6,6,0.523213145329811
235,14,18,6,8,0.5173757193628695
236,14,18,8,2,0.5220787785458497
237,14,18,8,4,0.5211193875217995
238,14,18,8,6,0.5213383993700367
239,14,18,8,8,0.5180958994202701
240,16,10,2,2,0.51198332617302
241,16,10,2,4,0.51290924501387
242,16,10,2,6,0.5105155330478386
243,16,10,2,8,0.5117215846704025
244,16,10,4,2,0.5125258677356891
245,16,10,4,4,0.5093665458499363
246,16,10,4,6,0.5085300600076307
247,16,10,4,8,0.516086253265985
248,16,10,6,2,0.5089557648776261
249,16,10,6,4,0.5129785614071523
250,16,10,6,6,0.5077351584536428
251,16,10,6,8,0.5093596604056382
252,16,10,8,2,0.506713194815984
253,16,10,8,4,0.5070630420048273
254,16,10,8,6,0.5114752595824766
255,16,10,8,8,0.5072336251117602
256,16,12,2,2,0.5198307676963932
257,16,12,2,4,0.5217862903988628
258,16,12,2,6,0.5147730783149679
259,16,12,2,8,0.5177466866286365
260,16,12,4,2,0.5154693306203192
261,16,12,4,4,0.5149101480176127
262,16,12,4,6,0.51956609386677
263,16,12,4,8,0.5171549109683918
264,16,12,6,2,0.5178474306765598
265,16,12,6,4,0.5193257171913427
266,16,12,6,6,0.5149441219120635
267,16,12,6,8,0.5151708690358242
268,16,12,8,2,0.5163577420243818
269,16,12,8,4,0.5156111491351262
270,16,12,8,6,0.5161259468959561
271,16,12,8,8,0.5156157778707162
272,16,14,2,2,0.523474538078878
273,16,14,2,4,0.5212939733070724
274,16,14,2,6,0.5205954852474898
275,16,14,2,8,0.521527115784651
276,16,14,4,2,0.5207832237150974
277,16,14,4,4,0.5196758503297262
278,16,14,4,6,0.5216488851856304
279,16,14,4,8,0.5186298345940186
280,16,14,6,2,0.5191402187473934
281,16,14,6,4,0.5197666732148228
282,16,14,6,6,0.5183119490134893
283,16,14,6,8,0.5167921687627478
284,16,14,8,2,0.5194859685122147
285,16,14,8,4,0.5172544896134181
286,16,14,8,6,0.5194981167834319
287,16,14,8,8,0.5185103308752831
288,16,16,2,2,0.528650529152176
289,16,16,2,4,0.5234047445103834
290,16,16,2,6,0.5222885741439948
291,16,16,2,8,0.5224886224863605
292,16,16,4,2,0.5221202722818082
293,16,16,4,4,0.5211229709310646
294,16,16,4,6,0.5231740529151709
295,16,16,4,8,0.5246211239554617
296,16,16,6,2,0.5228942486203964
297,16,16,6,4,0.5228348367048911
298,16,16,6,6,0.5251613430522967
299,16,16,6,8,0.5234004106978691
300,16,16,8,2,0.5197781707096615
301,16,16,8,4,0.5250295986580162
302,16,16,8,6,0.5198798224949476
303,16,16,8,8,0.5212565773010165
304,16,18,2,2,0.5288169760623395
305,16,18,2,4,0.5287659505046168
306,16,18,2,6,0.5260666019786909
307,16,18,2,8,0.532315219541177
308,16,18,4,2,0.5245894811726858
309,16,18,4,4,0.5280525856818707
310,16,18,4,6,0.5262634323503916
311,16,18,4,8,0.5303901874615491
312,16,18,6,2,0.5204247408428969
313,16,18,6,4,0.5269498173233912
314,16,18,6,6,0.5241131411234056
315,16,18,6,8,0.5230000686511098
316,16,18,8,2,0.5265137218486854
317,16,18,8,4,0.5223550161164087
318,16,18,8,6,0.5231925559308798
319,16,18,8,8,0.5217282344783513
320,18,10,2,2,0.5118870991240744
321,18,10,2,4,0.5146137775747387
322,18,10,2,6,0.509067827610338
323,18,10,2,8,0.511314602541373
324,18,10,4,2,0.5098796967632296
325,18,10,4,4,0.5122693648298332
326,18,10,4,6,0.5096336210008782
327,18,10,4,8,0.5123535882201721
328,18,10,6,2,0.5121613047754614
329,18,10,6,4,0.5139683596014377
330,18,10,6,6,0.5055306236982693
331,18,10,6,8,0.5097277954820556
332,18,10,8,2,0.5104489255083376
333,18,10,8,4,0.5066225464715098
334,18,10,8,6,0.511890512589839
335,18,10,8,8,0.5093765168796912
336,18,12,2,2,0.5198873423364555
337,18,12,2,4,0.5171095645586776
338,18,12,2,6,0.5184333529758683
339,18,12,2,8,0.5173034493604098
340,18,12,4,2,0.5185589251836747
341,18,12,4,4,0.5137397959925204
342,18,12,4,6,0.5186016548380549
343,18,12,4,8,0.517612918655144
344,18,12,6,2,0.5140600529663559
345,18,12,6,4,0.5138567863474445
346,18,12,6,6,0.5193592305956306
347,18,12,6,8,0.5186657493196251
348,18,12,8,2,0.5165117091162869
349,18,12,8,4,0.5159806650484562
350,18,12,8,6,0.5191188539202033
351,18,12,8,8,0.5144924936889319
352,18,14,2,2,0.5240912452905282
353,18,14,2,4,0.5214755891492538
354,18,14,2,6,0.5219413733326171
355,18,14,2,8,0.5208438010334999
356,18,14,4,2,0.5206247891852627
357,18,14,4,4,0.5215251337324076
358,18,14,4,6,0.5203479667785417
359,18,14,4,8,0.5225377478004395
360,18,14,6,2,0.5200434956215441
361,18,14,6,4,0.5196239044252539
362,18,14,6,6,0.5245152198603806
363,18,14,6,8,0.5196399356041196
364,18,14,8,2,0.5205485461265945
365,18,14,8,4,0.5212311147439236
366,18,14,8,6,0.5198194853296895
367,18,14,8,8,0.5196763813354134
368,18,16,2,2,0.5265616192784219
369,18,16,2,4,0.5298422118070188
370,18,16,2,6,0.5275054741170893
371,18,16,2,8,0.5241078613055562
372,18,16,4,2,0.528921291409786
373,18,16,4,4,0.5239061661156538
374,18,16,4,6,0.5208253685333156
375,18,16,4,8,0.5243978321251849
376,18,16,6,2,0.5231134260357208
377,18,16,6,4,0.5244515489173124
378,18,16,6,6,0.5246046455293959
379,18,16,6,8,0.5236390909647122
380,18,16,8,2,0.524086496478366
381,18,16,8,4,0.5235982232860034
382,18,16,8,6,0.5225151470548278
383,18,16,8,8,0.5210230155543628
384,18,18,2,2,0.5300129149905239
385,18,18,2,4,0.5359018476539467
386,18,18,2,6,0.530192499219414
387,18,18,2,8,0.5312722198909624
388,18,18,4,2,0.5294765784954568
389,18,18,4,4,0.5285323112187904
