,p_t1,p_t2,p_t3,p_t4,score
0,10,10,2,2,0.5077803460517624
1,10,10,2,4,0.5141524119826374
2,10,10,2,6,0.5121088014450527
3,10,10,2,8,0.5121630894119575
4,10,10,4,2,0.510914351245863
5,10,10,4,4,0.5103635219161232
6,10,10,4,6,0.5098700517115154
7,10,10,4,8,0.515913907445512
8,10,10,6,2,0.5134663714659401
9,10,10,6,4,0.5105944823217762
10,10,10,6,6,0.516089236530218
11,10,10,6,8,0.5157664832327702
12,10,10,8,2,0.5126597123891624
13,10,10,8,4,0.5042590353420294
14,10,10,8,6,0.5105430597000923
15,10,10,8,8,0.5130910385310231
16,10,12,2,2,0.5130389951941189
17,10,12,2,4,0.5091180117095281
18,10,12,2,6,0.5110838294715702
19,10,12,2,8,0.5073841538942729
20,10,12,4,2,0.5124785575444363
21,10,12,4,4,0.5130854211205964
22,10,12,4,6,0.5140631253209585
23,10,12,4,8,0.5122614172986836
24,10,12,6,2,0.5148565095849973
25,10,12,6,4,0.5201688947585269
26,10,12,6,6,0.5111746986149955
27,10,12,6,8,0.5087877272308651
28,10,12,8,2,0.509741908057278
29,10,12,8,4,0.5125839592101934
30,10,12,8,6,0.5119197304218429
31,10,12,8,8,0.5168326704637011
32,10,14,2,2,0.5113321188060348
33,10,14,2,4,0.5168834970225342
34,10,14,2,6,0.5101595088052401
35,10,14,2,8,0.5094172665508493
36,10,14,4,2,0.5102943920412261
37,10,14,4,4,0.5076640746080626
38,10,14,4,6,0.5114391600436431
39,10,14,4,8,0.5193501493911884
40,10,14,6,2,0.5112460380612746
41,10,14,6,4,0.5109807004043497
42,10,14,6,6,0.5111544441320676
43,10,14,6,8,0.5164699694025654
44,10,14,8,2,0.5081994030090763
45,10,14,8,4,0.5166975787719216
46,10,14,8,6,0.5136213012980894
47,10,14,8,8,0.5144614487222329
48,10,16,2,2,0.5060459331051782
49,10,16,2,4,0.5153297094741345
50,10,16,2,6,0.511467229244282
51,10,16,2,8,0.50796098380522
52,10,16,4,2,0.5119528689148555
53,10,16,4,4,0.5115999692048395
54,10,16,4,6,0.5145864747137895
55,10,16,4,8,0.5172113159539294
56,10,16,6,2,0.5098763093119117
57,10,16,6,4,0.5128556490229663
58,10,16,6,6,0.5127647109188959
59,10,16,6,8,0.5122512099344481
60,10,16,8,2,0.5122253344888678
61,10,16,8,4,0.5065085473056783
62,10,16,8,6,0.5153853344425702
63,10,16,8,8,0.5138241229953331
64,10,18,2,2,0.5135645543175844
65,10,18,2,4,0.5136240564526919
66,10,18,2,6,0.515715927556708
67,10,18,2,8,0.510263239735013
68,10,18,4,2,0.5095782332635038
69,10,18,4,4,0.516527501608122
70,10,18,4,6,0.5145525511549781
71,10,18,4,8,0.5150885419696989
72,10,18,6,2,0.515407515190759
73,10,18,6,4,0.5138855011266217
74,10,18,6,6,0.5140427984001161
75,10,18,6,8,0.5166226767222509
76,10,18,8,2,0.5106256977832483
77,10,18,8,4,0.5136241922051182
78,10,18,8,6,0.5181191341683765
79,10,18,8,8,0.5126853414450886
80,12,10,2,2,0.5120590495593532
81,12,10,2,4,0.5170346976532376
82,12,10,2,6,0.5131889724581807
83,12,10,2,8,0.5160623933903058
84,12,10,4,2,0.5170232762050162
85,12,10,4,4,0.519983994841129
86,12,10,4,6,0.515051099934615
87,12,10,4,8,0.5123955125606301
88,12,10,6,2,0.5177233828465624
89,12,10,6,4,0.5167288290559532
90,12,10,6,6,0.5157251862547517
91,12,10,6,8,0.5166630250340777
92,12,10,8,2,0.5187684988469016
93,12,10,8,4,0.5085794427282888
94,12,10,8,6,0.5122290574970548
95,12,10,8,8,0.5113981339483955
96,12,12,2,2,0.5175526437156652
97,12,12,2,4,0.5202361900996706
98,12,12,2,6,0.5207768052660543
99,12,12,2,8,0.5199654333179229
100,12,12,4,2,0.5184698428174189
101,12,12,4,4,0.5178488247559717
102,12,12,4,6,0.5206926320238678
103,12,12,4,8,0.5197934801030396
104,12,12,6,2,0.5149022956088619
105,12,12,6,4,0.5217044864324931
106,12,12,6,6,0.5198311266700383
107,12,12,6,8,0.5182238105525245
108,12,12,8,2,0.520346989008773
109,12,12,8,4,0.5177860248131854
110,12,12,8,6,0.5177043989980895
111,12,12,8,8,0.5207209628246222
112,12,14,2,2,0.5192078134989601
113,12,14,2,4,0.5199703005070139
114,12,14,2,6,0.5133469475150962
115,12,14,2,8,0.522106794707523
116,12,14,4,2,0.5184903338014832
117,12,14,4,4,0.5141631649300935
118,12,14,4,6,0.5144825164755552
119,12,14,4,8,0.5224012135457904
120,12,14,6,2,0.5212279604248816
121,12,14,6,4,0.5212725835213746
122,12,14,6,6,0.5216803450374089
123,12,14,6,8,0.5215204910541682
124,12,14,8,2,0.5208465497691134
125,12,14,8,4,0.5219547117614838
126,12,14,8,6,0.5171821182075534
127,12,14,8,8,0.5182073327530112
128,12,16,2,2,0.5160957934834336
129,12,16,2,4,0.5200860143907523
130,12,16,2,6,0.5205682745330766
131,12,16,2,8,0.5173122325196234
132,12,16,4,2,0.5200043691009072
133,12,16,4,4,0.5157713982074063
134,12,16,4,6,0.5203643620647036
135,12,16,4,8,0.5211086629438083
136,12,16,6,2,0.5202173447526118
137,12,16,6,4,0.5164999899674442
138,12,16,6,6,0.5210906938250268
139,12,16,6,8,0.5191559749594236
140,12,16,8,2,0.5208121376952819
141,12,16,8,4,0.5208865638836574
142,12,16,8,6,0.5213208250596658
143,12,16,8,8,0.5202520277092142
144,12,18,2,2,0.5217265128629446
145,12,18,2,4,0.5206602722222392
146,12,18,2,6,0.5227680160457151
147,12,18,2,8,0.5187512898541927
148,12,18,4,2,0.519798965313266
149,12,18,4,4,0.5200671690436937
150,12,18,4,6,0.5195675953422715
151,12,18,4,8,0.5220670424585472
152,12,18,6,2,0.5161448614986538
153,12,18,6,4,0.5191919317622976
154,12,18,6,6,0.5193755516914628
155,12,18,6,8,0.5173084270625844
156,12,18,8,2,0.5181127820125285
157,12,18,8,4,0.5197437913725992
158,12,18,8,6,0.5183917791591052
159,12,18,8,8,0.5203127219700233
160,14,10,2,2,0.5126579784979189
161,14,10,2,4,0.5119594165854154
162,14,10,2,6,0.5176394270773724
163,14,10,2,8,0.5150217130260382
164,14,10,4,2,0.5180487369808755
165,14,10,4,4,0.5178797122664723
166,14,10,4,6,0.5165874135191212
167,14,10,4,8,0.5157372854863941
168,14,10,6,2,0.5165962341304775
169,14,10,6,4,0.5154762474476616
170,14,10,6,6,0.515073135647722
171,14,10,6,8,0.51486291515062
172,14,10,8,2,0.5176601072236374
173,14,10,8,4,0.5130091067232401
174,14,10,8,6,0.5080887050079369
175,14,10,8,8,0.5144295650473522
176,14,12,2,2,0.5176929746746265
177,14,12,2,4,0.5218587101704258
178,14,12,2,6,0.5204468265146255
179,14,12,2,8,0.518596107545331
180,14,12,4,2,0.5201488548022316
181,14,12,4,4,0.5169160018592446
182,14,12,4,6,0.5220672409034034
183,14,12,4,8,0.5193425233890686
184,14,12,6,2,0.5199072516397409
185,14,12,6,4,0.521248044508296
186,14,12,6,6,0.5234820530596839
187,14,12,6,8,0.5230093224981741
188,14,12,8,2,0.5200589186679273
189,14,12,8,4,0.5230778565756733
190,14,12,8,6,0.5242815812892299
191,14,12,8,8,0.516050934348633
192,14,14,2,2,0.5225562601022258
193,14,14,2,4,0.5195352165125028
194,14,14,2,6,0.5225219930634762
195,14,14,2,8,0.5224676609694524
196,14,14,4,2,0.5251799479850066
197,14,14,4,4,0.5220105222336942
198,14,14,4,6,0.5222612168903119
199,14,14,4,8,0.5197179731544721
200,14,14,6,2,0.5221863306569647
201,14,14,6,4,0.5228016145836993
202,14,14,6,6,0.5234135189821847
203,14,14,6,8,0.5226926504738032
204,14,14,8,2,0.5230289906637356
205,14,14,8,4,0.524945731127902
206,14,14,8,6,0.5229750554594245
207,14,14,8,8,0.5252090640108125
208,14,16,2,2,0.5191138551629022
209,14,16,2,4,0.5237462528882161
210,14,16,2,6,0.5232724569362283
211,14,16,2,8,0.5224018820465558
212,14,16,4,2,0.5224773736254092
213,14,16,4,4,0.5252916045570749
214,14,16,4,6,0.5228746126080654
215,14,16,4,8,0.5249559421505635
216,14,16,6,2,0.5245123368975152
217,14,16,6,4,0.5211774047488196
218,14,16,6,6,0.5251079526586881
219,14,16,6,8,0.5231355872260862
220,14,16,8,2,0.5228864372985109
221,14,16,8,4,0.5230143917905475
222,14,16,8,6,0.5275312748052611
223,14,16,8,8,0.5264256978334326
224,14,18,2,2,0.5269514966536318
225,14,18,2,4,0.5250210432900392
226,14,18,2,6,0.5219995737715261
227,14,18,2,8,0.5236066280234715
228,14,18,4,2,0.5232675419615921
229,14,18,4,4,0.5231722125297257
230,14,18,4,6,0.5252086861492398
231,14,18,4,8,0.5233970319000157
232,14,18,6,2,0.5222817078743763
233,14,18,6,4,0.5256587468785118
234,14,18,6,6,0.5252864628267869
235,14,18,6,8,0.5250811095187758
236,14,18,8,2,0.5285824655450095
237,14,18,8,4,0.5206205199732633
238,14,18,8,6,0.5250682004097124
239,14,18,8,8,0.5206574980394966
240,16,10,2,2,0.516241915539108
241,16,10,2,4,0.5165566803263579
242,16,10,2,6,0.515475642367608
243,16,10,2,8,0.5155725072458617
244,16,10,4,2,0.5152816663806995
245,16,10,4,4,0.5165670363841014
246,16,10,4,6,0.5182075219152119
247,16,10,4,8,0.5156308780862443
248,16,10,6,2,0.5170669911040102
249,16,10,6,4,0.5177828032610998
250,16,10,6,6,0.5156642781793722
251,16,10,6,8,0.5150200232619137
252,16,10,8,2,0.5145721184125768
253,16,10,8,4,0.5104886296282499
254,16,10,8,6,0.5122987735300658
255,16,10,8,8,0.5130079055803357
256,16,12,2,2,0.5191553505857771
257,16,12,2,4,0.5228902327446128
258,16,12,2,6,0.5227013701771966
259,16,12,2,8,0.5180442479350295
260,16,12,4,2,0.5205784094593976
261,16,12,4,4,0.5218938000276782
262,16,12,4,6,0.5237257177770328
263,16,12,4,8,0.5232906337825216
264,16,12,6,2,0.5197069676241034
265,16,12,6,4,0.5230281678452329
266,16,12,6,6,0.5198515449507352
267,16,12,6,8,0.5242327153772922
268,16,12,8,2,0.5232546769796476
269,16,12,8,4,0.5224130289535802
270,16,12,8,6,0.5160134679815352
271,16,12,8,8,0.5233052326557096
272,16,14,2,2,0.5236157416864332
273,16,14,2,4,0.5232563667437721
274,16,14,2,6,0.5234983416969965
275,16,14,2,8,0.5243752687425168
276,16,14,4,2,0.5247037561746776
277,16,14,4,4,0.5257727802807811
278,16,14,4,6,0.5258886262585197
279,16,14,4,8,0.5200106488188405
280,16,14,6,2,0.5261691240070201
281,16,14,6,4,0.5223434828953776
282,16,14,6,6,0.5247610709072377
283,16,14,6,8,0.5209632719751291
284,16,14,8,2,0.5238604183844857
285,16,14,8,4,0.5230110122622986
286,16,14,8,6,0.5220526420302155
287,16,14,8,8,0.5244078460171421
288,16,16,2,2,0.5268921616180906
289,16,16,2,4,0.5336889554857335
290,16,16,2,6,0.525425980249901
291,16,16,2,8,0.5332144910329802
292,16,16,4,2,0.5249114640891523
293,16,16,4,4,0.524146202898356
294,16,16,4,6,0.5258732138494845
295,16,16,4,8,0.5216141785074552
296,16,16,6,2,0.5251927753734998
297,16,16,6,4,0.5222586601805658
298,16,16,6,6,0.52542530246648
299,16,16,6,8,0.5251601980988747
300,16,16,8,2,0.5287675767934428
301,16,16,8,4,0.524738023213427
302,16,16,8,6,0.5294916797949915
303,16,16,8,8,0.5257642497395884
304,16,18,2,2,0.5292012175359032
305,16,18,2,4,0.5272679609504906
306,16,18,2,6,0.5264430809003005
307,16,18,2,8,0.5268401146227605
308,16,18,4,2,0.5319651539287933
309,16,18,4,4,0.5302562288207323
310,16,18,4,6,0.5310986676960807
311,16,18,4,8,0.5307136286937771
312,16,18,6,2,0.5283993561404463
313,16,18,6,4,0.5235522769013076
314,16,18,6,6,0.52732060328039
315,16,18,6,8,0.5265536081983502
316,16,18,8,2,0.5277067772358447
317,16,18,8,4,0.5289584000077543
318,16,18,8,6,0.5262015218649289
319,16,18,8,8,0.5271729806227919
320,18,10,2,2,0.5164221154713312
321,18,10,2,4,0.5157034253482946
322,18,10,2,6,0.5185992161908092
323,18,10,2,8,0.5145701667828841
324,18,10,4,2,0.5158548305109129
325,18,10,4,4,0.5173038087979799
326,18,10,4,6,0.5147944252002397
327,18,10,4,8,0.5179759123023865
328,18,10,6,2,0.5192942535399818
329,18,10,6,4,0.517778330031577
330,18,10,6,6,0.5183217003525633
331,18,10,6,8,0.515704030428348
332,18,10,8,2,0.5174422607244157
333,18,10,8,4,0.5155433094994856
334,18,10,8,6,0.5203744969910246
335,18,10,8,8,0.5162057695740332
336,18,12,2,2,0.5230135689720449
337,18,12,2,4,0.5160156331603454
338,18,12,2,6,0.5214382250491026
339,18,12,2,8,0.5228195929851364
340,18,12,4,2,0.5244943584960781
341,18,12,4,4,0.5217478671342046
342,18,12,4,6,0.5228847475343865
343,18,12,4,8,0.526506476177656
