,p_t1,p_t2,p_t3,p_t4,score
0,10,10,2,2,0.7012877394186399
1,10,10,2,4,0.6957791319779348
2,10,10,2,6,0.6902554458493361
3,10,10,2,8,0.6947722286427286
4,10,10,4,2,0.7031486217202296
5,10,10,4,4,0.6928865954369746
6,10,10,4,6,0.6946591320156205
7,10,10,4,8,0.6972126104857693
8,10,10,6,2,0.7029788665506301
9,10,10,6,4,0.6966268289274257
10,10,10,6,6,0.6949130988449038
11,10,10,6,8,0.699226273670939
12,10,10,8,2,0.6904461421860185
13,10,10,8,4,0.6946313532645322
14,10,10,8,6,0.6961041337993259
15,10,10,8,8,0.6980233637625589
16,10,12,2,2,0.6961877480160806
17,10,12,2,4,0.6926836504571927
18,10,12,2,6,0.6951171074512233
19,10,12,2,8,0.6936135881698533
20,10,12,4,2,0.7028526905095029
21,10,12,4,4,0.6942661239148711
22,10,12,4,6,0.6972608293165318
23,10,12,4,8,0.6902231257142538
24,10,12,6,2,0.704025484667168
25,10,12,6,4,0.6986700507210274
26,10,12,6,6,0.6997215318912798
27,10,12,6,8,0.7032955342208059
28,10,12,8,2,0.703064373108114
29,10,12,8,4,0.697246249973179
30,10,12,8,6,0.6997085395032311
31,10,12,8,8,0.6943173656765049
32,10,14,2,2,0.7012082237922422
33,10,14,2,4,0.6941802902788062
34,10,14,2,6,0.6992923701727007
35,10,14,2,8,0.6960607572273741
36,10,14,4,2,0.7060433977185424
37,10,14,4,4,0.6960570765195465
38,10,14,4,6,0.7039123574927683
39,10,14,4,8,0.6990457122057613
40,10,14,6,2,0.694909207451042
41,10,14,6,4,0.6946442765590404
42,10,14,6,6,0.6954740783032575
43,10,14,6,8,0.6988332854751588
44,10,14,8,2,0.704374428417302
45,10,14,8,4,0.7018028145510972
46,10,14,8,6,0.6924360945552003
47,10,14,8,8,0.6954691616830515
48,10,16,2,2,0.6960416138311727
49,10,16,2,4,0.6996201319071876
50,10,16,2,6,0.696123167596543
51,10,16,2,8,0.6977752637045137
52,10,16,4,2,0.7052972898212911
53,10,16,4,4,0.701386688704892
54,10,16,4,6,0.7017772711928719
55,10,16,4,8,0.6992364248293857
56,10,16,6,2,0.6995904848460469
57,10,16,6,4,0.699227205994701
58,10,16,6,6,0.6968493790333609
59,10,16,6,8,0.7004612115541643
60,10,16,8,2,0.6991443582792997
61,10,16,8,4,0.696449132048779
62,10,16,8,6,0.6935890680779071
63,10,16,8,8,0.6994051322784397
64,10,18,2,2,0.7030190642463069
65,10,18,2,4,0.6977262127346863
66,10,18,2,6,0.7000225079545954
67,10,18,2,8,0.6978793184646123
68,10,18,4,2,0.7081000533002418
69,10,18,4,4,0.6994968540605863
70,10,18,4,6,0.7022605123384142
71,10,18,4,8,0.6996180575837272
72,10,18,6,2,0.6987883391766422
73,10,18,6,4,0.7020970149105964
74,10,18,6,6,0.6993111009252327
75,10,18,6,8,0.6978699507859165
76,10,18,8,2,0.7016426961259016
77,10,18,8,4,0.6981296089202956
78,10,18,8,6,0.6969656090934611
79,10,18,8,8,0.7012783833289035
80,12,10,2,2,0.7045037613168986
81,12,10,2,4,0.7038469194318607
82,12,10,2,6,0.7026271692502627
83,12,10,2,8,0.7032595787017151
84,12,10,4,2,0.700499245094881
85,12,10,4,4,0.6929596975201265
86,12,10,4,6,0.6934358935816037
87,12,10,4,8,0.6957127497180302
88,12,10,6,2,0.6946557545095242
89,12,10,6,4,0.701549950926624
90,12,10,6,6,0.6880076997512438
91,12,10,6,8,0.7021846169417826
92,12,10,8,2,0.6945318014315901
93,12,10,8,4,0.7001174181691018
94,12,10,8,6,0.6936562349112284
95,12,10,8,8,0.6963839457217462
96,12,12,2,2,0.7037218735567273
97,12,12,2,4,0.7053924901353014
98,12,12,2,6,0.7040962055094656
99,12,12,2,8,0.6990386989169517
100,12,12,4,2,0.7084168254534468
101,12,12,4,4,0.7031079094821887
102,12,12,4,6,0.7004343085552222
103,12,12,4,8,0.7005645130371301
104,12,12,6,2,0.7140637193086561
105,12,12,6,4,0.7005136982158527
106,12,12,6,6,0.7010389420163037
107,12,12,6,8,0.6988652900113532
108,12,12,8,2,0.7079350603113101
109,12,12,8,4,0.7003392281752642
110,12,12,8,6,0.6979085395038148
111,12,12,8,8,0.7007472816598911
112,12,14,2,2,0.713471392956817
113,12,14,2,4,0.7058293968173549
114,12,14,2,6,0.7009229402042915
115,12,14,2,8,0.7031284773438271
116,12,14,4,2,0.7106180872521453
117,12,14,4,4,0.7027851449072737
118,12,14,4,6,0.7003599088841215
119,12,14,4,8,0.7091519760832599
120,12,14,6,2,0.7157584158167971
