,p_t1,p_t2,p_t3,p_t4,score
0,10,10,2,2,0.7058242320262696
1,10,10,2,4,0.7030030152399845
2,10,10,2,6,0.6954977870503679
3,10,10,2,8,0.7037225835800704
4,10,10,4,2,0.7027329318448254
5,10,10,4,4,0.6982884182371824
6,10,10,4,6,0.7007640430832839
7,10,10,4,8,0.7004407068338235
8,10,10,6,2,0.6991647942052858
9,10,10,6,4,0.7007058699884819
10,10,10,6,6,0.6972027226200005
11,10,10,6,8,0.6891601371674536
12,10,10,8,2,0.6992334929355394
13,10,10,8,4,0.6985076738592279
14,10,10,8,6,0.6946197737164196
15,10,10,8,8,0.7034036964843193
16,10,12,2,2,0.7088295810933215
17,10,12,2,4,0.7020854934558763
18,10,12,2,6,0.6997592208035895
19,10,12,2,8,0.7055568396418047
20,10,12,4,2,0.7067956419481914
21,10,12,4,4,0.7039160342596528
22,10,12,4,6,0.7024490555020773
23,10,12,4,8,0.7068610918504671
24,10,12,6,2,0.7077122255369256
25,10,12,6,4,0.700605716824461
26,10,12,6,6,0.7012531068471118
27,10,12,6,8,0.7049481983483415
28,10,12,8,2,0.7062742229597146
29,10,12,8,4,0.705172080010639
30,10,12,8,6,0.7044610532209633
31,10,12,8,8,0.7035928924363853
32,10,14,2,2,0.7070817604160996
33,10,14,2,4,0.7008812035449686
34,10,14,2,6,0.7012022594209736
35,10,14,2,8,0.700049446136323
36,10,14,4,2,0.7098709663112285
37,10,14,4,4,0.7002788110518691
38,10,14,4,6,0.699454098957511
39,10,14,4,8,0.7043596965391057
40,10,14,6,2,0.7117245041983743
41,10,14,6,4,0.7081323685992519
42,10,14,6,6,0.706846427290808
43,10,14,6,8,0.703194676985242
44,10,14,8,2,0.7088407744111493
45,10,14,8,4,0.7047728500253717
46,10,14,8,6,0.7005235182240582
47,10,14,8,8,0.7053281098832161
48,10,16,2,2,0.7074062571429424
49,10,16,2,4,0.7102961448262454
50,10,16,2,6,0.7157728666174896
51,10,16,2,8,0.709274204319471
52,10,16,4,2,0.7120615490829562
53,10,16,4,4,0.7049453546565155
54,10,16,4,6,0.7040161368716226
55,10,16,4,8,0.7107911973861661
56,10,16,6,2,0.7052260185982674
57,10,16,6,4,0.7097966474271281
58,10,16,6,6,0.7050496688441745
59,10,16,6,8,0.7024018152579191
60,10,16,8,2,0.7029112807067287
61,10,16,8,4,0.7047818224736876
62,10,16,8,6,0.7071484332680714
63,10,16,8,8,0.70033351351876
64,10,18,2,2,0.7057749304655597
65,10,18,2,4,0.7059801250254484
66,10,18,2,6,0.7024485149699204
67,10,18,2,8,0.706866165660131
68,10,18,4,2,0.7081182614452279
69,10,18,4,4,0.7053766293333482
70,10,18,4,6,0.7067129869411518
71,10,18,4,8,0.7128385552936085
72,10,18,6,2,0.7123591833955462
73,10,18,6,4,0.708809079472382
74,10,18,6,6,0.7042240049174158
75,10,18,6,8,0.7035075087222008
76,10,18,8,2,0.7051908994434045
77,10,18,8,4,0.7062804817068727
78,10,18,8,6,0.702514038697054
79,10,18,8,8,0.7046424702645347
80,12,10,2,2,0.704333261452073
81,12,10,2,4,0.7022301587542001
82,12,10,2,6,0.6988869378938194
83,12,10,2,8,0.702012151007286
84,12,10,4,2,0.6996824177616704
85,12,10,4,4,0.7107670412825206
86,12,10,4,6,0.7019103936296136
87,12,10,4,8,0.7025546819784302
88,12,10,6,2,0.7027225460012526
89,12,10,6,4,0.701704446259805
90,12,10,6,6,0.7023422041889448
91,12,10,6,8,0.7018772935098467
92,12,10,8,2,0.706244663437155
93,12,10,8,4,0.7014856336619596
94,12,10,8,6,0.6993004214912584
95,12,10,8,8,0.7012012287541403
96,12,12,2,2,0.7119069282027971
97,12,12,2,4,0.7056899898652292
98,12,12,2,6,0.7043034821251801
99,12,12,2,8,0.7048920469764233
100,12,12,4,2,0.7119141531416581
101,12,12,4,4,0.7083041379063815
102,12,12,4,6,0.7052363085710912
103,12,12,4,8,0.7054596936713103
104,12,12,6,2,0.707719018026656
105,12,12,6,4,0.7104624727359098
106,12,12,6,6,0.7110905180485093
107,12,12,6,8,0.7071156748767695
108,12,12,8,2,0.711130695234865
109,12,12,8,4,0.70960849191353
110,12,12,8,6,0.7103305620569245
111,12,12,8,8,0.7064398639397238
112,12,14,2,2,0.7225138305914375
113,12,14,2,4,0.7061847459978347
114,12,14,2,6,0.7043998796683589
115,12,14,2,8,0.7056685032531043
116,12,14,4,2,0.7171983363497535
117,12,14,4,4,0.7080052237733417
118,12,14,4,6,0.7152358284705608
119,12,14,4,8,0.7121543780337815
120,12,14,6,2,0.7251784172603291
121,12,14,6,4,0.7096933228030671
122,12,14,6,6,0.7084065929783098
123,12,14,6,8,0.7092874120435222
124,12,14,8,2,0.718296313737548
125,12,14,8,4,0.7148398302710354
126,12,14,8,6,0.7123224341989637
127,12,14,8,8,0.7101917472887957
128,12,16,2,2,0.7095699093149803
129,12,16,2,4,0.7120555533695363
130,12,16,2,6,0.7103884493428901
131,12,16,2,8,0.7120388504471036
132,12,16,4,2,0.7179219498296945
133,12,16,4,4,0.7159935795466175
134,12,16,4,6,0.7103679384719074
135,12,16,4,8,0.7172713129902178
136,12,16,6,2,0.7187767887416022
137,12,16,6,4,0.7119183760840437
138,12,16,6,6,0.7132104159877922
139,12,16,6,8,0.7074223818474604
140,12,16,8,2,0.7196328254092349
141,12,16,8,4,0.7177847728652069
142,12,16,8,6,0.7060269451119914
143,12,16,8,8,0.7125778939894613
144,12,18,2,2,0.7225092087830952
145,12,18,2,4,0.7165632878907539
146,12,18,2,6,0.7172471752060218
147,12,18,2,8,0.7152793666753379
148,12,18,4,2,0.7140290859580153
149,12,18,4,4,0.7174547849407987
150,12,18,4,6,0.7068928403361073
151,12,18,4,8,0.7146793437824539
152,12,18,6,2,0.7220290410640295
153,12,18,6,4,0.7168063978017359
154,12,18,6,6,0.7117932780042339
155,12,18,6,8,0.7107541198586285
156,12,18,8,2,0.7247207343498299
157,12,18,8,4,0.7119527561879219
158,12,18,8,6,0.7117600618032628
159,12,18,8,8,0.7155746602103014
160,14,10,2,2,0.7084398843125049
161,14,10,2,4,0.7076298167995739
162,14,10,2,6,0.7026557499928607
163,14,10,2,8,0.7040209960049156
164,14,10,4,2,0.7048444645404782
165,14,10,4,4,0.7121636794328018
166,14,10,4,6,0.7016440443737326
167,14,10,4,8,0.7079210052370222
168,14,10,6,2,0.7067110375352197
169,14,10,6,4,0.7047284514113299
170,14,10,6,6,0.7049059006425198
171,14,10,6,8,0.7002420497223837
172,14,10,8,2,0.7047643942849265
173,14,10,8,4,0.7028978155442509
174,14,10,8,6,0.7091850395148143
175,14,10,8,8,0.7005963344601843
176,14,12,2,2,0.7243714869314553
177,14,12,2,4,0.7078697316092836
178,14,12,2,6,0.7108886853168475
179,14,12,2,8,0.7099929112004407
180,14,12,4,2,0.7047189060627707
181,14,12,4,4,0.7105399886922537
182,14,12,4,6,0.7067552252907118
183,14,12,4,8,0.707367596670433
184,14,12,6,2,0.7110808251790326
185,14,12,6,4,0.7148696821632172
186,14,12,6,6,0.7135572392336823
187,14,12,6,8,0.7103652323764841
188,14,12,8,2,0.7127865087569165
189,14,12,8,4,0.7071909633487667
190,14,12,8,6,0.7083944891338708
191,14,12,8,8,0.705053679255086
192,14,14,2,2,0.7259081947564437
193,14,14,2,4,0.7215400514776928
194,14,14,2,6,0.7151492036743559
195,14,14,2,8,0.7185853329399539
196,14,14,4,2,0.7217082019878834
197,14,14,4,4,0.7153024166893264
198,14,14,4,6,0.7130602730517258
199,14,14,4,8,0.7161128586572048
200,14,14,6,2,0.7253150435219619
201,14,14,6,4,0.7202665049134791
202,14,14,6,6,0.7115946301668122
203,14,14,6,8,0.713390275052905
204,14,14,8,2,0.719510200619745
205,14,14,8,4,0.7226610593260073
206,14,14,8,6,0.7083636895777415
207,14,14,8,8,0.7135775022865435
208,14,16,2,2,0.7275657532114504
209,14,16,2,4,0.7306107632284383
210,14,16,2,6,0.727424781077059
211,14,16,2,8,0.7143037993396111
212,14,16,4,2,0.7311798340877589
213,14,16,4,4,0.7170973284553778
214,14,16,4,6,0.7171281788679305
215,14,16,4,8,0.7183356754765279
216,14,16,6,2,0.7284418518208461
217,14,16,6,4,0.7208089932356124
218,14,16,6,6,0.7180796090761504
219,14,16,6,8,0.7135114377279451
220,14,16,8,2,0.7257633792856929
221,14,16,8,4,0.7256864306450299
222,14,16,8,6,0.7126894805825598
223,14,16,8,8,0.7139573802368187
224,14,18,2,2,0.7292360395067456
225,14,18,2,4,0.7158307003428038
226,14,18,2,6,0.7199120947104446
227,14,18,2,8,0.7205929248711613
228,14,18,4,2,0.7271986256665156
229,14,18,4,4,0.7199292214794325
230,14,18,4,6,0.7195888377457766
231,14,18,4,8,0.7149606340216921
232,14,18,6,2,0.7353178271153057
233,14,18,6,4,0.722013126245546
234,14,18,6,6,0.7208046692169346
235,14,18,6,8,0.7184356937303922
236,14,18,8,2,0.7347471842662129
237,14,18,8,4,0.7208495644275489
238,14,18,8,6,0.717281882404623
239,14,18,8,8,0.7145412762810052
240,16,10,2,2,0.7070432476837644
241,16,10,2,4,0.70804308793663
242,16,10,2,6,0.7060906303149653
243,16,10,2,8,0.7065524634498109
244,16,10,4,2,0.7094198748515277
245,16,10,4,4,0.7057681455994947
246,16,10,4,6,0.7092509926958535
247,16,10,4,8,0.7056175421755709
248,16,10,6,2,0.7038371726546582
249,16,10,6,4,0.7034820996839725
250,16,10,6,6,0.7082291207029091
251,16,10,6,8,0.7078583208943566
252,16,10,8,2,0.7142594031933758
253,16,10,8,4,0.6992863925120097
254,16,10,8,6,0.7051056711494356
255,16,10,8,8,0.7055904489887274
256,16,12,2,2,0.7208008802319444
257,16,12,2,4,0.7212592199791744
258,16,12,2,6,0.7164741981672692
259,16,12,2,8,0.7070692223632351
260,16,12,4,2,0.7246549764044378
261,16,12,4,4,0.7203827703076512
262,16,12,4,6,0.7098022716387519
263,16,12,4,8,0.7104626913092992
264,16,12,6,2,0.7101588148077512
265,16,12,6,4,0.7056341009989934
266,16,12,6,6,0.7083589163641735
267,16,12,6,8,0.7101208547933187
268,16,12,8,2,0.7210303552816253
269,16,12,8,4,0.7142993993651124
270,16,12,8,6,0.7071947783800684
271,16,12,8,8,0.7156078988060149
272,16,14,2,2,0.721876727753418
273,16,14,2,4,0.7212015199769746
274,16,14,2,6,0.7186963788327193
275,16,14,2,8,0.7248794554133674
276,16,14,4,2,0.723851240313038
277,16,14,4,4,0.7269476744045916
278,16,14,4,6,0.7183271582015093
279,16,14,4,8,0.7114612225339085
280,16,14,6,2,0.7224947979508963
281,16,14,6,4,0.7159226760463948
282,16,14,6,6,0.7246927065658123
283,16,14,6,8,0.7154142997381324
284,16,14,8,2,0.7178351916398009
285,16,14,8,4,0.72273358924179
286,16,14,8,6,0.7120965788397434
287,16,14,8,8,0.7138181350940648
288,16,16,2,2,0.7385907220722983
289,16,16,2,4,0.7214232022477011
290,16,16,2,6,0.7281439027879392
291,16,16,2,8,0.7187283671338746
292,16,16,4,2,0.728469828342837
293,16,16,4,4,0.7277493868585894
294,16,16,4,6,0.7270402918065008
295,16,16,4,8,0.7148044577270323
296,16,16,6,2,0.7262265736303201
297,16,16,6,4,0.7222972657712963
298,16,16,6,6,0.7231366154475966
299,16,16,6,8,0.7212109350778088
300,16,16,8,2,0.7305783464118473
301,16,16,8,4,0.7329601409391313
302,16,16,8,6,0.7222428706004239
303,16,16,8,8,0.7198329070464591
304,16,18,2,2,0.7362758467592473
305,16,18,2,4,0.7341605346974638
306,16,18,2,6,0.716571969705012
307,16,18,2,8,0.7285701907225062
308,16,18,4,2,0.7357270771119628
309,16,18,4,4,0.7217779169386888
310,16,18,4,6,0.7301919958738194
311,16,18,4,8,0.7229081120156051
312,16,18,6,2,0.7307371806299855
313,16,18,6,4,0.7342985530166155
314,16,18,6,6,0.7278024061804972
315,16,18,6,8,0.7191771367887748
316,16,18,8,2,0.7243453624914032
317,16,18,8,4,0.7333975918146649
318,16,18,8,6,0.7239860275797323
319,16,18,8,8,0.7248801560697009
320,18,10,2,2,0.7042156445281961
321,18,10,2,4,0.7134145390585749
322,18,10,2,6,0.7107875444380892
323,18,10,2,8,0.7105284154808555
324,18,10,4,2,0.7098362844005613
325,18,10,4,4,0.7092705986377972
326,18,10,4,6,0.7097116133440043
327,18,10,4,8,0.7096699362328867
328,18,10,6,2,0.7141325653261722
329,18,10,6,4,0.7111503087798727
330,18,10,6,6,0.7027493668349537
331,18,10,6,8,0.7122125375689023
332,18,10,8,2,0.7146537701856381
333,18,10,8,4,0.7045404133062948
334,18,10,8,6,0.7113433219914461
335,18,10,8,8,0.7026980240225763
336,18,12,2,2,0.7234830920274332
337,18,12,2,4,0.7204832843727845
338,18,12,2,6,0.7167783645366996
339,18,12,2,8,0.7135773238976877
340,18,12,4,2,0.7107941627186364
341,18,12,4,4,0.7195463977935076
342,18,12,4,6,0.7155591767330852
343,18,12,4,8,0.7135034374610904
344,18,12,6,2,0.7177156014635558
345,18,12,6,4,0.7150211554028295
346,18,12,6,6,0.7125469993930947
347,18,12,6,8,0.7083279987862351
348,18,12,8,2,0.7107194580364972
349,18,12,8,4,0.7192178320457373
350,18,12,8,6,0.7082154854277053
351,18,12,8,8,0.7143667066992242
352,18,14,2,2,0.7305315736872807
353,18,14,2,4,0.7275462248800947
354,18,14,2,6,0.721943959783743
355,18,14,2,8,0.7149929595673251
356,18,14,4,2,0.7242610188458602
357,18,14,4,4,0.7231606068835026
358,18,14,4,6,0.7227147423707819
359,18,14,4,8,0.7117202902241204
360,18,14,6,2,0.7224331523444064
361,18,14,6,4,0.7165198132947608
362,18,14,6,6,0.7224361653252185
363,18,14,6,8,0.7245375376802321
364,18,14,8,2,0.7289041347974874
365,18,14,8,4,0.7242775116299908
366,18,14,8,6,0.717770817484156
367,18,14,8,8,0.7186357469591759
368,18,16,2,2,0.7359536838061302
369,18,16,2,4,0.7363515113342922
370,18,16,2,6,0.7343635837740216
371,18,16,2,8,0.7261799170976717
372,18,16,4,2,0.7264945909136048
373,18,16,4,4,0.7302350631689292
374,18,16,4,6,0.7229904310486184
375,18,16,4,8,0.7276041509261405
376,18,16,6,2,0.7282077126313676
377,18,16,6,4,0.7247889685387374
378,18,16,6,6,0.7284063213081694
379,18,16,6,8,0.7222001722419543
380,18,16,8,2,0.7304092700143929
381,18,16,8,4,0.7330215074925724
382,18,16,8,6,0.7292472927561772
