,p_t1,p_t2,p_t3,p_t4,score
0,10,10,2,2,0.6949324676869413
1,10,10,2,4,0.6956368481457592
2,10,10,2,6,0.6807921951656933
3,10,10,2,8,0.6766792336724815
4,10,10,4,2,0.6898201042812007
5,10,10,4,4,0.6817208057155834
6,10,10,4,6,0.6771074575265398
7,10,10,4,8,0.6825374111806551
8,10,10,6,2,0.6624341026492687
9,10,10,6,4,0.6681554280434782
10,10,10,6,6,0.6619062830064837
11,10,10,6,8,0.678994149360311
12,10,10,8,2,0.6660073712847744
13,10,10,8,4,0.648144556325463
14,10,10,8,6,0.6566420837365983
15,10,10,8,8,0.6619822152206284
16,10,12,2,2,0.6993547794314718
17,10,12,2,4,0.695796506280773
18,10,12,2,6,0.6858379324895857
19,10,12,2,8,0.6821597980395465
20,10,12,4,2,0.7064476690248949
21,10,12,4,4,0.7001872080223444
22,10,12,4,6,0.6871178604420597
23,10,12,4,8,0.676597747507294
24,10,12,6,2,0.6889557777464347
25,10,12,6,4,0.6842392837297462
26,10,12,6,6,0.6857472081506045
27,10,12,6,8,0.6841384517076047
28,10,12,8,2,0.6819446158684009
29,10,12,8,4,0.6791304342925598
30,10,12,8,6,0.6502725208734136
31,10,12,8,8,0.6593859958998711
32,10,14,2,2,0.7025211998209674
33,10,14,2,4,0.6973170480170648
34,10,14,2,6,0.6975692642402462
35,10,14,2,8,0.6843076247758151
36,10,14,4,2,0.707645186639802
37,10,14,4,4,0.6964600389056391
38,10,14,4,6,0.6895321674073144
39,10,14,4,8,0.6981477954059018
40,10,14,6,2,0.7058316446737202
41,10,14,6,4,0.7036077495321426
42,10,14,6,6,0.6856262563658753
43,10,14,6,8,0.688472760097763
44,10,14,8,2,0.6844798913972016
45,10,14,8,4,0.6879136743517692
46,10,14,8,6,0.6948645074632976
47,10,14,8,8,0.6788779976303343
48,10,16,2,2,0.7090215311171627
49,10,16,2,4,0.6899375029965796
50,10,16,2,6,0.6980227627604826
51,10,16,2,8,0.7009544303903762
52,10,16,4,2,0.7147861145186734
53,10,16,4,4,0.697721106070357
54,10,16,4,6,0.6955680258771663
55,10,16,4,8,0.684188685666475
56,10,16,6,2,0.7109555055457198
57,10,16,6,4,0.6922158929452561
58,10,16,6,6,0.6932739549760306
59,10,16,6,8,0.6900046291844619
60,10,16,8,2,0.6997194097527449
61,10,16,8,4,0.6978881114047013
62,10,16,8,6,0.693750279388957
63,10,16,8,8,0.6964991485797268
64,10,18,2,2,0.7010970095296939
65,10,18,2,4,0.7011258489384419
66,10,18,2,6,0.6988053158033763
67,10,18,2,8,0.7020213678234204
68,10,18,4,2,0.7107677582497184
69,10,18,4,4,0.7092079705758456
70,10,18,4,6,0.7021252224670413
71,10,18,4,8,0.6933678761172178
72,10,18,6,2,0.7079073663783303
73,10,18,6,4,0.697892012982385
74,10,18,6,6,0.6926732558818006
75,10,18,6,8,0.6922961823684624
76,10,18,8,2,0.7046847451298969
77,10,18,8,4,0.701281720245796
78,10,18,8,6,0.6992858855146583
79,10,18,8,8,0.6985361305330926
80,12,10,2,2,0.6939944147041753
81,12,10,2,4,0.6918866323348137
82,12,10,2,6,0.6966802982139021
83,12,10,2,8,0.6824629584236931
84,12,10,4,2,0.6879929587341506
85,12,10,4,4,0.6885438108891145
86,12,10,4,6,0.6786172886905804
87,12,10,4,8,0.6857546647309688
88,12,10,6,2,0.6650299690261432
89,12,10,6,4,0.6596820916209373
90,12,10,6,6,0.6681710435557738
91,12,10,6,8,0.6550313204098503
92,12,10,8,2,0.6714285808623807
93,12,10,8,4,0.6728117604600642
94,12,10,8,6,0.6528516660020368
95,12,10,8,8,0.6545822561228097
96,12,12,2,2,0.7130172522949029
97,12,12,2,4,0.6985188261141055
98,12,12,2,6,0.6913021990219023
99,12,12,2,8,0.6859994213768225
100,12,12,4,2,0.7010236258313117
101,12,12,4,4,0.69907770381651
102,12,12,4,6,0.695907685657617
103,12,12,4,8,0.6852328817839872
104,12,12,6,2,0.6877508683618508
105,12,12,6,4,0.6847843053252983
106,12,12,6,6,0.6836273019314079
107,12,12,6,8,0.6890743521016164
108,12,12,8,2,0.66984641746817
109,12,12,8,4,0.676183244995003
110,12,12,8,6,0.6714713350486763
111,12,12,8,8,0.6679089140807419
112,12,14,2,2,0.7122859848555999
113,12,14,2,4,0.7037918503383122
114,12,14,2,6,0.701980867801875
115,12,14,2,8,0.7070548941630536
116,12,14,4,2,0.7075910133631792
117,12,14,4,4,0.7095993055850928
118,12,14,4,6,0.6992956118862564
119,12,14,4,8,0.7026489938443348
120,12,14,6,2,0.7072980949140882
121,12,14,6,4,0.6994777522058104
122,12,14,6,6,0.694548082830635
123,12,14,6,8,0.6935123377484184
124,12,14,8,2,0.6898231292683996
125,12,14,8,4,0.6864741879838094
126,12,14,8,6,0.6894663118865538
127,12,14,8,8,0.6864620128999906
128,12,16,2,2,0.7139155922441137
129,12,16,2,4,0.7093344632657975
130,12,16,2,6,0.7033568565178587
131,12,16,2,8,0.7032120209662253
132,12,16,4,2,0.7230659736017545
133,12,16,4,4,0.7033456859457411
134,12,16,4,6,0.708796045258008
135,12,16,4,8,0.6967555758863894
136,12,16,6,2,0.7121305611192351
137,12,16,6,4,0.7077779952871254
138,12,16,6,6,0.6982946880007271
139,12,16,6,8,0.7068648042203473
140,12,16,8,2,0.705893347519274
141,12,16,8,4,0.7016413261126875
142,12,16,8,6,0.7000963008246205
143,12,16,8,8,0.69809818795196
144,12,18,2,2,0.7176876144528309
145,12,18,2,4,0.7054101255393826
146,12,18,2,6,0.703789960675123
147,12,18,2,8,0.7021682464366149
148,12,18,4,2,0.7181464082967731
149,12,18,4,4,0.7078948497972016
150,12,18,4,6,0.701484753316921
151,12,18,4,8,0.7016644230448392
152,12,18,6,2,0.7191363557843927
153,12,18,6,4,0.7121573252838899
154,12,18,6,6,0.7025657453087272
155,12,18,6,8,0.7026391105398796
156,12,18,8,2,0.7156230500596689
157,12,18,8,4,0.7041898355632118
158,12,18,8,6,0.7018684527620057
159,12,18,8,8,0.7041727451829063
160,14,10,2,2,0.686639647905806
161,14,10,2,4,0.6946922647067407
162,14,10,2,6,0.6912359833509285
163,14,10,2,8,0.6939964180906245
164,14,10,4,2,0.6822479383473447
165,14,10,4,4,0.6868679588859831
166,14,10,4,6,0.686524672665808
167,14,10,4,8,0.6792682996714832
168,14,10,6,2,0.6776692130181305
169,14,10,6,4,0.6670613512858958
170,14,10,6,6,0.6594721726437962
171,14,10,6,8,0.6595073136464215
172,14,10,8,2,0.6757945424842401
173,14,10,8,4,0.6713311600655635
174,14,10,8,6,0.6639683355517247
175,14,10,8,8,0.6643810408189297
176,14,12,2,2,0.7120236117118487
177,14,12,2,4,0.712562887893053
178,14,12,2,6,0.7009057930334107
179,14,12,2,8,0.6989037687669857
180,14,12,4,2,0.7054078440917793
181,14,12,4,4,0.7006541634720359
182,14,12,4,6,0.7023863198303393
183,14,12,4,8,0.6953580361068813
184,14,12,6,2,0.6802846230677712
185,14,12,6,4,0.6896611537545807
186,14,12,6,6,0.6832128520592269
187,14,12,6,8,0.6888361332208491
188,14,12,8,2,0.6767039293257641
189,14,12,8,4,0.679122404366204
190,14,12,8,6,0.6753811351605633
191,14,12,8,8,0.6684614473185478
192,14,14,2,2,0.7163292155919526
193,14,14,2,4,0.7139983125741857
194,14,14,2,6,0.7092496832028944
195,14,14,2,8,0.7019922395630754
196,14,14,4,2,0.7146744038946696
197,14,14,4,4,0.7132932993125115
