,p_t1,p_t2,p_t3,p_t4,t,score,rmse
0,100,5,10,10,7,0.501113438088629,0.48683025430676535
1,100,10,10,10,7,0.5063829152806506,0.4844370913170421
2,100,20,10,10,7,0.5173293741775761,0.4801022076288621
3,100,50,10,10,7,0.5131902575798071,0.481772819322595
4,100,75,10,10,7,0.509613968557206,0.48347635378002646
5,100,100,10,10,7,0.5051579390095131,0.48541269564876316
6,100,125,10,10,7,0.5062476383298341,0.48488466605388925
7,100,150,10,10,7,0.5052622082437572,0.4852432515886071
8,100,175,10,10,7,0.5059118096952596,0.4849821902058009
9,100,200,10,10,7,0.5047380992290821,0.4855021805254509
10,100,225,10,10,7,0.5050869124748781,0.4853301705802957
